	0	1	2	3	4	5	6	7	8	9
GSM199985.CEL	6.4718	0	0	1.4031	0	1.0927	0.45791	1.1224	0	0
GSM2055818_7629_B-_20130705.CEL	3.9456	0.095405	0.03771	0.13623	0.7645	4.4485	4.8906	6.1373	1.6458	0
GSM900179_F2_Pae_G1a_.CEL	0	5.097	0	6.1233	0	0	0.96473	3.5053	0.76345	2.1388
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	8.0261	4.7444	0	3.513	0	0	0	0.16293	3.624	1.9711
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	0	4.864	2.8655	0.31785	0	6.056	3.5786	7.3186	2.3566	0.026988
GSM821495.CEL	8.5308	0.92406	0.15492	1.4941	0.059089	0.27318	0	2.4933	0	0.71495
GSM822689_wtBSM_A.CEL	3.382	4.0417	0.95696	0	0.88234	2.202	0	6.5932	0	0.1059
GSM560759.CEL	3.1932	0.62086	0	6.1214	0	0	0.71874	1.5005	0	0
GSM2070494_OCio-14-MutS_A_d94_cipro_2-Pae_G1a-a1.CEL	0	0.14294	0	0.69079	0	0	6.5784	4.5609	0	0
GSM1267104_HZI1970_Pae_G1a.CEL	7.0686	5.03	0	0.10667	0	7.0357	0	2.9843	0	0
GSM838219_PAO1-5344-3_Pae_G1a.CEL	5.6019	3.3043	0	0.30549	0.07016	0	1.5223	2.8267	0	1.6753
GSM208615.CEL	0	0	2.0324	1.5758	1.177	1.2137	1.2438	5.1838	0	0
GSM1553190_Persisters_T2.CEL	0	5.936	0	7.7227	0	0	0	0.92095	0	3.1331
GSM1419147_BC_FOX.CEL	3.5165	0.010118	0	6.4652	0	0	2.5176	3.08	0	0
GSM1027584_062508WT.CEL	2.1163	3.4473	2.0833	1.1204	0	1.2894	1.9592	5.1567	0.94704	0.12374
GSM774159_B38-6M_3.CEL	3.324	1.7347	0	0.081366	3.894	0.19835	0	4.9865	6.7366	0.89904
GSM625978.CEL	0	0	0	7.7549	5.0888	0	0	0	0	0
GSM267252.CEL	1.703	0	0	3.9796	0	1.0816	0	4.2326	0	0
142_2014wt_anaero.CEL	0	0	0	0	5.0124	7.1532	0.18884	5.9709	0	4.3286
GSM567543.CEL	3.9059	2.3746	3.5205	0	2.2235	2.7127	4.5009	6.878	3.2155	0
GSM307126.CEL	2.9815	1.245	0	2.041	0	0	1.8211	4.1856	0	0
GSM1244970_PAO1-37-replicate-01.CEL	6.8429	1.2106	0	0	0	0	0	0.87327	0.15358	7.6221
GSM864520.CEL	3.1126	4.4893	0	0.17966	1.3007	0	2.7871	1.0378	0	2.8318
GSM980539_MHH1372.CEL	5.593	2.162	0	3.3025	2.8593	0	1.176	1.3619	0.3534	0
GSM898002_MHH0123_Pae_G1a.CEL	7.5854	1.5785	0	0.72919	3.4722	0	0.24464	0.56652	0	1.0834
control3_anaerobic_Pae_G1a.CEL	0.30482	0	0	0	4.9805	0.28218	5.5712	4.8533	2.0042	6.4963
Pae_Fe02_15.CEL	0	0	0	4.2186	0	0	0	0.016875	0	7.8465
GSM307122.CEL	3.1682	2.2627	0	2.0766	0.39774	0	0	2.2291	0	0.083486
GSM567669.CEL	0	0.066602	0	1.4971	0	0	0	2.0328	1.4355	6.5211
GSM717420.CEL	2.8385	1.9656	0	0.22852	0	1.124	0	2.3769	0	0
GSM842841_Wright_3_WT-log-3_Pae_G1a.CEL	0	4.4338	0.77639	1.0026	4.2693	5.7695	0	4.6558	0.41596	0.36919
Tob2_aerobic_wdh_Pae_G1a.CEL	0.96729	0	0	0.15541	5.4746	0	4.4015	3.3178	0	5.5012
GSM625973.CEL	0	0	0	8.0551	5.1588	0	0	0	0.056284	0
GSM637597.CEL	0	0	0	4.0543	0	0	0	1.2711	0	8.9231
GSM1306129_Nomura_PAO1_KG-2_Pae_G1a_.CEL	0.13734	0.35675	0	4.7868	0	5.0999	3.861	5.8208	2.4347	2.6046
GSM290749.CEL	2.2806	2.1593	0	0.38237	0.024748	0.21683	0.90162	3.2284	0	0
GSM717424.CEL	0.038556	1.2482	0	6.6	0.19158	0.28605	0	1.0129	0	2.7549
GSM551151.CEL	1.0911	0.73305	0	4.7001	0	0.17597	0.248	2.0134	0	0
GSM252561.CEL	5.0228	4.6298	0	1.6997	5.0859	0	0.42346	2.7377	0	0.071358
GSM307125.CEL	2.4496	1.0115	0	2.6265	0	0.31806	0.89483	4.0782	0	0.070505
GSM774118_CF333-1991a.CEL	0.24867	0	0	0	0	0	0	5.442	7.3975	0
GSM897998_MHH0107_Pae_G1a.CEL	4.3902	3.3404	0	0.56419	3.2995	0.4361	5.2109	3.0937	0	0
GSM774104_CF114-1973b.CEL	1.1035	0.29187	0	0.68644	1.8442	5.6054	0	5.3064	5.3229	0.78341
GSM994500_HM4-replicate-02.CEL	1.684	3.0575	0	0	0	0	0	3.2124	4.1292	7.7989
GSM838218_PAO1-5344-1_Pae_G1a.CEL	5.9544	3.7266	0	0.1321	0.17543	0	1.6099	3.031	0	1.7057
SJ16_Treated_1.CEL	0	1.2786	0	7.7527	0.54869	0.26475	0	1.8446	0	2.9245
GSM1267089_HZI1952_Pae_G1a.CEL	6.7691	4.0797	0	0.99309	0	5.4463	0	2.6723	0	0
GSM1143376_A2_Pae_G1a_.CEL	5.8933	0	0	0.99031	0.53184	1.6049	4.1537	5.429	0.18141	0
GSM1958032_AMV_1.CEL	0	1.9826	0	5.5811	0	4.1005	1.808	5.387	1.8452	3.1146
GSM1141730_PA01_ZnO_PZO_.CEL	4.6862	0.23489	0	3.4393	0.28049	0	0.019313	0	0	0
GSM267256.CEL	3.946	0.40601	0	4.345	0	0.25098	0.02869	2.1281	0	0
GSM537321.CEL	0	0	0	4.0257	2.5036	0	0	0	0	2.1321
GSM541648.CEL	7.4202	1.642	0	0.54289	3.6845	0	0.43247	0.65247	0	1.0288
GSM1958033_AMV_2.CEL	0	2.904	0.88942	3.5184	0	5.2658	2.2204	5.5994	2.7585	1.0313
GSM541642.CEL	5.0083	3.7466	0	2.6604	4.0082	0	3.5104	3.6763	0	0
GSM1419155_BC3_CAZ.CEL	2.4709	0	0	7.0285	0	0	0.81043	2.6188	0	0
GSM2070481_OCio-01-MutS-1-start-Pae_G1a-a1.CEL	3.3906	1.5333	0	0.97152	0	0.53032	6.5228	4.6396	0	0
GSM821092_HZI0148_Pae_G1a.CEL	0.20041	1.4526	0	0.10671	0.23375	3.6176	1.1837	3.3981	0.3064	0.0010563
GSM1420993_PAO1_NO2.CEL	0.97139	0	0	0.08818	0.032266	5.8042	3.1755	5.8913	2.647	0
GSM1244968_PAO1-22-replicate-02.CEL	6.4452	1.5827	0	0	0	0	0	0	0.16046	7.6243
