	PA3423
GSM92193.CEL	0.000817
GSM1517350_MK-4.CEL	0.0011465
GSM617290.CEL	0.0017921
GSM307113.CEL	0.002365
GSM567689.CEL	0.0035775
GSM980540_MHH1373.CEL	0.0038134
GSM567670.CEL	0.006328
GSM573327.CEL	0.0077805
GSM743005_PAO1-PC24-b.CEL	0.0078401
GSM546262.CEL	0.0090802
GSM546250.CEL	0.0097651
L_13.CEL	0.010458
GSM1420992_PAO1_NO1.CEL	0.011147
GSM234929.CEL	0.011628
GSM567674.CEL	0.011933
GSM546253.CEL	0.011998
GSM774158_B38-6M_2.CEL	0.012575
GSM208611.CEL	0.012823
GSM2070484_OCio-01-PAO1_Ad94_1-Pae_G1a-a1.CEL	0.012972
GSM2070507_OCio-12-MutS-B-Cip-D94-3-Pae_G1a-a1.CEL	0.013848
20mM_KT2440.CEL	0.013856
GSM1310896_PA14_lasR_rhlR.CEL	0.014323
GSM2055822_7629_C+_20130705.CEL	0.014381
GSM1143376_A2_Pae_G1a_.CEL	0.014452
PA14_3-23-07_s2.CEL	0.015122
GSM838216_PAO1-PM-3_Pae_G1a.CEL	0.016052
GSM1246481_PA14bvlR_pME6032_rep1.CEL	0.016549
GSM821495.CEL	0.016916
FT1aerobic_Pae_G1a.CEL	0.017039
GSM738266.CEL	0.017392
GSM567691.CEL	0.019523
GSM637590.CEL	0.019641
GSM617297.CEL	0.020737
GSM155244.CEL	0.021424
GSM1662224_PAO1_2.CEL	0.022428
GSM774131_CF333-2007b.CEL	0.022622
GSM1206652_WT-PRC-2.CEL	0.023755
GSM261934.CEL	0.024505
fos1aerobic_Pae_G1a.CEL	0.024569
GSM208605.CEL	0.024583
GSM177218.CEL	0.024609
GSM1608068_Biofilm+12hrcipro_rep2.CEL	0.024652
GSM2070488_OCio-11-PAO1_Ad94_cipro_2-Pae_G1a-a1.CEL	0.025064
GSM267255.CEL	0.025899
GSM424834.CEL	0.02611
GSM663170_Pa_label_cDNA_5-13-08_s2.CEL	0.027186
GSM244071.CEL	0.027434
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	0.028124
0.1_12hr_CSV86(Pae_G1a).CEL	0.029353
GSM1181847_gc_WT1_1.CEL	0.030128
1_12hr_CSV86(Pae_G1a).CEL	0.030605
GSM429481.CEL	0.032041
GSM1608061_Planktonic_3.CEL	0.035784
GSM807325.CEL	0.036651
Van_Delden_Kohler_0311_PT5_3.CEL	0.038625
GSM1419143_BC3.CEL	0.039211
143b_2014wt_anaero.CEL	0.040451
AKGlu_plus_nt_7-8-09_s1.CEL	0.040812
GSM244066.CEL	0.041859
GSM774143_B12-4_2.CEL	0.042891
GSM767701.CEL	0.042972
GSM92167.CEL	0.043286
GSM743009_PAO1-SC24-c.CEL	0.043319
FT2_anaerobic_Pae_G1a.CEL	0.045739
GSM92168.CEL	0.045839
GSM1421005_EXdnr_NO2.CEL	0.046284
GSM821503.CEL	0.046912
GSM156157.CEL	0.047162
GSM994501_HM4-replicate-03.CEL	0.047377
GSM822689_wtBSM_A.CEL	0.047695
GSM591601.CEL	0.049011
GSM774129_CF333-2005c.CEL	0.049648
GSM610406.CEL	0.05241
GSM774116_CF243-2002b.CEL	0.053849
GSM743001_PAO1-PC4-a.CEL	0.054761
GSM821093_HZI0149_Pae_G1a.CEL	0.056466
GPphhRminus_11-30-09_12-3-09_s1.CEL	0.056719
GSM551149.CEL	0.056958
GSM1067458_PAO1_CK_2.CEL	0.058891
GSM774104_CF114-1973b.CEL	0.062756
GSM429475.CEL	0.06297
GSM1517348_MK-2.CEL	0.064152
GSM774094_CF66-1992a.CEL	0.067749
GSM871971.CEL	0.068066
JS-T24.9.07.CEL	0.068561
GSM567686.CEL	0.068898
GSM2070492_OCio-06-MutS_A_d94_3-Pae_G1a-a1.CEL	0.069972
GSM1662232_WFPA510_1.CEL	0.070735
GSM567676.CEL	0.070795
Overhage13001_(Pae_G1a).CEL	0.070846
GSM562114_Koh_PAK_H2O_3.CEL	0.072338
GSM617296.CEL	0.073996
Tob2_aerobic_wdh_Pae_G1a.CEL	0.074056
GSM711455.CEL	0.074388
Tob3_anaerobic_Pae_G1a.CEL	0.074776
120330-10978D_M3_(Pae_G1a).CEL	0.075484
GSM2070514_OCio-04-MutS-1-d94-Pae_G1a-a1.CEL	0.075919
GSM2026897_D-Arg_02.CEL	0.077024
GSM252496.CEL	0.079747
145_2014dR_anaero.CEL	0.081857
GSM774161_PAO1b.CEL	0.081909
GSM823345.CEL	0.082004
GSM738265.CEL	0.082246
PA14-Aro_10-5-07_s2.CEL	0.084046
GSM617288.CEL	0.084252
GSM546271.CEL	0.084579
GSM92185.CEL	0.084707
GSM591625.CEL	0.086764
Overhage13003_(Pae_G1a).CEL	0.087094
GSM637587.CEL	0.087145
GSM596626.CEL	0.087411
TUBS0091.CEL	0.08792
GSM252508.CEL	0.088995
GSM637575.CEL	0.090807
GSM567695.CEL	0.091369
GSM546269.CEL	0.091758
DB1.CEL	0.091774
GSM432864.CEL	0.092203
GSM1244969_PAO1-22-replicate-03.CEL	0.092281
GSM1267113_HZI1979_G1a.CEL	0.092698
GSM610407.CEL	0.094323
GSM567678.CEL	0.094715
GSM774091_CF66-1973a.CEL	0.095465
GSM1027585_071008WT.CEL	0.096407
GSM1067456_PAO1_CK_1.CEL	0.096456
GSM261933.CEL	0.097179
GSM1421003_EXdnr_control2.CEL	0.097484
GSM318716.CEL	0.098509
GSM1553190_Persisters_T2.CEL	0.099434
anaerobic_NO3_1.CEL	0.099616
GSM2070490_OCio-04-MutS_A_d94_1-Pae_G1a-a1.CEL	0.099789
GSM92173.CEL	0.10009
