	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
GSM199985.CEL	0.26478	4.6796	-3.1494	-1.8812	-0.94019	-3.7806	2.234	-3.6976	-1.3888	-0.9377	0.019192	-1.1312	-2.2527	0.050361	1.2817	1.223	0.28627	-0.81819	-0.7679	-0.99794	-0.11882	-0.49057	-1.181	-0.054017	-0.61879	0.7441	-0.69422	0.71934	0.27198	0.049623	0.3224	0.026871	0.63963	-0.4229	-0.47436	0.58874	-0.11376	-0.69389	0.61884	-0.72746	0.64383	0.54342	0.030822	-0.58225	-0.60622	0.019295	-0.06379	0.63445	0.045417	-0.76056	0.25604	-0.55946	0.37223	-0.40771	0.61988	-0.39454	-0.12187	-0.33425	0.51094	0.39025	0.48916	0.26388	0.23352	-0.31996	0.16009	0.2138	0.44859	0.34874	-0.49747	-0.12835	0.014091	-0.12519	0.095528	-0.26535	0.13641	0.058198	-0.52194	-0.060668	0.13665	0.56438	0.15578	0.091658	0.19432	0.20977	-0.34122	0.23736	0.63409	0.14239	0.31047	-0.22958	-0.15984	0.10807	0.47431	0.19901	-0.090497	-0.30821	0.088601	0.18333	0.11597	-0.08501
GSM2055818_7629_B-_20130705.CEL	-6.6454	-0.56002	-3.5765	-0.077593	-2.7079	-1.9602	0.19733	-0.62822	-1.0174	-0.069159	-0.71539	-0.23378	-1.0887	0.43274	0.94618	-0.34919	0.80652	-1.4683	0.98457	0.55842	0.26851	0.41142	-0.74419	0.60558	0.11173	0.4296	-0.60123	-0.25376	0.99627	0.78982	-0.57038	-0.85364	-0.023944	-0.0095095	0.38075	0.035434	-0.38166	0.22597	1.34	-0.33729	0.012372	0.62369	-0.89032	-0.57881	-0.568	0.21276	0.026622	0.75166	0.045526	-0.10332	0.44769	-0.23211	-0.044115	0.49235	0.95939	-0.12413	-0.3285	-0.57965	0.14782	0.2546	0.24238	0.28938	-0.16336	-0.14245	-0.47649	-0.071666	-0.1919	-0.066003	0.057569	-0.20246	-0.041268	-0.33232	0.19529	-0.18942	0.088318	0.30888	-0.030215	0.20081	0.33378	-0.0018237	0.27952	0.25219	0.17792	0.44336	-0.051191	0.052629	-0.090133	0.42541	-0.05009	-0.10651	0.08975	0.37176	-0.39076	-0.030335	0.64849	-0.15869	0.10881	-0.17094	0.012354	-0.29715
GSM900179_F2_Pae_G1a_.CEL	6.7898	0.70507	-2.9888	-1.0741	-0.40944	2.2252	-3.3205	0.077737	3.6473	-0.81408	0.62088	1.4082	1.7047	0.80577	-0.20969	-0.52005	-1.4944	-1.858	0.56288	-1.3179	2.4021	1.2043	-1.6715	-1.0515	-0.31644	0.020014	-2.3865	1.4472	-0.21549	1.2601	-0.63079	-0.26299	0.4023	-1.1601	0.71607	-1.6925	0.11826	0.52581	1.2397	0.32464	0.55874	-0.40044	-0.29212	-0.4433	0.15276	-0.0072088	1.0821	0.99029	-0.26068	0.1621	-0.076448	1.5845	-1.0485	0.24948	-0.4846	0.75978	0.22282	0.30349	-0.01981	0.31652	0.41115	-0.70602	-0.74359	-0.50684	-0.50186	-1.0953	0.06529	1.9151	-1.0609	0.070479	-0.95924	0.12363	-0.97356	0.94747	0.56397	-0.17838	-0.74068	-1.355	0.71014	-1.1573	-0.22199	0.72343	0.028215	-0.12622	-0.37593	-0.358	0.80784	-0.31807	-0.093841	0.12323	0.12934	0.80842	0.20347	0.29121	-0.075628	-0.17669	-0.363	0.28503	-0.21338	0.0068224
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	2.9477	7.9068	-2.1101	1.1355	0.77439	2.1183	-0.33427	-1.4872	2.0798	-0.74371	-0.10972	-1.9808	-2.2877	-0.018972	0.90707	0.47898	0.56953	-0.67496	-0.43282	0.73006	-1.2202	3.719	1.8081	0.94549	-0.039701	0.76414	2.1134	1.1255	-0.48315	0.44641	0.46349	1.3131	0.020465	-1.1732	-1.5567	0.17571	0.96035	0.36805	-0.95026	0.1177	-0.55522	0.64726	0.011325	-0.12165	-0.55835	-0.80697	0.21382	0.26037	-0.63239	0.31835	-0.064816	0.39912	-0.5804	0.72523	0.077539	-0.19601	-0.43489	0.14411	-0.2669	0.43087	0.19675	0.28243	0.077105	0.25255	0.19568	-0.035766	0.64574	0.30541	-0.46827	0.16745	0.11096	-0.2192	0.78217	0.41656	-0.34571	-0.83338	-0.71764	0.31624	0.097077	0.32131	0.7502	0.14437	-0.4589	0.22499	-0.046982	-0.072657	0.39484	-0.038078	-0.32887	0.22975	0.80783	0.068317	0.11631	-0.1102	0.91764	-0.23387	0.36314	0.36926	0.21783	-0.028847
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	-7.1343	-2.2139	-3.0177	0.92058	-1.0986	2.1969	-0.76932	0.22462	-2.2098	-0.6394	1.947	-2.7289	0.99348	-1.2583	0.65742	-1.9081	1.1426	0.90306	0.0025814	1.2442	0.22301	-0.63517	0.3622	-0.45597	0.81378	-0.90267	-0.35091	1.6668	-0.39878	-0.023277	0.50404	0.38527	0.37349	1.0684	0.43414	-1.1208	0.57751	0.45818	0.79841	0.96898	0.39015	0.76302	-0.40406	-0.10559	-0.43629	0.26061	-0.0034654	-0.84444	-0.72766	0.24839	-0.092243	-0.5155	-0.33317	-0.31548	-0.25015	-0.40938	0.27477	-0.15353	0.039858	0.63793	0.56219	0.22134	-0.2098	0.31363	-0.08934	-0.18486	-0.013957	-0.071534	-0.24257	0.057066	0.0053324	-0.33573	0.00032544	0.33539	0.013735	-0.13126	0.29233	0.39364	0.69954	0.019436	0.13955	-0.5901	-0.21557	-0.050711	0.37781	-0.012658	0.29923	0.082258	0.19949	0.28108	-0.13968	0.14695	-0.078443	-0.058542	-0.10652	0.036604	-0.12563	0.11857	0.26639	0.18987
GSM821495.CEL	0.27091	8.0025	-2.5449	-0.82669	0.69243	0.026612	0.038366	-5.1143	-0.683	0.83191	2.2921	-1.2838	-0.89663	0.54596	0.39838	0.38729	-0.12532	-0.043913	-0.9864	-0.58992	0.53226	0.34255	-0.51491	-0.44403	1.9897	1.0138	1.4223	-0.088551	1.3492	-0.24002	-0.48135	0.62258	0.32183	1.2623	0.58619	-0.40503	0.18007	-0.55361	-1.8298	-0.8362	-0.20932	0.48001	0.1612	0.61612	0.030762	0.23284	0.92288	0.37558	-0.15636	-0.038394	0.10757	-0.27993	-0.57636	0.65141	-0.44703	-0.23503	0.031121	0.1622	1.0975	-0.5549	0.80711	-0.23412	0.96218	0.037382	-0.78195	-0.66286	-0.29268	0.23682	-0.022081	-0.098144	-0.14465	0.025099	0.39869	0.68101	-0.13006	0.44608	0.077844	-0.21388	-0.51831	0.50541	0.43967	-0.48564	-0.18274	-0.13083	-0.29831	0.48484	0.55848	-0.026396	0.2432	-0.24255	-0.020063	-0.34582	0.45562	0.10045	0.00010362	-0.060209	-0.15622	0.1594	-0.072791	-0.54366
GSM822689_wtBSM_A.CEL	-2.233	3.3856	-2.9226	0.6813	-1.6215	1.1484	1.7874	-1.7958	-2.7181	2.1058	3.2453	1.4292	1.2385	0.13457	0.87159	-0.76594	-0.95217	0.83777	0.025904	-0.18514	-1.4039	-0.080194	0.49824	0.22546	-0.95302	-0.90733	0.62825	2.6858	-0.29484	0.56127	-0.58686	-1.3949	1.2682	-0.14724	-0.50455	-1.3277	0.22762	-1.81	-0.79717	-0.60115	1.0855	-0.34519	0.47487	0.46507	0.87583	-0.24562	-0.8264	-0.31179	0.063415	0.47256	-0.2355	-0.94076	-0.37477	-0.24678	0.052025	1.076	-0.58827	-0.11424	-0.06725	-0.49377	-0.32428	-0.71157	0.54341	0.51626	-0.84558	0.1586	-0.59208	0.057298	0.10657	-0.10943	0.15647	0.12955	0.59306	-0.01273	-0.00097406	-0.074029	0.12173	0.32025	0.020652	-0.42416	0.059296	0.037993	0.10899	0.31383	-0.49291	-0.36913	-0.3639	-0.56764	-0.2467	-0.35358	0.083876	0.12184	-0.20153	0.37178	0.43446	-0.039647	0.078815	0.028953	0.16008	0.16391
GSM560759.CEL	6.8094	1.1683	-3.76	-3.4655	-1.0891	-0.82676	-0.30395	-0.27808	-0.28634	0.026998	-1.5778	1.2207	-0.51955	-2.1639	-0.33007	-1.3076	-0.34441	-0.52072	-0.022686	0.7677	-0.65539	-0.77004	0.85433	-0.13101	0.91717	0.047786	1.0698	1.0636	0.31161	-0.32614	0.53755	0.49087	-0.25501	0.46654	1.1095	0.38333	0.95301	-0.49791	0.54755	-0.047744	0.73168	-0.33017	0.12135	0.07446	0.47712	0.23184	-0.40321	-0.10034	0.73973	0.21388	-0.29193	-0.040145	-0.11832	0.5129	0.29399	0.067073	0.13521	-0.57062	0.38187	-0.12804	0.15331	-0.043229	-0.31153	-0.31672	0.21359	-0.12566	1.0091	-0.075771	-0.19199	-0.058098	0.39178	-0.73753	0.43302	-0.31036	-0.29568	-0.12886	-0.3493	0.0030483	0.15646	0.095638	0.11323	0.25366	-0.42853	0.060876	-0.0715	0.15327	0.18382	0.021743	0.1877	0.053584	-0.03509	0.1137	-0.32397	0.14686	-0.31973	0.033883	0.12613	0.21384	-0.1451	0.11619
GSM2070494_OCio-14-MutS_A_d94_cipro_2-Pae_G1a-a1.CEL	-2.8715	-1.1166	-3.9945	0.40366	-3.5571	-0.8418	-3.0068	4.6022	0.57752	0.49833	-0.20188	-1.2904	-1.9251	-0.41094	-2.5286	1.3552	-1.1521	0.78666	-0.53971	-1.7901	0.89844	0.11806	-0.45753	1.0278	-0.43839	0.20791	0.59053	-0.42912	-0.116	-0.67546	-0.20781	-0.30837	0.81623	0.68107	0.83458	-0.25309	-0.4522	-0.70564	-0.44051	0.40664	-0.44011	-0.11236	-0.31873	0.59668	-0.04507	-0.039199	-0.49898	-0.45076	-0.093166	0.325	-0.21198	0.18623	-0.89799	-0.051498	0.50534	0.037621	0.48837	-0.67139	-0.003521	-0.12433	0.28251	0.13083	0.078298	0.065958	0.21287	-0.097566	0.37054	-0.067784	-0.30239	0.0678	-0.099707	-0.017503	0.087156	0.33888	0.16149	-0.51823	-0.0063727	-0.18824	0.41158	0.26452	0.4463	-0.23948	0.14537	-0.56526	-0.13397	-0.68971	-0.051988	0.084728	0.20208	-0.29825	-0.4963	0.2205	-0.11697	0.21975	0.35208	-0.057772	-0.28027	-0.33591	0.073043	0.246
GSM1267104_HZI1970_Pae_G1a.CEL	-3.3039	3.7787	-2.6671	1.3246	1.561	3.0713	3.167	-2.1333	-0.72303	-1.0651	-0.050595	-3.5434	2.4257	-2.1864	2.0587	2.3905	-0.80097	0.94717	1.3709	-1.606	1.5312	-0.42321	0.47984	1.5019	-0.3493	1.4885	0.41598	-1.0819	0.17177	0.063429	0.47366	0.3169	-0.48034	-0.00068486	-0.1828	-0.51203	-0.097632	-0.19446	-0.40704	0.67021	-0.47019	-0.20778	0.089388	-0.46289	0.17771	-0.11243	-0.004555	0.06261	0.45668	-0.011714	-0.24354	0.53142	0.021282	-0.051439	-0.49506	0.50074	0.21582	-0.526	0.7769	0.63795	0.26563	-0.47195	-0.45092	-0.23868	-0.40274	-0.039184	0.027125	-0.10784	0.15479	0.31587	0.12467	0.55159	0.39855	-0.17612	-0.013696	-0.40767	0.10107	0.10875	0.74239	-0.63122	-0.38977	0.15784	-0.00087304	0.0088129	0.012101	-0.06817	0.012463	0.55032	0.031974	0.052338	-0.30211	-0.2505	0.14955	-0.23041	-0.13408	0.064117	0.003125	0.032189	0.02638	-0.10547
