	0
0	PA5112
1	PA3528
2	PA4610
3	PA1692
4	PA3056
5	PA5552
6	PA0999
7	PA4667
8	PA1252
9	PA0672
10	PA4146
11	PA1382
12	PA2816
13	PA1939
14	PA1706
15	PA1370
16	PA1363
17	PA2418
18	PA1255
19	PA4504
20	PA0760
21	PA4358
22	PA0028
23	PA1225
24	PA0027
25	PA5509
26	PA4155
27	PA1552
28	PA5091
29	PA0803
30	PA2217
31	PA4237
32	PA3404
33	PA0556
34	PA3861
35	PA3494
36	PA1527
37	PA2043
38	PA1547
39	PA0233
40	PA3128
41	PA2772
42	PA1475
43	PA3309
44	PA1491
45	PA1493
46	PA4792
47	PA4347
48	PA2090
49	PA3466
50	PA4305
51	PA3501
52	PA2727
53	PA1006
54	PA0569
55	PA5393
56	PA3858
57	PA1637
58	PA5263
59	PA5207
60	PA4789
61	PA1694
62	PA1130
63	PA4453
64	PA1960
65	PA2770
66	PA4760
67	PA2451
68	PA1049
69	PA4513
70	PA4281
71	PA0497
72	PA2182
73	PA3579
74	PA0372
75	PA3053
76	PA4334
77	PA4494
78	PA4814
79	PA0901
80	PA5274
81	PA0571
82	PA1306
83	PA3115
84	PA5319
85	PA0299
86	PA2307
87	PA3722
88	PA3094
89	PA3367
90	PA2577
91	PA3764
92	PA5116
93	PA2218
94	PA2614
95	PA4125
96	PA4024
97	PA0425
98	PA2225
99	PA3735
100	PA0250
101	PA1842
102	PA2895
103	PA1138
104	PA0017
105	PA5242
106	PA0698
107	PA0260
108	PA0929
109	PA5050
110	PA1578
111	PA3327
112	PA4109
113	PA1526
114	PA2287
115	PA2930
116	PA1749
117	PA2518
118	PA2642
119	PA3256
120	PA0633
121	PA5171
122	PA2524
123	PA3091
124	PA0343
125	PA3515
126	PA1594
127	PA1344
128	PA0687
129	PA1194
130	PA2570
131	PA1952
132	PA2791
133	PA3556
134	PA1685
135	PA0121
136	PA1253
137	PA0951
138	PA4312
139	PA0268
140	PA2861
141	PA3288
142	PA2679
143	PA0346
144	PA2027
145	PA0835
146	PA4060
147	PA1242
148	PA4851
149	PA1730
150	PA2175
151	PA4778
152	PA4465
153	PA3010
154	PA1324
155	PA2384
156	PA0321
157	PA0769
158	PA0787
159	PA4425
160	PA1739
161	PA4607
162	PA4229
163	PA5505
164	PA3440
165	PA4395
166	PA0132
167	PA4361
168	PA1267
169	PA4934
170	PA4459
171	PA2730
172	PA4931
173	PA1372
174	PA3833
175	PA3477
176	PA3686
177	PA0210
178	PA3119
179	PA5549
180	PA0234
181	PA3258
182	PA2966
183	PA4535
184	PA5512
185	PA4982
186	PA0147
187	PA2677
188	PA3938
189	PA3670
190	PA0386
191	PA2675
192	PA2625
193	PA3266
194	PA2505
195	PA1050
196	PA3185
197	PA4739
198	PA5217
199	PA0477
200	PA4781
201	PA0919
202	PA4072
203	PA0993
204	PA0807
205	PA5153
206	PA1458
207	PA0282
208	PA0432
209	PA2590
210	PA1816
211	PA4404
212	PA0808
213	PA3857
214	PA4181
215	PA3928
216	PA0495
217	PA3549
218	PA1845
219	PA1862
220	PA2764
221	PA1358
222	PA3215
223	PA4932
224	PA4555
225	PA2029
226	PA3949
227	PA1513
228	PA1748
229	PA4642
230	PA4817
231	PA4621
232	PA5360
233	PA1795
234	PA1333
235	PA3817
236	PA0126
237	PA5449
238	PA1636
239	PA0614
240	PA0586
241	PA4700
242	PA1024
243	PA0791
244	PA2226
245	PA4751
246	PA1980
247	PA1792
248	PA2330
249	PA1889
250	PA4168
251	PA3106
252	PA3744
253	PA5554
254	PA3381
255	PA4713
256	PA2091
257	PA5450
258	PA3777
259	PA4231
260	PA0908
261	PA4346
262	PA0256
263	PA4302
264	PA4529
265	PA3088
266	PA2006
267	PA3350
268	PA4131
269	PA0692
270	PA3534
271	PA3899
272	PA2749
273	PA2092
274	PA3724
275	PA2548
276	PA3560
277	PA4746
278	PA1043
279	PA1434
280	PA1828
281	PA3228
282	PA2201
283	PA4782
284	PA5331
285	PA5272
286	PA0047
287	PA4333
288	PA2318
289	PA0203
290	PA4014
291	PA2787
292	PA5289
293	PA2535
294	PA0240
295	PA3333
296	PA3079
297	PA1807
298	PA4705
299	PA2102
300	PA1935
301	PA0773
302	PA1712
303	PA2109
304	PA4693
305	PA0049
306	PA0143
307	PA1265
308	PA4723
309	PA4881
310	PA1116
311	PA2755
312	PA1789
313	PA1075
314	PA5107
315	PA5221
316	PA4280
317	PA2398
318	PA0247
319	PA1762
320	PA3596
321	PA3298
322	PA4872
323	PA3365
324	PA5415
325	PA5365
326	PA5532
327	PA3690
328	PA4785
329	PA4715
330	PA2349
331	PA4205
332	PA2370
333	PA5514
334	PA3997
335	PA4043
336	PA5436
337	PA1327
338	PA3538
339	PA0401
340	PA0824
341	PA0998
342	PA2236
343	PA5557
344	PA2638
345	PA3462
346	PA3290
347	PA3994
348	PA0777
349	PA3268
350	PA5382
351	PA1014
352	PA3613
353	PA1931
354	PA5202
355	PA0062
356	PA3844
357	PA1301
358	PA5253
359	PA0125
360	PA2985
361	PA1339
362	PA2264
363	PA1207
364	PA3248
365	PA1341
366	PA2615
367	PA2705
368	PA5256
369	PA5036
370	PA2651
371	PA3605
372	PA0332
373	PA2971
374	PA2060
375	PA5034
376	PA3836
377	PA0229
378	PA2910
379	PA4170
380	PA1147
381	PA5087
382	PA3138
383	PA2506
384	PA4590
385	PA1107
386	PA4178
387	PA3784
388	PA0097
389	PA3905
390	PA3085
391	PA1940
392	PA3435
393	PA3951
394	PA1890
395	PA5170
396	PA4262
397	PA2853
398	PA4118
399	PA2480
400	PA4989
401	PA1920
402	PA3484
403	PA2681
404	PA0817
405	PA1254
406	PA1560
407	PA4477
408	PA0391
409	PA1030
410	PA3246
411	PA1048
412	PA3109
413	PA0540
414	PA1681
415	PA5521
416	PA1804
417	PA0010
418	PA0801
419	PA2829
420	PA2189
421	PA4928
422	PA5465
423	PA5160
424	PA2324
425	PA5141
426	PA4805
427	PA2603
428	PA2909
429	PA2640
430	PA3284
431	PA0183
432	PA1013
433	PA4936
434	PA3674
435	PA3691
436	PA5376
437	PA2644
438	PA2141
439	PA0833
440	PA2432
441	PA0513
442	PA4191
443	PA1078
444	PA1178
445	PA4426
446	PA1653
447	PA2250
448	PA1770
449	PA2142
450	PA3006
451	PA0398
452	PA0669
453	PA1181
454	PA1961
455	PA0377
456	PA1165
457	PA0169
458	PA0303
459	PA1203
460	PA3170
461	PA3557
462	PA4860
463	PA1450
464	PA1291
465	PA4279
466	PA1205
467	PA4120
468	PA0878
469	PA2989
470	PA0628
471	PA1304
472	PA0191
473	PA0603
474	PA2972
475	PA1106
476	PA3027
477	PA2870
478	PA1778
479	PA2471
480	PA1644
481	PA4540
482	PA2780
483	PA3401
484	PA0594
485	PA2781
486	PA1361
487	PA3957
488	PA4630
489	PA1420
490	PA4675
491	PA1105
492	PA3227
493	PA3725
494	PA1226
495	PA2151
496	PA1140
497	PA1292
498	PA4658
499	PA5029
500	PA2123
501	PA2147
502	PA2431
503	PA0019
504	PA4341
505	PA4733
506	PA3093
507	PA3361
508	PA4637
509	PA1698
510	PA3160
511	PA0845
512	PA0912
513	PA5364
514	PA4521
515	PA1422
516	PA3886
517	PA4203
518	PA1551
519	PA0629
520	PA5547
521	PA4919
522	PA0913
523	PA0903
524	PA3458
525	PA1271
526	PA0384
527	PA5332
528	PA3386
529	PA2167
530	PA2396
531	PA1108
532	PA4372
533	PA1888
534	PA1478
535	PA5337
536	PA0821
537	PA1231
538	PA2337
539	PA2049
540	PA1002
541	PA2632
542	PA5558
543	PA3320
544	PA4680
545	PA4938
546	PA2210
547	PA1791
548	PA3134
549	PA3275
550	PA2597
551	PA0044
552	PA2446
553	PA5142
554	PA3633
555	PA3779
556	PA3509
557	PA4066
558	PA0881
559	PA3973
560	PA3974
561	PA1846
562	PA4929
563	PA0389
564	PA2939
565	PA1462
566	PA4254
567	PA1593
568	PA1835
569	PA0647
570	PA4887
571	PA4650
572	PA1750
573	PA1487
574	PA1469
575	PA5378
576	PA0040
577	PA0854
578	PA1080
579	PA0493
580	PA2194
581	PA1022
582	PA4471
583	PA0113
584	PA4033
585	PA5098
586	PA4902
587	PA1885
588	PA2840
589	PA5327
590	PA0781
591	PA0214
592	PA5422
593	PA3455
594	PA0836
595	PA2592
596	PA3719
597	PA0588
598	PA0616
599	PA3218
600	PA3782
601	PA2751
602	PA3932
603	PA1201
604	PA5309
605	PA4391
606	PA3148
607	PA2086
608	PA3446
609	PA1204
610	PA3627
611	PA2995
612	PA3272
613	PA3868
614	PA2885
615	PA0991
616	PA4003
617	PA1003
618	PA5099
619	PA2293
620	PA0636
621	PA4412
622	PA1699
623	PA0225
624	PA0872
625	PA3373
626	PA5492
627	PA2714
628	PA4677
629	PA4141
630	PA5434
631	PA1530
632	PA2015
633	PA3586
634	PA1019
635	PA1431
636	PA3200
637	PA1963
638	PA1581
639	PA3419
640	PA5504
641	PA0112
642	PA4937
643	PA3745
644	PA4208
645	PA2778
646	PA4724
647	PA3269
648	PA3523
649	PA2288
650	PA3422
651	PA0454
652	PA5495
653	PA0812
654	PA3074
655	PA3714
656	PA0101
657	PA2579
658	PA0413
659	PA3866
660	PA5544
661	PA4572
662	PA5493
663	PA0871
664	PA4344
665	PA3746
666	PA3642
667	PA1100
668	PA0354
669	PA0717
670	PA1386
671	PA1294
672	PA3679
673	PA3676
674	PA2668
675	PA2741
676	PA2882
677	PA4707
678	PA4585
679	PA4092
680	PA2216
681	PA5321
682	PA2711
683	PA3554
684	PA0670
685	PA1505
686	PA2087
687	PA4095
688	PA4037
689	PA4798
690	PA4492
691	PA0746
692	PA2256
693	PA4560
694	PA2685
695	PA2907
696	PA4622
697	PA2598
698	PA4458
699	PA2962
700	PA2842
701	PA0626
702	PA0856
703	PA3839
704	PA3636
705	PA3850
706	PA3581
707	PA1871
708	PA2035
709	PA2963
710	PA3848
711	PA3653
712	PA3411
713	PA4405
714	PA0814
715	PA0209
716	PA2959
717	PA3671
718	PA0192
719	PA2039
720	PA0318
721	PA1196
722	PA3131
723	PA4906
724	PA5259
725	PA0002
726	PA1639
727	PA0222
728	PA2439
729	PA3322
730	PA4199
731	PA5417
732	PA1511
733	PA1684
734	PA2779
735	PA2663
736	PA2864
737	PA3540
738	PA2056
739	PA1623
740	PA3910
741	PA0020
742	PA1921
743	PA1948
744	PA3717
745	PA1480
746	PA0347
747	PA3907
748	PA1160
749	PA1136
750	PA2958
751	PA5147
752	PA1908
753	PA2703
754	PA0252
755	PA0825
756	PA1326
757	PA1122
758	PA1027
759	PA1007
760	PA4991
761	PA3644
762	PA4853
763	PA2785
764	PA5474
765	PA2929
766	PA1768
767	PA3234
768	PA0721
769	PA3576
770	PA1659
771	PA3726
772	PA1738
773	PA0977
774	PA1335
775	PA5377
776	PA4664
777	PA3121
778	PA0934
779	PA1041
780	PA5396
781	PA1192
782	PA2858
783	PA1864
784	PA4245
785	PA4749
786	PA4004
787	PA2227
788	PA2334
789	PA4080
790	PA2789
791	PA0003
792	PA2752
793	PA4243
794	PA4704
795	PA0223
796	PA3069
797	PA5101
798	PA2041
799	PA0189
800	PA0530
801	PA4979
802	PA1442
803	PA3036
804	PA2452
805	PA3760
806	PA3877
807	PA0272
808	PA0310
809	PA4345
810	PA0592
811	PA4717
812	PA4738
813	PA2691
814	PA1834
815	PA4964
816	PA3570
817	PA2723
818	PA4339
819	PA0137
820	PA0904
821	PA4653
822	PA1686
823	PA5200
824	PA2533
825	PA1146
826	PA1118
827	PA3525
828	PA4911
829	PA1626
830	PA3925
831	PA2766
832	PA1378
833	PA3513
834	PA3104
835	PA1103
836	PA1886
837	PA3594
838	PA2096
839	PA3604
840	PA0706
841	PA2073
842	PA3470
843	PA1543
844	PA4545
845	PA4883
846	PA5369
847	PA4296
848	PA0083
849	PA5081
850	PA2848
851	PA4061
852	PA0104
853	PA2624
854	PA3589
855	PA2159
856	PA4052
857	PA0911
858	PA2146
859	PA2831
860	PA1808
861	PA4577
862	PA0063
863	PA0078
864	PA5444
865	PA1125
866	PA5516
867	PA2582
868	PA3374
869	PA3797
870	PA4972
871	PA0709
872	PA3008
873	PA3193
874	PA4741
875	PA4753
876	PA3526
877	PA0634
878	PA4676
879	PA1405
880	PA2631
881	PA0479
882	PA1661
883	PA4259
884	PA1772
885	PA5481
886	PA5281
887	PA5038
888	PA0923
889	PA5479
