	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299
GSM199985.CEL	0	0	5.3376	0.27551	0	0	1.8763	1.0785	1.0555	1.828	0	0	0	0	0	0	0	4.2267	0	1.0427	2.5944	0	0.81999	0	4.3677	0	0	0.51341	0	0	0	0.21285	0	0.69292	0.3022	0	0	0	0	1.4595	2.5071	0	1.7972	0	0	0	0	0	0	0	0	0	0.12719	0.72897	2.1478	0.93225	0	0	0	0	0	0.22616	0	4.2179	4.9548	0	0	0	0	0	2.8156	0	3.8858	3.1455	1.3948	0	0	0.096053	0	0	0.20339	3.9207	0	0	0	0	0	0	0	0.53049	0	0	0	0	0.63394	0.73403	1.26	1.1125	0	0	0	0	0	0	1.7494	4.5249	0	0	0	0.1468	0	0	0.85331	1.9257	0	0.14448	0	0	5.712	0.87902	0.024383	0.81765	0	0	0.11167	0	0	0	0	0	1.1	0	0	2.0722	0	0	5.0214	5.081	0	0	2.6397	0	0.66172	0.53168	0	1.6151	0	0	0	4.6943	0	0.82514	0	0	0	2.8636	0	0.56253	0.321	0	4.6831	0.28142	4.56	0	0	1.512	0	0	2.0984	0	0	0	0	2.8224	0	1.947	1.973	0	0	0	0	4.0276	0	4.2033	0	0	3.6105	2.7974	0	1.0557	0	0	0	0	0	0	0	0	0	0.15246	0	0	1.0507	0.49189	0	0.073798	0	0	0	0	0	0	1.5605	0.61804	4.6488	0	0	0.17703	0	0	0	4.768	0	0	5.9142	1.8522	0	0	0.19551	0	1.7179	0	0	5.3707	0.05898	0	1.575	1.4145	0	4.8074	0	2.587	0	0.049125	0	0	3.2702	0	3.8192	3.6069	0.55744	0	0	6.1266	0	0	1.2353	0	0	1.0463	0	0	2.3171	0	1.9654	0.70735	2.8637	0	0	0	0	0	0	0	0	1.6743	2.6512	0	0	1.9595	0	0	0	6.1102	0	0	0	3.4469	4.6704	0	3.3961	0	0	5.9951	0.29085	0.53695	0	0.473	0.29646	2.326
GSM2055818_7629_B-_20130705.CEL	0	0	0	0.74062	3.0673	0	6.2795	0.98522	2.464	0	0	0	0	0	0	0.38172	0	1.5682	4.2993	1.5891	0.17181	0.26812	2.4638	3.9482	5.2124	1.4859	1.8527	0	3.0939	0	0	0	0.081743	0.17076	0	0	0	0	0.093804	0.57179	0	1.4828	2.9683	0	1.4493	0	3.4317	0	0	0.23329	0	4.6163	0.95056	0	1.1381	0.29628	0	3.9435	2.8939	1.5969	0	0	0.39403	3.3281	5.0205	1.971	1.8029	1.5074	0.14397	0	0	0.34667	4.1782	1.9508	0	0	0	0.041373	0	0.20668	0	4.8382	0	0	0.71026	0	0.60394	1.0956	0	1.3868	0	0.19984	0	0.88571	1.1641	0	1.4539	0	2.5104	0	2.5974	0.51784	0.29297	0	1.8646	1.1351	0.8472	0	0.43954	0	0	0	0	0	0	0	3.8715	0	4.9867	2.1186	0	0	0	4.0943	2.4985	0.45724	0	0	0	0.24495	0	1.2845	0	0	3.2302	3.2926	0	3.9919	0	0	0.2145	0	2.2355	3.8679	0	0.62188	0	0	0	3.3529	0	0.28899	1.8296	0.46116	0	5.2112	0	0.61324	0	0.49306	2.7474	0	2.7909	0	0	0	0.52149	0	1.4548	0.61458	0.34381	0	0	0.058467	0	1.4023	0	0.11731	0	0	0.81175	2.365	0	1.4286	0	0	1.3749	3.3022	0	0	0	0	2.6629	0	2.7581	0	0	0.034538	0	4.0326	0.52263	0.10699	0	0	0	0.070813	0.45747	0.0039181	0	0	1.5615	0	4.6449	3.8017	3.3404	0.22165	0	0	0.25623	0.074051	0	0.2373	0	3.0382	2.1978	0	0	0	0	0	0	0	0.25393	3.095	0.69277	2.9969	0.86973	1.5401	0.031799	1.472	0	6.6461	0	2.9689	0.27392	0	0	0	4.0138	2.7638	0.76584	0.93665	0	0	0	1.1093	0.21787	0	0	1.4873	0	0	0	0	0	0.27445	1.778	1.2164	0	0.02231	0.12138	0.12541	0	0.53295	0	3.6002	0	0	0	1.396	0.37361	0	0.23742	0	0	0	0	2.0304	2.6017	0	2.8527	1.3709	0	2.9756	0	0	1.2778	0.17491	4.029	3.823
GSM900179_F2_Pae_G1a_.CEL	0	1.2349	0	4.8722	0.53389	1.4729	0.67135	0.3807	0	0	0	0	4.7322	0	0	0	0	0	2.1522	0.5908	4.8704	0	0	0	2.7626	0	0	4.9557	0	0	0	0	3.4042	0	0	0.92881	0	0.29494	0	0.090003	2.6186	0	2.2732	0	0	0.97237	0	0	1.4534	0	0	0	0	0	3.2642	1.1126	0	0.99514	3.62	0.30484	0	0.066702	0.90885	0	2.6086	1.093	1.0919	0	2.0827	0	0	0.026742	5.6747	0	0.21111	0	0	0	0.11281	1.0281	0	1.6395	0	1.4175	1.2952	2.3583	0	0	1.888	0	0	0.47153	0.83031	3.9771	0	0	0	2.2189	0	3.2456	3.0088	0	4.9706	0	0.24162	0	1.0344	0	0	0	0	0	0	2.0063	1.8526	3.1031	0.10845	1.0747	6.4924	0	0	0	0	3.6226	0.3728	3.1261	0	0	0	0	5.5343	1.9981	4.8167	1.9052	0	1.3522	0	0	0	0	0	0	3.7891	1.2661	0	0	0	0.77616	0	0	4.114	0	0	3.4493	0	0.69131	0	0	0	0.028469	2.6378	0	1.6986	0.088652	0	0	2.0436	0	0.83878	0	0	0	0.56914	2.1568	0	2.8283	0	0	0	0	0	0	3.1048	3.8809	0	0	1.9299	0	1.3103	0	0	3.1269	0.53343	0	0	0	0.27688	0	7.2541	1.6662	0	0	0	0.21729	7.64	4.1624	0.25769	0.89399	0.11005	0	0	0	0	0	2.8717	0	0.0080888	0	0	0	0	0	1.0305	1.6857	4.7467	0	0	3.6382	5.1528	0	2.9569	0	4.0176	0	0.11216	0.17901	0.42713	0	0	0	0	0	0	3.4399	0.608	0	0.84593	0	2.6609	0	0.40809	0	0	0	0	0	1.4387	0	0	0	0	0	0.51772	0.90982	0.7667	0	0	0	0	2.2801	1.2522	0	0	0	0	0.91875	0	0	0	0.13305	0	1.0566	0	0	4.6179	0	0	0.42154	0.19576	0	4.0837	0	0	0	0	1.2522	0	1.4312	0.18197	6.8484
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	1.7868	0	3.0561	0	1.2248	0	0	0	0.042472	0	0	0.17355	0	1.2707	2.5429	0	0	0	0.11905	4.5465	3.7859	0	0	0	2.5788	0	0	0	0.4628	0	0	0	0	0	0	0.79066	0.22332	3.3696	0	0	2.2716	0	0	2.2306	0	0.14164	5.3889	0	4.3863	1.9296	0.099223	0	0.34896	0	0	0.48552	0	0	0	0	0	0	0	3.5176	5.1274	0	0.14468	0	0	0	0.07542	1.0331	6.6244	4.852	0	0	0	0	0	0	2.2693	3.5659	5.6511	5.0584	0	1.8218	0	1.2328	2.3236	0	0	3.6714	0	0	0	1.6618	2.9976	0	0	3.3761	0.035241	0.66377	3.416	3.5627	0.21852	0	0.63844	0	0	0	0	1.0585	0	0	0	1.7105	0	0	4.6397	0	0	0	0	0.14352	0	0.8338	1.4057	0	0	0	0.41921	4.4344	0	0.30818	0.20678	0	0	0	2.6947	0	0.89938	0	0	0	0.16368	0	0	2.9135	0	0	0	0.84701	0	2.038	0	1.6974	0	0	0.52846	0	2.6417	0	0	0.19592	0	0.48925	0	0.3048	5.1959	0	0	0	0	4.5966	0.82456	0	0	0	2.2241	0.55685	0.42307	0	0	4.3794	0	0	2.6421	0	0	0	1.1502	0	0	1.2024	0	2.3843	0	0	0.18834	0	0	0	0	0	0	0	0	0	2.0294	4.9515	0	0	2.1952	0	2.22	2.4788	0	1.2902	0	1.1295	0	0	0	0	3.0557	0	0	0	3.359	0	0	0	0	0.75706	1.6777	0	1.1593	0	0	0	0	0.040151	0	0	0	0	1.5486	0.50564	4.0468	0.32189	0	0	0.3817	0.26565	0	0	0.63287	0	0	0	0.60517	0	0.41405	0	1.8669	1.0063	0.7285	0.47468	0	2.3454	0	0	1.2386	0	2.0379	0	0	0	1.8899	3.7999	0	0	0	5.9292	0	0	0	0	0	0	1.8633	0	0.16141	1.9271	0	0	0	2.7941	0.32854	1.6903
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	0	2.0415	0	0	0	0	3.69	0	0	0	0	0	0	1.2194	0.32802	2.2133	0	0.40121	0	0	0.39998	0	1.9317	4.8332	4.2928	2.2883	4.2552	0	2.1793	0	0	0	0.062359	0	0.43469	0	0	3.2525	0	0.90512	0	0	1.3325	0	0	0	2.045	0.033379	0	2.008	3.6231	0	0	0	0	0.70345	0	0.85992	1.4946	0.99223	0.087486	0	0.15709	5.6001	5.1523	0	0.24025	0.43216	1.9702	0	0	0.96099	5.3328	0.65163	0	0	0	0	0	0	0	5.0254	0.27043	0	0	0	0	0	0	0	1.3321	0.16566	0.43294	0	1.2972	0	0	0	0.48895	1.2132	0	0.51721	0	0.77064	2.7034	0	0	3.59	0.32719	0	0.65437	0	0	1.2155	1.8439	1.3805	3.6374	1.8679	4.3622	0	0	1.9257	0.44168	1.4688	1.2944	2.7142	0	0	1.7071	0	0.088256	0	0	0	0.49739	0.10778	0	0	1.5644	2.3249	0.22766	0.20486	0	7.1913	2.5259	4.4643	0	1.3826	0	0	0	0.47038	3.0892	0	0	1.118	0.53799	1.2488	0	4.42	0	0.3086	0	0	0	0	0.34826	0	0	0	0.47204	0	0	0.30899	2.5295	0.76871	0	0	0	0	0.94399	0	1.2435	0	0.81042	0	4.7115	1.9698	1.4735	1.3978	0	0	4.8288	0	1.7023	0	0	0	0	0	1.4424	0	0	0	0.20498	0	0	1.0256	0	3.466	0	0	4.9671	3.8187	4.9571	0.72285	0	0	3.3117	0.58403	0	0	0	0.1094	1.6204	0	0	0	0	0	0	0	0	1.3319	0.36591	5.4955	0.20342	5.5698	2.372	0	3.895	1.2592	0	1.8356	2.6599	0	0	0	5.544	0	1.0121	0	3.6439	0	0	2.508	1.1894	0	1.8818	0	0.3177	0	0	0	1.2912	1.1241	0.51611	4.1496	1.8819	0	2.4004	0	1.96	0	0	1.8674	0	0	0	0	0	0	0	0	0	0	0	0	0.45769	0	3.1347	2.1116	2.226	0	1.1704	2.2788	0.96655	0.00034824	5.5973	5.081
GSM821495.CEL	0	0.98576	4.559	0	0	0	0	0.025751	0	0	0	0	0	0	1.5847	0	0	0.053975	0.37725	0	4.8014	0.4326	0	0	2.1297	0	0	0	0.10953	0	1.4546	0	0	0	0	0	0	2.0946	0.63801	0.78445	1.8546	0	3.2295	3.1677	0	0	0.8458	0	3.0778	0	0.5344	0	0.24219	0.0024822	0	0.35275	0.3383	0	0	0	0	0.30287	1.318	3.3294	5.6271	0	0.057353	0	0	0	1.2763	0	6.9068	5.4586	0.52106	0	0	0	0	0	0	4.4622	2.0829	2.426	0	1.4884	0.79725	0	0	0	0.17378	2.9783	0.75967	0	0.42366	0.49001	1.2223	0	0	0	0	0.58134	0.8486	0.10719	1.6109	0	0	0	0	0	0	0	0	0.47439	0.231	1.0113	0	0	3.6993	0	0	0	0	0	0	0	3.3922	0	0	0	0	0.10094	0	0.12031	0	0	0	0	0.80736	0	1.0666	0	0	0	0	0	0	0	0	0.095093	0	0	0	0.50873	0	5.02	0	0.53821	0	0.057061	5.1687	0.74741	3.1157	0	0	5.1139	0	0	0.95655	0	1.4643	0	1.8559	3.028	4.5691	2.1014	0.33074	0	0	1.0056	0	1.0125	0	3.2893	0.092676	0	5.8898	3.0145	0.64791	2.7181	1.28	1.9129	0	1.0279	0	0.42853	0	0	0	0	0	0	0	4.2876	0	0	0	0	0	0	0	0	3.9162	0.012668	1.1437	0.3256	0	1.6197	0.2547	2.2886	0	4.7544	0	0	5.2657	0	0	0	1.9052	0	0	0	0.67453	0.65154	0	0.14304	2.6839	0	0	3.0999	0	2.4636	0	0	1.8068	0.40464	3.5958	3.0133	5.076	0	0.9297	0	0	5.3709	5.061	0	0	0	0.88214	0	0	0	0.12694	0	0.27083	3.9445	0.52285	0	0	0	0	2.1579	0	0	0	0	0.20019	1.7931	0	0.29391	0	0	0	0	0	0	0	0.50688	1.6229	0.19735	1.8374	1.1089	3.8304	0.46115	0.37861	1.6172	0	0.039145	0	0
GSM822689_wtBSM_A.CEL	0	0.59028	0.48262	0	0	0	2.7776	0	0.70976	0	0	0	0	1.9211	2.1205	0	2.9371	0	1.2029	0	1.9471	0.18979	0	0	5.0219	0	0	0	0	0	0	0	0.1316	2.3368	0	0	0	0.010562	1.6105	0	0	1.2995	2.2081	0.14978	0.25528	0.41764	0	0.33864	1.6984	1.8558	0	0	0	0.50552	0	0.61365	0.38318	0	0	0	0	0	0.074767	2.2782	5.4226	0	0	0	4.6132	0	0	0	6.7176	5.8048	0.058545	4.6134	0	0.3417	0.61542	1.3067	2.0601	4.69	0.78196	0	0	0	0	1.3121	0	0	1.7689	0.33357	0	0	0	0	0	0	0	0	0	0	0	0	0	5.165	0	0.92385	1.9838	0	0	0	3.996	2.7669	1.948	0.32799	0	0.37027	4.9679	0	0	3.2921	0	0	0.3585	0	4.7278	0	0	0	0.098863	0	0.33586	0.34603	4.4646	2.398	0.80195	0	0	0	0	0	0	1.8423	0	1.9135	0	0	0	0	0	0.37566	0	1.1955	0	0	2.6472	2.1383	0	1.96	2.4943	0	0	0.10899	2.638	0.66543	0.089731	0.09383	1.1208	0	5.1561	0	1.7665	2.1451	1.3531	0	0	0.16863	0	0	0	1.1786	0	0.78817	2.2948	0.5692	6.3616	3.104	0.96462	0.62279	3.6731	2.6264	0.76189	0	0	0	0	0	1.9878	1.1068	1.8628	0	0	0	0.6363	0	0	0	1.2679	0.40507	0	0	4.4444	4.427	1.9568	0	0.59819	0	0.63901	0	0	0.85009	0	0	4.7705	0	0	0	2.3975	0	0	0.36493	0	0	1.2806	0.083793	0	0.67265	0.33347	3.3974	0	2.2614	0	2.1488	0	0	0	4.1368	4.5788	0.1252	0.55657	0	0	1.7505	3.5896	0.22273	0	0	0	0	0.57739	0	1.6289	0.33895	0	3.8412	0.18231	0	0	0	0	0.41423	0	0	0	0	0	0.59115	0	0	0	0.29912	0	0	0	0	0	0	0	0	3.307	0	5.6764	2.8755	1.2251	5.0261	0	0.19894	4.4377	5.726
GSM560759.CEL	0	0	0.34956	0	0	0	4.8833	0	0.1463	1.6142	2.2948	0.69696	0	0.25248	3.236	0	4.9697	0	0	2.4337	3.96	0	0	0.47156	4.1285	0	0.16367	2.2989	0	0	1.0287	0.026268	0.59322	1.1525	0.75751	0	5.593	0	0.66991	0	0.15994	2.5139	2.896	2.833	0.80662	2.9976	0	0	0	0	0.77012	0	0	0	0	0	0	0	0	1.2489	0	0.93115	0	0.52404	4.5492	0.0052817	0.037458	0.45347	0	0	0	0	6.0908	0	1.9035	1.7509	0.78917	0.093097	0	2.3738	0.11886	0.19291	1.6406	0.86013	0	0.049735	0	0	2.7437	3.4914	0	1.1645	0	0	0.36274	0	4.5543	0	0.12474	1.6338	0	0	0	0	2.7292	0	0	1.3967	0	0.78669	0	0	0	0.99194	0	0.38913	0.076873	0	5.481	2.6948	0	0.85682	1.0455	0	0.30808	0	0	0	0	0.17735	0	0	0.12031	2.0865	2.9551	0	6.1147	4.5274	0	0	0	0.08232	0	0.38757	1.9181	0	0	3.1059	1.149	0	6.1688	0	1.7252	1.527	0	0	0	1.4587	0	0	2.0512	0	0	0	2.1407	0	0.30703	2.7271	3.2297	0	0	2.4021	0	4.906	4.5331	3.5671	0.00021505	0	0	0	2.8421	0	0	0.27913	0.57841	0	4.8486	0	0	0	2.7175	0	0	0	0	0	0	0	0.2324	0	0	4.7909	0	0	2.5424	0	0.42712	0.36187	4.2385	1.5608	0.44179	0	0	0	7.2761	0	0	3.0688	0	0.15763	0	0	0	0	6.0427	0	0	3.6277	1.7962	0.48206	0	0	0	1.2183	1.5625	0	0.66252	0	0	0.97301	0.018962	0.20212	0	0.50107	0	0	0	0	3.0605	0	0	0	0	1.792	0	1.7978	0	0	0.41006	0	0.27109	0	0	0	0.057558	0	0	0	0	0.39075	0.62416	0	0	0	0	0	0	0	0	0	1.5142	0	0	1.9848	0.21955	0	2.661	0	0	0	5.7131	0	0	0	0.63897	0	0.86978	6.6824	0	0
GSM2070494_OCio-14-MutS_A_d94_cipro_2-Pae_G1a-a1.CEL	0	4.13	0	0	0	0	1.4316	0.62951	0.092242	0	0.048182	0	2.5837	0.19733	0	0	0.57058	1.5953	0.061993	4.4419	0	0.71473	0.96892	1.9281	5.2178	2.4791	0	0	0	0	0	0.32849	0.68963	0.62883	1.4547	0	0	0	0	0.10788	0.0058584	0	1.0485	0	0	0	0	0	3.0709	0	0.20216	0	0.11857	0	0	0.72222	0	2.2403	0	4.4238	0	0	4.3974	2.0246	4.9911	0	0	2.1571	0	0.026943	0	0	5.785	0	0	0	0	0	0	0	1.1036	4.6953	0	0	0	0	1.0611	0	0.91456	0	0	0	0	0	0.078134	0.50033	1.8936	0.2801	0	0	2.3881	0	0	0	0	0	0	1.0126	0	0	0.56607	0	0.23083	1.0696	2.744	0	2.7042	4.019	6.2691	0	0.36909	0	0	4.712	0	0	0	0	0.019221	4.4064	0.75976	0.24495	4.4211	0.77246	0	0	0	0	0	0	0	0	1.4549	0.21914	0	0.53752	0	0.78401	0	0	0.3841	0	3.052	2.5218	0	0.54375	0	0.54323	0	0.3729	0	0.081456	0.072955	0	0	0	0.069073	0	0.30045	0	0	1.9764	0	1.0155	0	4.2978	0	0	0	0	0.72878	1.6525	0.20078	2.1913	0	0.022234	2.3291	1.209	0.0049332	0	0	0.75604	0	1.8323	0	0	0	0	0.23238	0	0	0	0	1.3507	4.4371	1.6511	0	0	0	1.7508	0.1466	0.20045	3.2781	0	6.2171	0.36687	0	0	1.7601	1.4648	0	4.4805	0	2.4898	2.1103	4.826	1.9754	2.3248	1.3913	0	0	0	4.1248	0	0	1.4096	0	4.0793	0	0	0	3.5436	0	8.6285	0.10662	0	0.41817	2.4588	7.134	0	0.23715	0.14969	0	0	0.50725	0.13081	0.84845	0	0	0	1.7487	0	0	1.81	0	0	0	0	0	0.5816	0.25485	0.16413	3.1993	0	0	0.33224	0	2.6622	0	0	0	0.52535	0	0	2.6345	0	0	0.062309	0	0.88548	4.7247	0	0	0	1.2702	0	1.9298	0.17113	1.085	3.9212
GSM1267104_HZI1970_Pae_G1a.CEL	0	0	3.0751	0	0	0	0	2.143	0.14187	0	0	0	0	0.84919	0.0070364	4.1274	0	0.37452	1.0001	0	4.2008	0.56613	1.5684	0.032243	5.691	0	0	0	0	0	0	2.6574	0	0	3.4141	0	0	0.36474	0	0.48434	0	0	0.35591	0.80328	0	0	2.0462	0	0	3.5749	0	0	0	0.93725	0	0.17133	0	0	0	0	0.15455	0	3.8497	1.014	5.2024	2.3436	1.962	0.79253	1.753	0	0.44909	0.48327	5.0611	2.1997	0.96231	0.7495	0	0.52264	0	0	0.65721	6.1433	0	1.4615	0	1.3121	0	2.3967	0	0	0	3.1515	3.0792	0.41204	0.99813	1.5971	0	0	0.82355	0	0	0	0	3.437	0	0	0.70731	0	0	0	0	0	0	0	1.0485	0.76246	0.76314	0	5.5294	0	0	0	0	0	0	0	4.1404	0	0	0	0.29349	0	1.0029	0	0	0.18561	0	0	4.3694	0	1.5375	0	0	0	0.031635	2.7396	0	0	0	0	0	0.21828	0	0.45736	0	0	2.868	0.53659	0	0	2.0125	0	0	0	2.4959	0	0	0	0	2.6628	0	0	1.525	0.5867	0	0.50922	0	0	1.2498	0	0	0.41009	0	2.3827	0	0.90982	0.40021	2.428	0.66577	0	0.99308	1.8895	3.7104	1.3233	0.11935	0	0	0	0	3.8928	0	0	0.65513	3.1539	0	0.49708	0	0	0	0.31194	0	0	5.3273	0.71771	1.2287	1.2633	0.52524	0	0.39321	4.5721	0	0	1.6074	0	2.4991	0	2.4634	0	2.4708	0	1.9372	0.347	0.094577	0	0	0	0	0	0.94918	0.6854	0	0	0	3.7058	0.011261	3.1477	2.3762	0.31115	5.0464	0.25566	1.1613	2.3397	2.6223	0.25889	0.06983	0.29548	0	0	0	0	3.0283	0	0	0	4.4129	0	0	0.05371	0	0	0.42545	0	0	0	0	4.2344	0	1.3801	0	3.6992	0	2.7192	0	3.2388	0	0	0	0.29683	4.0207	0	2.7524	0	2.842	0	0	3.5905	2.1515	0	2.9007	0
