	1	2	3	4	5
0.1_12hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
0.1_2hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
0.1_6hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
0.1_7hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
0.1_9hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
05_PA14000-4-2_5-10-07_S2.CEL	3.394120454788208	0.0	6.35894775390625	3.4726834297180176	0.0
1_12hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
1_2hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
1_6hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
1_7hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
1_9hr_CSV86(Pae_G1a).CEL	0.0	0.0	0.0	0.0	0.0
120330-10978D_22_(Pae_G1a).CEL	0.0	5.957896709442139	2.350872278213501	1.471068263053894	0.0
120330-10978D_23_(Pae_G1a).CEL	0.0	5.793365001678467	1.9953105449676514	1.9894405603408813	0.0
120330-10978D_24_(Pae_G1a).CEL	0.0	5.4716691970825195	2.2337310314178467	1.891884207725525	0.0
120330-10978D_M1_(Pae_G1a).CEL	0.0	5.6338324546813965	2.695993185043335	1.9953707456588745	0.0
120330-10978D_M3_(Pae_G1a).CEL	0.0	5.469344615936279	2.714442491531372	1.923909306526184	0.0
120330-10978D_M4_(Pae_G1a).CEL	0.0	4.4781999588012695	2.45070481300354	1.732528567314148	0.0
142_2014wt_anaero.CEL	7.594935417175293	0.0	0.866194486618042	1.7154178619384766	1.6010797023773193
143b_2014wt_anaero.CEL	7.512838840484619	0.0	0.9659769535064697	1.6328086853027344	1.5261585712432861
144_2014wt_anaero.CEL	6.398916244506836	0.0	0.5936374664306641	1.3403606414794922	1.4343836307525635
145_2014dR_anaero.CEL	6.866517066955566	0.0	0.9694664478302002	1.1279162168502808	1.8656593561172485
146_2014dR_anaero.CEL	7.310605525970459	0.0	1.1285889148712158	1.1816184520721436	2.363391399383545
147_2014dR_anaero.CEL	6.990169048309326	0.0	1.04288649559021	1.0944867134094238	2.170103073120117
20mM_CF600.CEL	0.0	0.0	0.0	0.0	0.0
20mM_KT2440.CEL	0.0	0.0	0.0	0.0	0.0
2mM_CF600.CEL	0.0	0.0	0.0	0.0	0.0
2mM_KT2440.CEL	0.0	0.0	0.0	0.0	0.0
54375-4-05.CEL	3.3236708641052246	0.0	1.7641990184783936	5.124987602233887	3.901674747467041
aerobic_NO3_1.CEL	0.0	2.7714123725891113	6.170729637145996	0.4229581356048584	0.9519803524017334
aerobic_NO3_2.CEL	0.23684024810791016	0.0	5.122088432312012	1.7468615770339966	0.0
AKGlu_plus_nt_7-8-09_s1.CEL	3.3886873722076416	1.2734404802322388	7.205482482910156	0.6469132304191589	0.3652305603027344
anaerobic_NO3_1.CEL	0.0	5.550590515136719	0.0	0.0	2.2302284240722656
anaerobic_NO3_2.CEL	0.0	5.763273239135742	0.1297132968902588	0.0	2.262669801712036
control1_anaerobic_Pae_G1a.CEL	6.006017684936523	1.4462529420852661	0.0	0.18743935227394104	0.0
control1aerobic_Pae_G1a.CEL	4.571298122406006	2.181565523147583	0.0	0.0	0.0
control2_anaerobic_Pae_G1a.CEL	5.929839134216309	1.5320504903793335	0.1558694839477539	0.0	0.0
control2aerobic_Pae_G1a.CEL	3.875840902328491	2.6030454635620117	0.0	0.0	0.0
control3_anaerobic_Pae_G1a.CEL	5.913170337677002	1.2703286409378052	0.0	0.002277284860610962	0.0
control3aerobic_Pae_G1a.CEL	4.923665523529053	2.4831113815307617	0.0	0.0	0.0
DB1.CEL	0.2259964942932129	0.0	0.0	0.3261238932609558	1.6554887294769287
DB3.CEL	0.0	0.7022675275802612	0.0	0.14661991596221924	1.4251267910003662
DC1.CEL	3.015486717224121	1.56149423122406	2.015214204788208	0.715064525604248	1.3626670837402344
DC2.CEL	2.0191309452056885	1.3140472173690796	1.8530523777008057	0.8295952081680298	1.1692922115325928
