	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
GSM774161_PAO1b.CEL	-6.0389	-2.5282	-3.1935	-0.046129	-1.3226	-0.85693	1.2419	-0.87161	-0.53755	0.26261	-1.0713	-0.57381	-0.69902	0.27445	0.24309	-0.11933	-0.41339	-0.23442	-0.74193	0.061081	0.55151	0.27073	-0.061862	0.37358	0.090853	-0.18882	0.069445	0.36838	-0.19212	0.084285	0.1013	-0.21941	-0.062647	-0.30517	0.14647	0.028468	0.045608	0.161	-0.13104	-0.30275	0.11903	-0.061969	-0.044116	0.0050371	0.49353	0.43242	-0.15578	-0.020039	-0.13993	0.1518	-0.34307	0.095678	0.26747	0.23249	0.082941	0.20159	0.060202	-0.039434	0.084212	-0.033345	0.02172	-0.12839	0.052774	-0.11909	0.31366	-0.13162	0.0068077	0.18782	-0.096434	-0.016231	0.023087	0.071833	-0.099646	-0.076088	-0.057317	-0.10646	-0.13882	-0.048391	-0.030366	-0.2336	-0.0088054	-0.14002	0.082797	-0.043291	0.184	0.12278	-0.1489	0.10167	0.093742	-0.031351	0.17047	-0.015779	0.16055	-0.026386	-0.033375	0.15033	-0.11009	0.07897	0.01988	0.22562
Overhage3002_(Pae_G1a).CEL	-5.3561	0.14453	0.4951	2.1245	0.0022334	-1.9777	-0.52444	-1.0579	-0.51886	0.91945	-0.45764	1.583	1.7514	0.68352	-0.65701	-0.1985	-0.23817	0.31239	0.58145	2.0368	-1.2367	0.003222	-0.3023	-1.0339	-0.21796	0.36137	0.29302	0.25848	0.49783	-0.43193	0.27938	0.054775	-0.89736	0.33797	0.79995	-0.64584	-0.3318	-0.58215	0.32062	-0.19235	0.20552	-0.0044526	0.23709	-0.067537	0.21292	-0.13625	0.32791	-0.79153	-0.27415	-0.83722	-0.14812	-0.37937	0.023067	0.86768	-0.37266	-0.13929	0.028542	-0.078834	0.19549	0.21234	0.12005	-0.47555	0.90795	-0.20288	0.28725	0.071952	-0.44906	-0.73284	0.011963	0.29944	0.32175	-0.30342	-0.50119	-0.2392	0.082091	0.047317	-0.17903	0.23489	-0.52032	0.52608	-0.43307	-0.46507	0.11667	0.22016	-0.060679	0.44459	0.7101	0.21997	0.35073	0.13445	0.31079	0.12886	0.16618	0.20036	0.061352	0.29545	-0.26375	-0.10801	0.0017539	-0.30029
GSM432861.CEL	-5.9015	-2.9402	-2.454	-0.042956	-2.0541	-0.65476	0.51295	0.20793	0.26294	-0.80769	-0.95161	-0.52772	-0.33407	-0.33378	0.63064	-1.1166	-0.80761	0.085329	-0.2595	0.36077	-0.04466	-0.19138	-0.10244	0.49949	-0.14991	-0.38894	0.46051	0.22562	0.14122	0.15452	-0.13806	-0.063924	-0.36312	-0.19108	-0.29662	0.1997	-0.29726	-0.39197	-0.32471	-0.13338	0.055973	-0.24744	-0.092733	0.16487	0.30496	0.70114	0.076027	0.014243	0.31589	-0.33504	0.086047	-0.010466	0.29872	0.29313	0.0094292	0.071867	-0.20243	-0.29131	-0.051611	-0.47237	-0.14102	0.2776	-0.15519	0.079003	-0.084041	-0.1321	-0.09785	0.30622	-0.030154	-0.23937	-0.44562	-0.035026	0.1696	0.067668	0.040624	-0.05415	0.045491	-0.0087559	0.035324	0.32908	-0.13823	-0.042438	-0.04644	-0.11548	0.071299	-0.084492	0.17277	-0.031952	-0.095726	0.0079582	0.13251	-0.17067	-0.10441	-0.078453	0.0060879	0.20664	-0.30734	0.16672	-0.083233	-0.087772
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	-6.1634	-2.5672	0.37686	-0.039803	-1.861	-0.46468	0.61963	0.52563	1.0247	-1.2087	1.3434	-0.5315	0.67918	1.0589	-0.18787	0.88149	-1.6047	0.55538	0.042876	0.15707	-0.77925	-0.43546	-0.23338	0.065367	0.81991	0.013542	0.018439	0.28203	0.71508	-0.76788	0.19781	0.076177	-0.095664	-0.45584	-0.41646	-0.22665	0.033597	0.52133	0.21362	-0.031258	0.30714	-0.27947	-0.49125	0.14206	-0.0023402	0.20317	0.45073	0.20015	-0.12711	-0.14942	0.22122	0.073269	-0.14003	0.50434	0.015511	-0.081448	-0.050207	-0.077433	-0.10004	-0.14362	-0.16935	0.12885	0.028771	0.11214	0.028504	0.24664	0.10186	-0.1334	-0.071681	-0.071941	-0.3167	0.065689	0.11439	0.073916	-0.23101	-0.0064653	-0.011162	-0.12483	0.065317	0.078231	0.18146	0.20737	-0.1511	-0.1164	0.16558	-0.14234	0.029065	-0.4335	0.1888	-0.12081	-0.010787	0.25876	0.087752	0.10576	-0.020963	-0.087177	0.14347	0.065396	0.41963	0.22159
GSM1517347_MK-1.CEL	-5.0866	-0.92526	2.5727	-0.70724	-1.5736	-1.3102	-0.59786	-0.98752	-0.64525	-0.0746	-0.34638	0.17211	0.24907	-0.59397	-0.19202	-0.27611	0.7749	0.35601	1.2835	-0.58081	0.26585	-0.23659	-0.4021	0.12338	0.4616	-0.04318	-0.23298	-0.082459	-0.15306	0.28599	-0.88216	-0.64123	0.16546	-0.53268	0.050938	0.022512	-0.18587	-0.06612	-0.019712	0.2854	-0.19933	0.65047	0.20838	-0.55125	-0.048354	0.25447	0.030006	0.13599	0.039363	0.01168	0.10795	-0.043725	0.84718	-0.14349	0.88851	0.13158	-0.086412	0.44856	-0.33262	0.49372	0.42627	0.50069	0.15767	0.66057	0.19535	0.27841	-0.12562	-0.21144	-0.085807	0.3484	0.27031	-0.095334	-0.25982	-0.3644	0.050815	-0.16838	-0.28959	0.15403	0.033328	0.32292	-0.29415	-0.019376	0.37411	-0.14068	0.31828	-0.12165	-0.059357	-0.087658	0.11379	-0.24868	0.027521	0.024706	0.10976	-0.068563	-0.37082	-0.47581	-0.087187	0.098606	0.10638	0.19544
GSM462063.CEL	-5.5281	0.97849	3.867	-0.041649	0.64562	-0.54653	-0.80763	0.10198	-1.9018	1.7387	-0.76649	0.35428	1.0812	1.1246	0.49062	-0.64557	-0.56061	-0.51849	0.53122	-0.85664	-0.51883	0.11157	-0.52904	-0.042514	0.52123	-0.7222	0.34802	0.42598	0.32293	0.30849	-0.026412	0.47469	0.17686	0.045526	-0.20514	-0.31958	-0.61695	0.41656	-0.40483	-0.31244	-0.11121	0.14305	0.37454	-0.35375	0.025879	0.09004	-0.013004	0.34063	0.26922	0.0042076	0.23832	-0.089933	0.19663	-0.28215	0.30885	0.055015	0.18907	0.31596	0.23893	-0.37687	-0.091323	0.039792	-0.12277	-0.17518	0.29196	-0.070603	-0.10715	-0.33996	-0.25297	0.2138	0.020211	0.18848	0.11959	-0.16436	0.20831	-0.013294	-0.23826	0.1479	-0.04622	-0.15104	-0.10189	0.050688	-0.12905	-0.46666	-0.18135	0.069036	-0.1605	-0.091515	-0.13581	0.024203	0.0073169	0.044293	-0.1958	0.1491	0.057853	-0.25687	-0.4207	-0.022056	-0.24565	0.15365
GSM591623.CEL	-5.7081	0.6959	3.0985	-0.18832	-0.088283	0.14836	-2.2895	0.62339	-1.2381	0.94602	-0.18629	-1.1062	0.55421	1.2835	0.73411	-0.11036	-0.47588	-0.059611	0.03498	-0.075851	-0.25448	-0.097776	-0.050304	-0.35491	0.035024	-0.41597	0.5966	0.21834	0.23601	0.3039	0.39709	0.60652	0.062231	0.53315	0.5722	-0.064295	0.022924	-0.35431	0.4942	0.34379	0.095401	0.0084933	-0.15101	-0.15822	0.53128	-0.10361	0.30591	0.68257	-0.6037	0.24666	0.26916	-0.22362	0.35515	0.046677	0.41505	-0.49206	0.32869	0.029704	0.57585	-0.15508	-0.28524	-0.20704	0.55433	0.014519	-0.031122	0.19667	0.012943	0.082081	0.039243	0.1271	0.061315	0.32559	0.083727	0.41731	0.25415	0.22017	-0.19477	-0.20913	-0.17755	0.05286	-0.11117	-0.0030393	0.031475	-0.10842	-0.05241	0.28189	-0.25029	0.17975	-0.18099	0.40713	0.04432	-0.027328	0.20838	0.13711	0.14749	-0.0088344	-0.07344	0.15959	0.096279	0.12991
GSM199986.CEL	-5.444	0.24758	2.5514	-1.5257	-0.74912	-0.31851	-2.3093	-0.66622	-1.1482	-0.98039	-0.0013268	0.28107	-0.85942	0.43711	0.14869	1.1784	0.80581	-0.13704	-0.834	-0.31601	0.12649	0.038874	-0.3215	-0.41031	-0.20668	0.68609	0.27296	-0.43978	-0.12619	-0.028621	0.099037	0.49519	0.04222	0.29073	0.26662	-0.10464	0.1793	-0.2366	0.20753	-0.029837	0.015432	-0.47402	0.15848	0.13321	0.08973	0.0018604	0.11592	0.14615	-0.30253	0.43527	0.029042	0.22595	-0.26372	0.1134	-0.19476	-0.20762	0.19295	-0.31111	0.2927	-0.06108	0.13202	-0.24193	-0.25332	0.052257	0.010513	0.20783	0.13697	-0.28327	0.20356	0.071841	0.036118	-0.071567	-0.2475	-0.020083	0.01891	0.21409	-0.080207	0.15139	0.34424	-0.16712	-0.12285	-0.42761	0.14117	-0.1071	0.035008	0.080294	-0.0068581	-0.031459	-0.008955	0.090227	-0.12158	0.098893	0.033246	-0.0019982	-0.29777	0.152	-0.13882	0.024172	0.25543	0.29136
GSM1958030_Cadaverine_1.CEL	-4.8159	3.0301	-2.6499	-1.1564	-2.0252	0.26786	0.90923	-0.47862	-0.43943	1.6365	0.37533	-1.3913	1.2264	0.37255	-0.69636	0.74604	0.103	1.1401	-0.091364	-0.1414	-0.63925	-0.23626	-0.092942	-0.18987	0.085836	0.088918	0.4251	-0.45592	0.39278	-0.32899	-0.16475	0.040889	0.26149	0.28769	0.30001	-0.44409	-0.20739	-0.55874	0.22576	0.19002	0.41377	0.389	-0.032428	-0.22296	0.13449	-0.50485	0.34234	0.26477	0.020361	0.15648	0.10116	0.046307	-0.43491	0.13794	0.13309	0.022116	0.082016	-0.18886	-0.1313	0.21022	0.37572	0.25068	0.068334	0.29282	0.18287	0.36542	-0.21287	-0.081665	0.16995	-0.23324	0.18586	0.13733	-0.017944	-0.0047318	0.05888	-0.15013	0.042038	0.16984	-0.070119	-0.029814	0.078351	-0.20098	-0.13667	-0.059908	-0.0083795	-0.26593	-0.068002	0.0020732	-0.12393	0.066772	-0.13538	-0.19454	0.068423	-0.051223	0.038659	0.1888	0.31905	0.06996	-0.0052776	0.11978
GSM1419138_PAO.CEL	-5.3853	0.99526	1.4538	-1.9006	-1.8726	1.1074	-0.18781	1.3466	-1.0192	-0.23148	0.14168	-0.076252	0.22055	-0.23182	0.073221	0.35832	-0.20071	-0.69769	-0.14417	-0.16349	0.14653	-0.22302	-0.44476	0.21935	0.017466	0.21772	-0.16225	0.32496	-0.49099	-0.11242	0.44614	0.38093	0.27509	-0.22194	0.29549	-0.2662	-0.062924	-0.43136	0.44659	0.045731	0.10203	-0.48708	0.38896	0.075281	-0.076866	-0.14952	-0.5569	0.38896	-0.44434	0.057448	0.035097	0.7437	0.04488	0.33603	0.053541	-0.28456	0.11221	0.35706	-0.043851	-0.23479	0.090131	0.18476	0.095219	0.16716	0.046774	-0.074528	-0.048025	-0.019225	0.00029603	-0.074415	0.25056	-0.25382	-0.21114	-0.15262	-0.17255	-0.1396	-0.095446	0.097845	-0.038014	-0.31489	-0.025252	-0.14344	-0.069889	0.22976	0.18702	-0.062447	-0.074497	0.17196	0.32321	0.071752	0.089627	-0.089637	-0.065406	-0.30838	-0.063148	0.22807	-0.072205	-0.065895	-0.11387	-0.27337
