	0	1	2	3	4	5	6	7	8	9
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	1.8476	6.6397	0	5.1104	0	0.21487	0.37328	3.2658	6.0991	0
GSM567682.CEL	0.36825	0	0.26534	4.5521	0.12212	8.1087	0	2.6514	1.2655	0.1127
GSM637595.CEL	0.36825	0	0.26534	4.5521	0.12212	8.1087	0	2.6514	1.2655	0.1127
GSM617295.CEL	2.0862	1.7989	2.6873	0	0	3.4971	0.84265	3.3902	4.0995	0
MBU_JGOLD_PAO11.CEL	0.047416	9.1254	1.6557	3.6695	1.3375	3.679	3.9889	5.3429	0.68042	0.39287
anaerobic_NO3_2.CEL	0.66744	6.9823	3.7399	0	0	5.0499	3.7242	1.7876	4.7924	0
GSM838212_PAO1-LB-1_Pae_G1a.CEL	2.1765	4.5548	0	0	0	2.4024	0	0.36026	5.7842	0
GSM954578_Nomura_PA01-3_Pae_G1a_.CEL	2.1898	7.1746	0	5.2667	0.064546	0.11094	0	3.2584	6.2792	0
GSM821499.CEL	0	3.2468	0	1.9809	3.7452	0.1759	0.52875	4.4802	8.047	0
GSM864519.CEL	3.2024	4.2034	0	0	0	5.5558	0.37598	2.6561	1.9975	0
GSM541647.CEL	1.0657	3.7016	0.38387	2.9383	1.5643	3.4634	5.0678	5.6031	0.97329	0
GSM838213_PAO1-LB-2_Pae_G1a.CEL	2.1819	4.5835	0	0	0	2.7228	0	0.3692	5.9342	0
GSM1608070_Biofilm+12hrtobra_rep1.CEL	2.6382	1.6598	3.2678	2.9391	0.1246	0.020564	5.617	5.3292	0	0.88161
GSM1244969_PAO1-22-replicate-03.CEL	0	0.053092	0	3.7846	0.13185	7.1326	0	0.45356	7.1006	0
GSM546258.CEL	0	0.23939	5.7765	0	0	0.43764	0	7.154	0.043256	4.309
GSM617296.CEL	3.0745	2.1845	2.4902	0	0	3.5749	0.49727	3.0367	4.7515	0
GSM954581_Nomura_PA2449-2_Pae_G1a_.CEL	3.567	6.395	0	4.6799	0	0	0	5.4434	3.5063	0
GSM821503.CEL	0	1.4172	0	2.2841	3.4632	0	0	6.1506	4.2167	0.51395
GSM685450.CEL	0	0	0	3.148	0	6.7084	0	1.7488	3.4595	0.3765
GSM573327.CEL	2.852	8.2144	2.1314	0	2.4477	1.873	0	6.4504	0	4.238
GSM663169_BM-Mix-Pa_2_6-6-08_s1.CEL	0	3.1045	0	0	1.7263	0	0	7.4607	0	0.99292
