	0	1
GSM838212_PAO1-LB-1_Pae_G1a.CEL	-14.238	-0.019553
GSM591627.CEL	-14.226	0.79952
GSM854801.CEL	-14.18	1.7528
GSM1246482_PA14bvlR_pME6032_rep2.CEL	-14.403	-0.86179
GSM774140_B12-0_2.CEL	-14.397	-1.2129
GSM663169_BM-Mix-Pa_2_6-6-08_s1.CEL	-14.355	0.30033
GSM994499_HM4-replicate-01.CEL	-14.379	1.1969
142_2014wt_anaero.CEL	-14.394	-0.48752
GSM1421000_dnr_NO1.CEL	-14.442	-1.4182
GSM307112.CEL	-14.456	-0.75765
GSM1237738_M9_PAOSX_3_51059600653060050411410396750359.CEL	-14.449	-0.55343
GSM290750.CEL	-14.475	-0.06862
GSM591601.CEL	-14.537	-0.43416
GSM994498_PAO1-replicate-03.CEL	-14.511	1.0717
GSM261932.CEL	-14.55	-0.09402
GSM774102_CF105-1973c.CEL	-14.555	-1.1804
GSM838207_OXYR-LB-2_Pae_G1a.CEL	-14.527	-0.005198
GSM854800.CEL	-14.499	0.84841
GSM842846_Wright_8_4203-log-2_Pae_G1a.CEL	-14.567	-0.67036
control1aerobic_Pae_G1a.CEL	-14.575	0.38399
GSM92192.CEL	-14.613	-1.0673
GSM546252.CEL	-14.638	-1.4005
GSM307118.CEL	-14.649	-0.40453
GSM637592.CEL	-14.599	0.85674
GSM838218_PAO1-5344-1_Pae_G1a.CEL	-14.662	-0.066089
GSM864518.CEL	-14.669	0.2523
GSM156154.CEL	-14.664	1.3906
GSM375702.CEL	-14.807	-0.60133
GSM1143378_B1_Pae_G1a_.CEL	-14.771	-0.14247
GSM567689.CEL	-14.741	1.3867
fos1aerobic_Pae_G1a.CEL	-14.773	0.60755
MBU_JGOLD_PAO12.CEL	-14.793	1.338
GSM2070518_OCio-08-MutS-2-d94-cipro-Pae_G1a-b1.CEL	-14.81	-0.33512
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	-14.855	-1.0654
GSM462062.CEL	-14.859	0.34236
GSM187266.CEL	-14.877	-0.13689
GSM244070.CEL	-14.853	0.098134
GSM741213.CEL	-14.853	1.1762
GSM2070495_OCio-15-MutS_A_d94_cipro_3-Pae_G1a-a1.CEL	-14.909	-0.17516
GSM567542.CEL	-14.885	-0.0099746
GSM356958.CEL	-14.921	0.9809
GSM1177846_PAO1-AMV-2.CEL	-14.957	-0.075115
GSM92171.CEL	-14.941	-0.056405
GSM1958026_L-lysine_1.CEL	-14.999	0.019013
GSM2070511_OCio-16-PAO1-1-d94-cipro-Pae_G1a-a1.CEL	-14.997	0.02217
GSM774123_CF333-1997c.CEL	-15.049	-0.78603
GSM637593.CEL	-14.944	2.3001
GSM641846.CEL	-15.032	-1.2531
GSM842843_Wright_5_WT-stat-2_Pae_G1a.CEL	-15.079	0.57888
GSM641849.CEL	-15.168	-1.4443
GSM1267094_HZI1958_Pae_G1a.CEL	-15.157	0.23695
GSM349042.CEL	-15.213	0.28684
GSM1419138_PAO.CEL	-15.175	0.36555
GSM625979.CEL	-15.177	1.5716
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	-15.233	-0.73676
GSM741204.CEL	-15.24	0.89663
GSM838220_PAO1-5344-4_Pae_G1a.CEL	-15.269	0.086242
GSM462061.CEL	-15.298	1.1267
GSM432863.CEL	-15.335	-1.1034
GSM1206645_WT-CHO-1.CEL	-15.296	0.77225
