	PA1673
Glu_6Hour_(Pae_G1a).CEL	0.0
JS-A84.9.07.CEL	0.02350130510709482
GSM774141_B12-0_3.CEL	0.026262403136572063
GSM774136_B6-4_1.CEL	0.02643562378984178
120330-10978D_M4_(Pae_G1a).CEL	0.02760844672152775
GSM1421003_EXdnr_control2.CEL	0.03186853306264662
GSM774138_B6-4_3.CEL	0.03472003839548229
GSM1420994_anr_control1.CEL	0.03688909660015125
GSM774104_CF114-1973b.CEL	0.036973611489891166
GSM774100_CF105-1973a.CEL	0.03776004257353922
GSM774135_B6-0_3.CEL	0.03895347606831452
GSM432864.CEL	0.03918251298962517
GSM774101_CF105-1973b.CEL	0.03966219991243717
GSM774142_B12-4_1.CEL	0.04158610198164903
GSM1267112_HZI1978_G1a.CEL	0.04261036674358025
GSM1267109_HZI1975_G1a.CEL	0.04290202502344848
GSM1420996_anr_NO1.CEL	0.04450983228674176
GSM774105_CF114-1973c.CEL	0.044995364076928786
GSM774102_CF105-1973c.CEL	0.04717860195643017
GSM1420995_anr_control2.CEL	0.048264147495200166
GSM1267104_HZI1970_Pae_G1a.CEL	0.0490597334184195
GSM774144_B12-4_3.CEL	0.04977064608514479
GSM954576_Nomura_PA01-1_Pae_G1a_.CEL	0.05018535227889423
JS-T24.9.07.CEL	0.05163042267315507
GSM774161_PAO1b.CEL	0.05282663751085128
GSM432865.CEL	0.05298030359267518
GSM1420997_anr_NO2.CEL	0.05337576581057285
GSM774139_B12-0_1.CEL	0.05494241107156806
GSM774103_CF114-1973a.CEL	0.05758711889510635
GSM774147_B12-7_3.CEL	0.05782374415735642
GSM1267103_HZI1969_Pae_G1a.CEL	0.05934106633272001
GSM774162_PAO1c.CEL	0.05943076980324447
GSM1267110_HZI1976_G1a.CEL	0.05962676437348395
GSM432871.CEL	0.060135692530371335
JS-1B4.9.07.CEL	0.06079340377514296
GSM1267111_HZI1977_G1a.CEL	0.06305850018192452
GSM774160_PAO1a.CEL	0.0643629810635892
GSM1267113_HZI1979_G1a.CEL	0.06440535575503034
GSM842844_Wright_6_WT-stat-3_Pae_G1a.CEL	0.06516378493590796
GSM854796.CEL	0.0651665929841394
GSM774140_B12-0_2.CEL	0.06611523312553802
GSM774133_B6-0_1.CEL	0.06715108321112932
DC2.CEL	0.06869719948377499
GSM774137_B6-4_2.CEL	0.06934328739279143
GSM198188.CEL	0.0700259322033402
120330-10978D_23_(Pae_G1a).CEL	0.07179099681025602
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	0.07292953872008108
GSM774143_B12-4_2.CEL	0.075925695994862
GSM1191067_sphR-pyr-2.CEL	0.07698992835191293
GSM842845_Wright_7_4203-log-1_Pae_G1a.CEL	0.07831948858259037
GSM774146_B12-7_2.CEL	0.07994121182850722
GSM774145_B12-7_1.CEL	0.08029539413501917
GSM774132_CF333-2007c.CEL	0.0826176272185345
GSM1267086_HZI1981_G1a.CEL	0.08434152891244852
GSM842846_Wright_8_4203-log-2_Pae_G1a.CEL	0.08530631212971147
GSM1267102_HZI1968_Pae_G1a.CEL	0.08556201748659742
GSM842850_Wright_12_4203-stat-3_Pae_G1a.CEL	0.0868048338590342
GSM252496.CEL	0.08743226127116167
GSM767700.CEL	0.08746551925523335
GSM842849_Wright_11_4203-stat-2_Pae_G1a.CEL	0.08786321788263131
GSM1421002_EXdnr_control1.CEL	0.0897817830061869
GSM252505.CEL	0.09153995010388186
GSM767701.CEL	0.09184626737069966
120330-10978D_M1_(Pae_G1a).CEL	0.09589759573629222
Overhage3006_(Pae_G1a).CEL	0.09604352765447616
GSM774097_CF66-2008a.CEL	0.09681909810527924
GSM774157_B38-6M_1.CEL	0.09855803350634244
GSM842841_Wright_3_WT-log-3_Pae_G1a.CEL	0.09877964713272623
GSM641848.CEL	0.09920490232703252
120330-10978D_M3_(Pae_G1a).CEL	0.09971179655548933
GSM1267107_HZI1973_Pae_G1a.CEL	0.1003913697025312
GSM774134_B6-0_2.CEL	0.10046482521395997
GSM774085_CF30-1979a.CEL	0.10047955657711118
GSM871978.CEL	0.10212416025151642
GSM854801.CEL	0.102617845879289
GSM854799.CEL	0.10383427915800664
GSM356959.CEL	0.10434860617679248
GSM198190.CEL	0.10436429317522987
GSM432870.CEL	0.1045947717802274
GSM854795.CEL	0.1055946686976938
GSM208610.CEL	0.1056058772991349
120330-10978D_24_(Pae_G1a).CEL	0.10608773968586303
H_5.CEL	0.10841931591003184
GSM842842_Wright_4_WT-stat-1_Pae_G1a.CEL	0.10855658283540014
GSM1267105_HZI1971_Pae_G1a.CEL	0.10974910213828053
GSM1267106_HZI1972_Pae_G1a.CEL	0.1098742750975672
GSM774113_CF173-2005b.CEL	0.1104823834129116
GSM1027586_062508plcHR.CEL	0.1105947803471196
GSM356961.CEL	0.11091310512330564
GSM774158_B38-6M_2.CEL	0.11183141618519964
GSM774089_CF43-1973b.CEL	0.11195577571975204
GSM567694.CEL	0.11216258866321603
GSM842848_Wright_10_4203-stat-1_Pae_G1a.CEL	0.11219374586764244
GSM252501.CEL	0.11227447485587166
GSM774152_B38-2M_2.CEL	0.11264836631985076
GSM954583_Nomura_PA2449-4_Pae_G1a_.CEL	0.11276525513544645
GSM842839_Wright_1_WT-log-1_Pae_G1a.CEL	0.11276715989966805
GSM208607.CEL	0.11315933463657685
GSM641845.CEL	0.11336177201475756
GSM774123_CF333-1997c.CEL	0.1135480434849626
GSM774122_CF333-1997b.CEL	0.11429498548216255
H_1.CEL	0.11603068791281985
GSM198191.CEL	0.11670693449278614
GSM1191071_WT-pyr-2.CEL	0.11738021895532548
GSM1027589_071008gbdR.CEL	0.1177963586090206
GSM774117_CF243-2002c.CEL	0.1180188448642705
GSM307114.CEL	0.1181207013428842
GSM567675.CEL	0.11870290751774255
GSM641847.CEL	0.11953706471377155
GSM842840_Wright_2_WT-log-2_Pae_G1a.CEL	0.11972814933577618
GSM871976.CEL	0.12117338885610605
GSM842847_Wright_9_4203-log-3_Pae_G1a.CEL	0.1211981133893578
GSM356958.CEL	0.12155026868134862
