	PA3423
0.1_12hr_CSV86(Pae_G1a).CEL	0.80743
0.1_2hr_CSV86(Pae_G1a).CEL	0.51403
0.1_6hr_CSV86(Pae_G1a).CEL	0.65058
0.1_7hr_CSV86(Pae_G1a).CEL	0.50522
0.1_9hr_CSV86(Pae_G1a).CEL	0.66126
05_PA14000-4-2_5-10-07_S2.CEL	0.42943
1_12hr_CSV86(Pae_G1a).CEL	0.45397
1_2hr_CSV86(Pae_G1a).CEL	0.904
1_6hr_CSV86(Pae_G1a).CEL	0.93855
1_7hr_CSV86(Pae_G1a).CEL	0.38743
1_9hr_CSV86(Pae_G1a).CEL	0.25685
120330-10978D_22_(Pae_G1a).CEL	0.40742
120330-10978D_23_(Pae_G1a).CEL	0.51033
120330-10978D_24_(Pae_G1a).CEL	0.53019
120330-10978D_M1_(Pae_G1a).CEL	0.38589
120330-10978D_M3_(Pae_G1a).CEL	0.15919
120330-10978D_M4_(Pae_G1a).CEL	0.96205
142_2014wt_anaero.CEL	0.96787
143b_2014wt_anaero.CEL	0.23967
144_2014wt_anaero.CEL	0.85414
145_2014dR_anaero.CEL	0.36471
146_2014dR_anaero.CEL	0.1173
147_2014dR_anaero.CEL	0.19005
20mM_CF600.CEL	0.41091
20mM_KT2440.CEL	0.1426
2mM_CF600.CEL	0.35352
2mM_KT2440.CEL	0.058179
54375-4-05.CEL	0.91195
aerobic_NO3_1.CEL	0.60034
aerobic_NO3_2.CEL	0.85016
AKGlu_plus_nt_7-8-09_s1.CEL	0.075212
anaerobic_NO3_1.CEL	0.68609
anaerobic_NO3_2.CEL	0.49705
control1_anaerobic_Pae_G1a.CEL	0.69775
control1aerobic_Pae_G1a.CEL	0.97349
control2_anaerobic_Pae_G1a.CEL	0.084857
control2aerobic_Pae_G1a.CEL	0.85027
control3_anaerobic_Pae_G1a.CEL	0.60307
control3aerobic_Pae_G1a.CEL	0.66321
DB1.CEL	0.73007
DB3.CEL	0.53584
DC1.CEL	0.22079
DC2.CEL	0.80717
DC3.CEL	0.53873
dPA54375-18-05.CEL	0.87479
ETJan12B_1376_2012PAO1wt-aero.CEL	0.15578
ETJan12B_1377_2012-PAO2wt-aero.CEL	0.084034
ETJan12B_1378_2012-PAO3wt-aero.CEL	0.35844
ETJan12B_1379_2012PAO4dR-aero.CEL	0.865
ETJan12B_1380_2012PAO5dR-aero.CEL	0.021253
ETJan12B_1381_2012PAO6_2dR-aero.CEL	0.17916
fos1_anaerobic_Pae_G1a.CEL	0.56435
fos1aerobic_Pae_G1a.CEL	0.98038
fos2_anaerobic_Pae_G1a.CEL	0.052096
fos2aerobic_Pae_G1a.CEL	0.089259
Fos3_aerobic_wdh_Pae_G1a.CEL	0.74078
fos3_anaerobic_Pae_G1a.CEL	0.18485
FT1_anaerobic_Pae_G1a.CEL	0.74894
FT1aerobic_Pae_G1a.CEL	0.70759
FT2_aerobic_wdh_Pae_G1a.CEL	0.95652
FT2_anaerobic_Pae_G1a.CEL	0.81588
FT3_anaerobic_Pae_G1a.CEL	0.91665
FT3aerobic_Pae_G1a.CEL	0.078893
Glu_6Hour_(Pae_G1a).CEL	0.81481
glu_plus_nt_2_8-25-09_s2.CEL	0.38233
GPphhRminus_11-30-09_12-3-09_s1.CEL	0.44068
GPphhRminus_11-4-09_s2.CEL	0.86224
GSM1027584_062508WT.CEL	0.4267
GSM1027585_071008WT.CEL	0.25507
GSM1027586_062508plcHR.CEL	0.15739
GSM1027587_071008plcHR.CEL	0.9487
GSM1027588_062508gbdR.CEL	0.086367
GSM1027589_071008gbdR.CEL	0.40136
GSM1067456_PAO1_CK_1.CEL	0.38537
GSM1067457_PAO1_PAA_1.CEL	0.3425
GSM1067458_PAO1_CK_2.CEL	0.71463
GSM1067459_PAO1_PAA_2.CEL	0.88924
GSM1112046_PGAS_25_1A.CEL	0.0012436
GSM1112047_PGAS_25_2A.CEL	0.2512
GSM1112048_PGAS_25_4A.CEL	0.28047
GSM1112049_PGAS_37_1B.CEL	0.25156
GSM1112050_PGAS_37_2B.CEL	0.1849
GSM1112051_PGAS_37_3A.CEL	0.77491
GSM1133186_Weiqing_He_L-Glu-1_021810.CEL	0.79745
GSM1133187_Weiqing_He_L-Arg-1_021810.CEL	0.15885
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	0.99361
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	0.98139
GSM1133190_Weiqing_He_L-Arg-2_022410.CEL	0.79628
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	0.94513
GSM1141729_PA01_none_PC_.CEL	0.53878
GSM1141730_PA01_ZnO_PZO_.CEL	0.49212
GSM1143375_A1_Pae_G1a_.CEL	0.47158
GSM1143376_A2_Pae_G1a_.CEL	0.22857
