	PA0996
0.1_12hr_CSV86(Pae_G1a).CEL	0.39872
0.1_2hr_CSV86(Pae_G1a).CEL	0.11394
0.1_6hr_CSV86(Pae_G1a).CEL	0.37999
0.1_7hr_CSV86(Pae_G1a).CEL	0.31225
0.1_9hr_CSV86(Pae_G1a).CEL	0.39835
05_PA14000-4-2_5-10-07_S2.CEL	0.76097
1_12hr_CSV86(Pae_G1a).CEL	0.41824
1_2hr_CSV86(Pae_G1a).CEL	0.24781
1_6hr_CSV86(Pae_G1a).CEL	0.34366
1_7hr_CSV86(Pae_G1a).CEL	0.39981
1_9hr_CSV86(Pae_G1a).CEL	0.23458
120330-10978D_22_(Pae_G1a).CEL	0.13344
120330-10978D_23_(Pae_G1a).CEL	0.19107
120330-10978D_24_(Pae_G1a).CEL	0.30309
120330-10978D_M1_(Pae_G1a).CEL	0.60627
120330-10978D_M3_(Pae_G1a).CEL	0.28626
120330-10978D_M4_(Pae_G1a).CEL	0.45003
142_2014wt_anaero.CEL	0.27211
143b_2014wt_anaero.CEL	0.26826
144_2014wt_anaero.CEL	0.30744
145_2014dR_anaero.CEL	0.29254
146_2014dR_anaero.CEL	0.27201
147_2014dR_anaero.CEL	0.24938
20mM_CF600.CEL	0.2514
20mM_KT2440.CEL	0.4963
2mM_CF600.CEL	0.51323
2mM_KT2440.CEL	0.38677
54375-4-05.CEL	0.34949
aerobic_NO3_1.CEL	0.77742
aerobic_NO3_2.CEL	0.74508
AKGlu_plus_nt_7-8-09_s1.CEL	0.27563
anaerobic_NO3_1.CEL	0.52628
anaerobic_NO3_2.CEL	0.42111
control1_anaerobic_Pae_G1a.CEL	0.72568
control1aerobic_Pae_G1a.CEL	0.5399
control2_anaerobic_Pae_G1a.CEL	0.73645
control2aerobic_Pae_G1a.CEL	0.47922
control3_anaerobic_Pae_G1a.CEL	0.7577
control3aerobic_Pae_G1a.CEL	0.5542
DB1.CEL	0.53607
DB3.CEL	0.52211
DC1.CEL	0.50022
DC2.CEL	0.45351
DC3.CEL	0.272
dPA54375-18-05.CEL	0.40991
ETJan12B_1376_2012PAO1wt-aero.CEL	0.56017
ETJan12B_1377_2012-PAO2wt-aero.CEL	0.61583
ETJan12B_1378_2012-PAO3wt-aero.CEL	0.53362
ETJan12B_1379_2012PAO4dR-aero.CEL	0.41123
ETJan12B_1380_2012PAO5dR-aero.CEL	0.38735
ETJan12B_1381_2012PAO6_2dR-aero.CEL	0.44348
fos1_anaerobic_Pae_G1a.CEL	0.76147
fos1aerobic_Pae_G1a.CEL	0.59405
fos2_anaerobic_Pae_G1a.CEL	0.69433
fos2aerobic_Pae_G1a.CEL	0.52586
Fos3_aerobic_wdh_Pae_G1a.CEL	0.58415
fos3_anaerobic_Pae_G1a.CEL	0.62986
FT1_anaerobic_Pae_G1a.CEL	0.719
FT1aerobic_Pae_G1a.CEL	0.51745
FT2_aerobic_wdh_Pae_G1a.CEL	0.51693
FT2_anaerobic_Pae_G1a.CEL	0.73206
FT3_anaerobic_Pae_G1a.CEL	0.72921
FT3aerobic_Pae_G1a.CEL	0.58522
Glu_6Hour_(Pae_G1a).CEL	0.15903
glu_plus_nt_2_8-25-09_s2.CEL	0.32322
GPphhRminus_11-30-09_12-3-09_s1.CEL	0.43973
GPphhRminus_11-4-09_s2.CEL	0.44919
GSM1027584_062508WT.CEL	0
GSM1027585_071008WT.CEL	0.086926
GSM1027586_062508plcHR.CEL	0.088233
GSM1027587_071008plcHR.CEL	0.13017
GSM1027588_062508gbdR.CEL	0.09076
GSM1027589_071008gbdR.CEL	0.063197
GSM1067456_PAO1_CK_1.CEL	0.62371
GSM1067457_PAO1_PAA_1.CEL	0.63416
GSM1067458_PAO1_CK_2.CEL	0.56047
GSM1067459_PAO1_PAA_2.CEL	0.64982
GSM1112046_PGAS_25_1A.CEL	0.46069
GSM1112047_PGAS_25_2A.CEL	0.35085
GSM1112048_PGAS_25_4A.CEL	0.49199
GSM1112049_PGAS_37_1B.CEL	0.43564
GSM1112050_PGAS_37_2B.CEL	0.3045
GSM1112051_PGAS_37_3A.CEL	0.67364
GSM1133186_Weiqing_He_L-Glu-1_021810.CEL	0.38751
GSM1133187_Weiqing_He_L-Arg-1_021810.CEL	0.052622
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	0.36488
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	0.091811
GSM1133190_Weiqing_He_L-Arg-2_022410.CEL	0.057632
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	0.092355
GSM1141729_PA01_none_PC_.CEL	0.5597
GSM1141730_PA01_ZnO_PZO_.CEL	0.45509
GSM1143375_A1_Pae_G1a_.CEL	0.78485
GSM1143376_A2_Pae_G1a_.CEL	0.8331
GSM1143377_A3_Pae_G1a_.CEL	0.7934
GSM1143378_B1_Pae_G1a_.CEL	0.7593
GSM1143379_B2_Pae_G1a_.CEL	0.72219
GSM1143380_B3_Pae_G1a_.CEL	0.72851
GSM1143381_WT1_Pae_G1a_.CEL	0.7942
GSM1143382_WT2_Pae_G1a_.CEL	0.80159
GSM1143383_WT3_Pae_G1a_.CEL	0.80013
GSM1146022_pJN105_1.CEL	0.087915
GSM1146023_pJN105_2.CEL	0.43046
GSM1146024_phaF_1.CEL	0.26313
GSM1146025_phaF_2.CEL	0.28421
GSM1177842_PAO1-1.CEL	0.22652
GSM1177843_PAO1-2.CEL	0.2468
GSM1177844_PAO1-3.CEL	0.23395
GSM1177845_PAO1-AMV-1.CEL	0.16849
GSM1177846_PAO1-AMV-2.CEL	0.20658
GSM1177847_PAO1-AMV-3.CEL	0.15174
GSM1181847_gc_WT1_1.CEL	0.22321
GSM1181848_gc_WT2_3.CEL	0.64958
GSM1181849_gc_Delta1_2.CEL	0.57222
GSM1181850_gc_Delta2_4.CEL	0.37635
GSM1191066_sphR-pyr-1.CEL	0.57311
GSM1191067_sphR-pyr-2.CEL	0.51579
GSM1191068_sphR-surf-1.CEL	0.60832
GSM1191069_sphR-surf-2.CEL	0.63257
GSM1191070_WT-pyr-1.CEL	0.59641
GSM1191071_WT-pyr-2.CEL	0.50287
GSM1191072_WT-surf-1.CEL	0.56749
GSM1191073_WT-surf-2.CEL	0.64236
GSM1206643_WT-PYR-1.CEL	0.5313
GSM1206644_WT-PYR-2.CEL	0.53022
GSM1206645_WT-CHO-1.CEL	0.54932
GSM1206646_WT-CHO-2.CEL	0.65996
GSM1206647_WT-DTC-1.CEL	0.61199
GSM1206648_WT-DTC-2.CEL	0.68241
GSM1206649_WT-ETC-1.CEL	0.59072
GSM1206650_WT-ETC-2.CEL	0.58267
GSM1206651_WT-PRC-1.CEL	0.6282
GSM1206652_WT-PRC-2.CEL	0.62515
GSM1206653_dgcA-CHO-1.CEL	0.50421
GSM1206654_dgcA-CHO-2.CEL	0.52136
GSM1237734_M9_H103_2_51059600653056031211409890238138.CEL	0.52868
GSM1237735_M9_H103_3_51059600653061050411410396750551.CEL	0.67577
GSM1237736_M9_H103_4_51059600653061050411410396750502.CEL	0.61708
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	0.60835
GSM1237738_M9_PAOSX_3_51059600653060050411410396750359.CEL	0.70377
GSM1237739_M9_PAOSX_4_51059600653061050411410396750526.CEL	0.62586
GSM1244967_PAO1-22-replicate-01.CEL	0.59047
GSM1244968_PAO1-22-replicate-02.CEL	0.58393
GSM1244969_PAO1-22-replicate-03.CEL	0.61073
GSM1244970_PAO1-37-replicate-01.CEL	0.53296
GSM1244971_PAO1-37-replicate-02.CEL	0.52867
GSM1244972_PAO1-37-replicate-03.CEL	0.53875
GSM1246481_PA14bvlR_pME6032_rep1.CEL	0.84168
GSM1246482_PA14bvlR_pME6032_rep2.CEL	0.74554
GSM1246483_PA14bvlR_pME6032_rep3.CEL	0.81565
GSM1246484_PA14bvlR_pMEbvlR_rep1.CEL	0.83023
GSM1246485_PA14bvlR_pMEbvlR_rep2.CEL	0.81835
GSM1246486_PA14bvlR_pMEbvlR_rep3.CEL	0.8087
GSM1267086_HZI1981_G1a.CEL	0.84875
GSM1267087_HZI1950_Pae_G1a.CEL	0.87836
GSM1267088_HZI1951_Pae_G1a.CEL	0.86222
GSM1267089_HZI1952_Pae_G1a.CEL	0.89187
GSM1267090_HZI1953a_Pae_G1a.CEL	0.84215
GSM1267091_HZI1954_Pae_G1a.CEL	0.74184
GSM1267092_HZI1955_Pae_G1a.CEL	0.82113
GSM1267093_HZI1956_Pae_G1a.CEL	0.61999
GSM1267094_HZI1958_Pae_G1a.CEL	0.52421
GSM1267095_HZI1959_Pae_G1a.CEL	0.42672
GSM1267096_HZI1960a_Pae_G1a.CEL	0.52497
