	PA3423
0.1_12hr_CSV86(Pae_G1a).CEL	0.65064
0.1_2hr_CSV86(Pae_G1a).CEL	0.98858
0.1_6hr_CSV86(Pae_G1a).CEL	0.45448
0.1_7hr_CSV86(Pae_G1a).CEL	0.90264
0.1_9hr_CSV86(Pae_G1a).CEL	0.91048
05_PA14000-4-2_5-10-07_S2.CEL	0.55135
1_12hr_CSV86(Pae_G1a).CEL	0.5661
1_2hr_CSV86(Pae_G1a).CEL	0.56318
1_6hr_CSV86(Pae_G1a).CEL	0.48196
1_7hr_CSV86(Pae_G1a).CEL	0.88666
1_9hr_CSV86(Pae_G1a).CEL	0.81903
120330-10978D_22_(Pae_G1a).CEL	0.87281
120330-10978D_23_(Pae_G1a).CEL	0.78527
120330-10978D_24_(Pae_G1a).CEL	0.55684
120330-10978D_M1_(Pae_G1a).CEL	0.45229
120330-10978D_M3_(Pae_G1a).CEL	0.55508
120330-10978D_M4_(Pae_G1a).CEL	0.87299
142_2014wt_anaero.CEL	0.41178
143b_2014wt_anaero.CEL	0.72006
144_2014wt_anaero.CEL	0.59285
145_2014dR_anaero.CEL	0.57311
146_2014dR_anaero.CEL	0.60085
147_2014dR_anaero.CEL	0.75498
20mM_CF600.CEL	0.50136
20mM_KT2440.CEL	0.49543
2mM_CF600.CEL	0.90974
2mM_KT2440.CEL	0.85269
54375-4-05.CEL	0.61585
aerobic_NO3_1.CEL	0.54927
aerobic_NO3_2.CEL	0.75074
AKGlu_plus_nt_7-8-09_s1.CEL	0.95949
anaerobic_NO3_1.CEL	0.87287
anaerobic_NO3_2.CEL	0.66586
control1_anaerobic_Pae_G1a.CEL	0.78074
control1aerobic_Pae_G1a.CEL	0.61555
control2_anaerobic_Pae_G1a.CEL	0.82558
control2aerobic_Pae_G1a.CEL	0.71075
control3_anaerobic_Pae_G1a.CEL	0.41631
control3aerobic_Pae_G1a.CEL	0.80437
DB1.CEL	0.92295
DB3.CEL	0.69083
DC1.CEL	0.49603
DC2.CEL	0.58202
DC3.CEL	0.51543
dPA54375-18-05.CEL	0.90397
ETJan12B_1376_2012PAO1wt-aero.CEL	0.84125
ETJan12B_1377_2012-PAO2wt-aero.CEL	0.57841
ETJan12B_1378_2012-PAO3wt-aero.CEL	0.58153
ETJan12B_1379_2012PAO4dR-aero.CEL	0.47579
ETJan12B_1380_2012PAO5dR-aero.CEL	0.66416
ETJan12B_1381_2012PAO6_2dR-aero.CEL	0.98564
fos1_anaerobic_Pae_G1a.CEL	0.85414
fos1aerobic_Pae_G1a.CEL	0.96133
fos2_anaerobic_Pae_G1a.CEL	0.44463
fos2aerobic_Pae_G1a.CEL	0.95532
Fos3_aerobic_wdh_Pae_G1a.CEL	0.94771
fos3_anaerobic_Pae_G1a.CEL	0.8865
FT1_anaerobic_Pae_G1a.CEL	0.47688
FT1aerobic_Pae_G1a.CEL	0.92131
FT2_aerobic_wdh_Pae_G1a.CEL	0.98685
FT2_anaerobic_Pae_G1a.CEL	0.8442
FT3_anaerobic_Pae_G1a.CEL	0.70873
FT3aerobic_Pae_G1a.CEL	0.60576
Glu_6Hour_(Pae_G1a).CEL	0.92706
glu_plus_nt_2_8-25-09_s2.CEL	0.75912
GPphhRminus_11-30-09_12-3-09_s1.CEL	0.59382
GPphhRminus_11-4-09_s2.CEL	0.44935
GSM1027584_062508WT.CEL	0.41044
GSM1027585_071008WT.CEL	0.8212
GSM1027586_062508plcHR.CEL	0.57738
GSM1027587_071008plcHR.CEL	0.47933
GSM1027588_062508gbdR.CEL	0.58421
GSM1027589_071008gbdR.CEL	0.67723
GSM1067456_PAO1_CK_1.CEL	0.90824
GSM1067457_PAO1_PAA_1.CEL	0.6845
GSM1067458_PAO1_CK_2.CEL	0.47726
GSM1067459_PAO1_PAA_2.CEL	0.89709
GSM1112046_PGAS_25_1A.CEL	0.80468
GSM1112047_PGAS_25_2A.CEL	0.72759
GSM1112048_PGAS_25_4A.CEL	0.93902
GSM1112049_PGAS_37_1B.CEL	0.64315
GSM1112050_PGAS_37_2B.CEL	0.63228
GSM1112051_PGAS_37_3A.CEL	0.43286
GSM1133186_Weiqing_He_L-Glu-1_021810.CEL	0.81745
GSM1133187_Weiqing_He_L-Arg-1_021810.CEL	0.77303
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	0.9685
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	0.4047
GSM1133190_Weiqing_He_L-Arg-2_022410.CEL	0.64772
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	0.66243
GSM1141729_PA01_none_PC_.CEL	0.6492
GSM1141730_PA01_ZnO_PZO_.CEL	0.42599
GSM1143375_A1_Pae_G1a_.CEL	0.88876
GSM1143376_A2_Pae_G1a_.CEL	0.42578
GSM1143377_A3_Pae_G1a_.CEL	0.78411
GSM1143378_B1_Pae_G1a_.CEL	0.58752
GSM1143379_B2_Pae_G1a_.CEL	0.65478
GSM1143380_B3_Pae_G1a_.CEL	0.90277
GSM1143381_WT1_Pae_G1a_.CEL	0.52251
GSM1143382_WT2_Pae_G1a_.CEL	0.7069
GSM1143383_WT3_Pae_G1a_.CEL	0.56003
GSM1146022_pJN105_1.CEL	0.76605
GSM1146023_pJN105_2.CEL	0.72652
GSM1146024_phaF_1.CEL	0.80041
GSM1146025_phaF_2.CEL	0.45728
GSM1177842_PAO1-1.CEL	0.7796
GSM1177843_PAO1-2.CEL	0.7973
GSM1177844_PAO1-3.CEL	0.44065
GSM1177845_PAO1-AMV-1.CEL	0.98152
GSM1177846_PAO1-AMV-2.CEL	0.91047
GSM1177847_PAO1-AMV-3.CEL	0.87587
GSM1181847_gc_WT1_1.CEL	0.87186
GSM1181848_gc_WT2_3.CEL	0.70008
GSM1181849_gc_Delta1_2.CEL	0.94921
GSM1181850_gc_Delta2_4.CEL	0.49301
