	PA3038
GSM743008_PAO1-SC24-b.CEL	0
GSM1112050_PGAS_37_2B.CEL	0.016476
GSM743009_PAO1-SC24-c.CEL	0.017153
GSM1112047_PGAS_25_2A.CEL	0.021908
GSM743003_PAO1-PC4-c.CEL	0.02305
GSM743007_PAO1-SC24-a.CEL	0.032287
GSM567667.CEL	0.033119
GSM637574.CEL	0.033119
GSM1112046_PGAS_25_1A.CEL	0.034713
GSM1112051_PGAS_37_3A.CEL	0.040716
GSM1112049_PGAS_37_1B.CEL	0.041256
1_7hr_CSV86(Pae_G1a).CEL	0.042031
GSM1618385_Wound1.CEL	0.053084
GSM743005_PAO1-PC24-b.CEL	0.058575
GSM1112048_PGAS_25_4A.CEL	0.058901
GSM743001_PAO1-PC4-a.CEL	0.06694
MBU_PAER_PT51.CEL	0.069321
GSM562110_PAK_GI_colonization_4_6-9-04.CEL	0.075712
GSM637591.CEL	0.076909
0.1_7hr_CSV86(Pae_G1a).CEL	0.077885
GSM567675.CEL	0.080277
GSM954580_Nomura_PA2449-1_Pae_G1a_.CEL	0.081082
GSM1306128_Nomura_PAO1_KG-1_Pae_G1a_.CEL	0.081113
GSM637573.CEL	0.084336
GSM567666.CEL	0.084336
1_12hr_CSV86(Pae_G1a).CEL	0.087139
GSM567670.CEL	0.087391
Pae_Fe02_13.CEL	0.090439
GSM994500_HM4-replicate-02.CEL	0.091615
GSM637592.CEL	0.096411
GSM637587.CEL	0.097388
GSM567688.CEL	0.097388
GSM637588.CEL	0.099463
GSM567689.CEL	0.099463
GSM743006_PAO1-PC24-c.CEL	0.10016
GSM954582_Nomura_PA2449-3_Pae_G1a_.CEL	0.10266
GSM743004_PAO1-PC24-a.CEL	0.10493
1_9hr_CSV86(Pae_G1a).CEL	0.10588
GSM807327.CEL	0.10836
Pae_Fe02_15.CEL	0.10977
Pae_Fe02_14.CEL	0.11285
GSM567695.CEL	0.1136
GSM856031_PA01.CEL	0.11602
GSM994499_HM4-replicate-01.CEL	0.11627
Overhage10003_Pae_G1a.CEL	0.11905
Pae_noFe_10.CEL	0.11911
1_6hr_CSV86(Pae_G1a).CEL	0.11999
GSM743002_PAO1-PC4-b.CEL	0.12116
GSM994501_HM4-replicate-03.CEL	0.12143
GSM1244969_PAO1-22-replicate-03.CEL	0.12343
Overhage10004_Pae_G1a.CEL	0.12371
GSM954583_Nomura_PA2449-4_Pae_G1a_.CEL	0.124
2mM_CF600.CEL	0.12537
GSM567668.CEL	0.12886
GSM637583.CEL	0.12886
GSM741207.CEL	0.12968
GSM954581_Nomura_PA2449-2_Pae_G1a_.CEL	0.132
GSM807324.CEL	0.13563
