	gene id
0	PA5112
1	PA3528
2	PA4610
3	PA1692
4	PA3056
5	PA5552
6	PA0999
7	PA4667
8	PA1252
9	PA0672
10	PA4146
11	PA1382
12	PA2816
13	PA1939
14	PA1706
15	PA1370
16	PA1363
17	PA2418
18	PA1255
19	PA4504
20	PA0760
21	PA4358
22	PA0028
23	PA1225
24	PA0027
25	PA5509
26	PA4155
27	PA1552
28	PA5091
29	PA0803
30	PA2217
31	PA4237
32	PA3404
33	PA0556
34	PA3861
35	PA3494
36	PA1527
37	PA2043
38	PA1547
39	PA0233
40	PA3128
41	PA2772
42	PA1475
43	PA3309
44	PA1491
45	PA1493
46	PA4792
47	PA4347
48	PA2090
49	PA3466
50	PA4305
51	PA3501
52	PA2727
53	PA1006
54	PA0569
55	PA5393
56	PA3858
57	PA1637
58	PA5263
59	PA5207
60	PA4789
61	PA1694
62	PA1130
63	PA4453
64	PA1960
65	PA2770
66	PA4760
67	PA2451
68	PA1049
69	PA4513
70	PA4281
71	PA0497
72	PA2182
73	PA3579
74	PA0372
75	PA3053
76	PA4334
77	PA4494
78	PA4814
79	PA0901
80	PA5274
81	PA0571
82	PA1306
83	PA3115
84	PA5319
85	PA0299
86	PA2307
87	PA3722
88	PA3094
89	PA3367
90	PA2577
91	PA3764
92	PA5116
93	PA2218
94	PA2614
95	PA4125
96	PA4024
97	PA0425
98	PA2225
99	PA3735
