	PA3423	PA0084	PA2455	PA3029	PA1588	PA2220	PA4656	PA3585	PA1325	PA3067	PA1018	PA3558	PA2145	PA4624	PA5159	PA1429	PA5032	PA4551	PA1532	PA2918	PA0748	PA4370	PA3387	PA4813	PA4142	PA1365	PA1214	PA1687	PA0638	PA1558	PA2809	PA2648	PA0193	PA3770	PA2792	PA0221	PA4197	PA3414	PA0029	PA0055	PA5460	PA1342	PA4772	PA1466	PA2356	PA0816	PA5367	PA3406	PA0868	PA4755	PA1489	PA3083	PA1909	PA4309	PA4903	PA2713	PA0330	PA1907	PA0982	PA4103	PA1774	PA4567	PA5508	PA1524	PA2118	PA4842	PA3564	PA4264	PA1064	PA0341	PA1345	PA2478	PA0077	PA1232	PA1878	PA2875	PA4436	PA2812	PA1286	PA3173	PA2662	PA0106	PA0405	PA0499	PA3658	PA0644	PA3190	PA1471	PA0096	PA3023	PA1766	PA4217	PA0996	PA3950	PA5115	PA0505	PA0114	PA5150	PA4042	PA2678	PA5112	PA3528	PA4610	PA1692	PA3056	PA5552	PA0999	PA4667	PA1252	PA0672	PA4146	PA1382	PA2816	PA1939	PA1706	PA1370	PA1363	PA2418	PA1255	PA4504	PA0760	PA4358	PA0028	PA1225	PA0027	PA5509	PA4155	PA1552	PA5091	PA0803	PA2217	PA4237	PA3404	PA0556	PA3861	PA3494	PA1527	PA2043	PA1547	PA0233	PA3128	PA2772	PA1475	PA3309	PA1491	PA1493	PA4792	PA4347	PA2090	PA3466	PA4305	PA3501	PA2727	PA1006	PA0569	PA5393	PA3858	PA1637	PA5263	PA5207	PA4789	PA1694	PA1130	PA4453	PA1960	PA2770	PA4760	PA2451	PA1049	PA4513	PA4281	PA0497	PA2182	PA3579	PA0372	PA3053	PA4334	PA4494	PA4814	PA0901	PA5274	PA0571	PA1306	PA3115	PA5319	PA0299	PA2307	PA3722	PA3094	PA3367	PA2577	PA3764	PA5116	PA2218	PA2614	PA4125	PA4024	PA0425	PA2225	PA3735
GSM92193.CEL	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.000817	0.39824	0.75077	0.37282	0.084607	0.35686	0.79416	0.87605	0.78573	0.22069	0.12808	0.16248	0.44475	0.37568	0.60535	0.064089	0.38631	0.32829	0.17047	0.020873	0.25781	0.45492	0.5506	0.36612	0.23869	0.40903	0.60867	0.11003	0.79386	0.15985	0.094742	0.17825	0.7673	0.13768	0.51031	0.83239	0.40397	0.58273	0.22035	0.2613	0.31753	0.26606	0.42495	0.5483	0.71074	0.079448	0.64004	0.37589	0.44822	0.075073	0.63208	0.095781	0.36423	0.66735	0.4017	0.40925	0.24529	0.34474	0.31667	0.78491	0.29442	0.69576	0.13472	0.25262	0.67102	0.20474	0.60233	0.69642	0.21089	0.73868	0.16723	0.62822	0.1493	0.11056	0.78361	0.88345	0.52421	0.11573	0.63927	0.16682	0.46873	0.81191	0.61828	0.57525	0.75354	0.35667	0.69009	0.1047	0.6061	0.59982	0.19157	0.58334	0.60528	0.21684	0.27571	0.79582	0.15338	0.22638	0.71105	0.12153	0.88301
GSM1517350_MK-4.CEL	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.0011465	0.51802	0.47313	0.43035	0.082356	0.62415	0.54665	0.63381	0.55396	0.083084	0.23991	0.29283	0.74141	1	0.6933	0.2246	0.36952	0.22306	0.24402	0.2436	0.21983	0.33789	0.27987	0.11828	0.29667	0.21623	0.12455	0.18961	0.53916	0.37972	0.39203	0.15849	0.43008	0.25848	0.34239	0.37081	0.32576	0.32163	0.17482	0.29658	0.14559	0.50177	0.47671	0	0.85289	0.21267	0.51058	0.34414	0.13638	0.14255	0.35674	0.50374	0.29868	0.40845	0.2939	0.28969	0.17027	0.54611	0.042022	0.53424	0.037633	0.5809	0.17034	0.2977	0.69733	0.17283	0.41136	0.56785	0.35109	0.54683	0.23225	0.65763	0.26753	0.68116	0.35419	0.64261	0.60133	0.11495	0.40798	0.18655	0.37259	0.34987	0.56472	0.60961	0.84344	0.39274	0.56835	0.18912	0.52784	0.30087	0.23338	0.72697	0.47069	0.29103	0.37841	0.51385	0.33476	0.51483	0.53582	0.31868	0.47191
GSM617290.CEL	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.0017921	0.24301	0.72935	0.52623	0.24255	0.39995	0.65448	0.92149	0.62324	0.28996	0.26801	0.38452	0.2326	0.21229	0.11618	0.17354	0.069764	0.28751	0.23294	0.13125	0.10208	0.56255	0.42034	0.43106	0.30125	0.47078	0.39393	0.19628	0.59633	0.23734	0.2974	0.34872	0.71482	0.25736	0.20116	0.65629	0.11981	0.72743	0.34361	0.35351	0.41114	0.39445	0.50034	0.32777	0.78852	0.29368	0.80914	0.41639	0.51904	0.15205	0.68295	0.24112	0.077711	0.53665	0.54941	0.56825	0.23127	0.52934	0.2215	0.69445	0.13731	0.48746	0.17789	0.21659	0.67548	0.28123	0.96447	0.62357	0.255	0.62784	0.26014	0.4237	0.19459	0.26948	0.43747	0.47102	0.74742	0.24254	0.44144	0.23187	0.28263	0.66314	0.57626	0.48742	0.6937	0.49308	0.60341	0.197	0.32727	0.47809	0.27704	0.54307	0.48378	0.34941	0.10312	0.65731	0.17395	0.19911	0.63148	0.11458	0.57306
GSM307113.CEL	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.002365	0.75403	0.80035	0.20487	0.30913	0.47211	0.77159	0.64771	0.70846	0.3221	0.19952	0.34775	0.42274	0.16931	0.60515	0.21449	0.33858	0.19849	0.28455	0.16244	0.58944	0.58205	0.2471	0.29305	0.31224	0.20067	0.75309	0.20491	0.81451	0.2469	0.29555	0.27072	0.68846	0.27307	0.41503	0.84795	0.37539	0.54076	0.19154	0.13016	0.30302	0.35531	0.49519	0.56695	0.23771	0.15977	0.6892	0.35924	0.29201	0.15044	0.68193	0.15068	0.53022	0.77038	0.49766	0.50595	0.25799	0.40501	0.14256	0.75554	0.14762	0.80298	0.3419	0.15339	0.69485	0.21959	0.71776	0.63056	0.23935	0.45641	0.16494	0.53133	0.17116	0.094267	0.79462	0.68643	0.4833	0.284	0.25252	0.43169	0.55759	0.53086	0.63484	0.39532	0.66124	0.30532	0.72675	0.20969	0.87524	0.51371	0.19569	0.5235	0.64269	0.23216	0.35265	0.63913	0.15144	0.48203	0.71498	0.22859	0.80346
GSM567689.CEL	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.0035775	0.071928	0.49553	0.25471	0.23652	0.57023	0.46974	0.76312	0.43724	0.25076	0.67874	0.17118	0.34872	0.12028	0.18479	0.17124	0.1925	0.54847	0.62562	0.35239	0.31122	0.74057	0.26479	0.47944	0.42222	0.41906	0.46384	0.44977	0.17816	0.18898	0.51198	0.39778	0.65162	0.2276	0.49838	0.17866	0.64701	0.3176	0.38521	0.62791	0.39915	0.41071	0.35444	0.61118	0.72996	0.36576	0.2681	0.3118	0.51472	0.14037	0.31741	0.27796	0.13353	0.40649	0.53897	0.16621	0.59489	0.20543	0.61762	0.39685	0.56475	0.14077	0.16779	0.33904	0.40302	0.61745	0.32347	0.60396	0.64709	0.52761	0.51108	0.41005	0.20996	0.84828	0.41082	0.26775	0.3037	0.48509	0.47916	0.42549	0.33209	0.48843	0.38766	0.37579	0.36011	0.49104	0.35875	0.37582	0.52224	0.45998	0.45183	0.19609	0.26323	0.12586	0.32581	0.48085	0.1263	0.10703	0.44633	0.18741	0.50115
GSM980540_MHH1373.CEL	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.0038134	0.50212	0.59093	0.5704	0.16572	0.34652	0.66813	0.79003	0.65739	0.39348	0.41162	0.33998	0.41149	0.31284	0.10979	0.16986	0.048959	0.30078	0.39065	0.15823	0.26735	0.27157	0.59458	0.23202	0.28541	0.21504	0.17767	0.21075	0.59193	0.41733	0.66151	0.31685	0.49753	0.20192	0.36861	0.30612	0.36554	0.53953	0.19731	0.22445	0.27176	0.32868	0.39891	0.32636	0.88912	0.25293	0.49007	0.38201	0.60331	0.20649	0.51647	0.33466	0.13213	0.52997	0.40687	0.35737	0.23799	0.58461	0.31687	0.52803	0.20958	0.63328	0.28186	0.49451	0.66114	0.18668	0.47839	0.46274	0.26162	0.8461	0.30473	0.50986	0.18761	0.548	0.62446	0.5716	0.62282	0.22281	0.66177	0.24849	0.55833	0.59592	0.50516	0.48935	0.66423	0.62216	0.56377	0.21672	0.50499	0.45449	0.10812	0.49099	0.54107	0.32938	0.12066	0.56447	0.21607	0.35841	0.69938	0.3244	0.48086
GSM567670.CEL	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.006328	0.0062224	0.25824	0.091834	0.41586	0.42604	0.41013	0.77634	0.21632	0.24702	0.55442	0.22529	0.52107	0.12237	0.29122	0.16022	0.14389	0.49949	0.53397	0.41445	0.25975	0.7406	0.40814	0.32359	0.64365	0.35865	0.39869	0.48485	0.28153	0.3209	0.60433	0.4536	0.735	0.27434	0.69323	0.14316	0.75827	0.34728	0.39579	0.67769	0.52987	0.48924	0.36053	0.68175	0.61047	0.47048	0.36475	0.21238	0.47208	0.22059	0.23974	0.30971	0.13706	0.45153	0.7562	0.20791	0.60125	0.33944	0.57736	0.57476	0.61784	0.41234	0.52466	0.37994	0.18949	0.65938	0.22197	0.46373	0.30346	0.74559	0.58943	0.75373	0.18726	0.27904	0.3107	0.36701	0.40161	0.45239	0.58923	0.42591	0.10025	0.52221	0.41239	0.47011	0.43979	0.41074	0.34151	0.34556	0.82721	0.65797	0.57399	0.40928	0.27892	0.13542	0.3187	0.69051	0.21618	0.21493	0.51279	0.27969	0.36593
GSM573327.CEL	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.0077805	0.69832	0.7243	0.073281	0.2323	0.60482	0.80273	0.32073	0.71852	0.27472	0.54227	0.26397	0.65786	0.57324	0.67235	0.18818	0.24888	0.25034	0.11725	0.10067	0.1959	0.30579	0.16585	0.089061	0.2741	0.035062	0.084812	0.14019	0.59425	0.19005	0.45302	0.12008	0.70091	0.068197	0.13721	0.70209	0.2335	0.87454	0.22021	0.2725	0.23342	0.5956	0.32327	0.23033	0.3238	0.13257	0.72917	0.34511	0.42911	0.18984	0.69248	0.58205	0.25322	0.54922	0.47551	0.45145	0.13276	0.68019	0.32234	0.70027	0.12178	0.49154	0.06956	0.43538	0.62902	0.19332	0.42115	0.48991	0.23978	0.55644	0.11641	0.55117	0.15726	0.41854	0.48916	0.55325	0.54891	0.338	0.49937	0.063282	0.50188	0.54851	0.87331	0.79163	0.84493	0.87213	0.54414	0.16032	0.67153	0.29671	0.186	0.782	0.53208	0.40937	0.34327	0.8257	0.13676	0.35788	0.6211	0.24037	0.46552
GSM743005_PAO1-PC24-b.CEL	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.0078401	0.15574	0.68407	0.27603	0.21007	0.22099	0.34917	0.49528	0.63908	0.30392	0.30363	0.40192	0.52857	0.23168	0.60496	0.14968	0.27334	0.22706	0.3895	0.2266	0.18327	0.62801	0.35498	0.2315	0.4186	0.26845	0.23325	0.3135	0.49361	0.34994	0.42866	0.45213	0.56864	0.12518	0.43979	0.84784	0.67453	0.71541	0.39045	0.39436	0.21356	0.18509	0.58307	0.93338	0.36962	0.31769	0.22699	0.3653	0.38357	0.24478	0.83305	0.19549	0.35481	0.55345	0.72799	0.45062	0.46591	0.50424	0.75371	0.33536	0.2834	0.37193	0.25759	0.34317	0.60778	0.50627	0.61363	0.24751	0.23784	0.55585	0.44986	0.22335	0.51518	0.14631	0.6153	0.51329	0.36558	0.41218	0.39597	0.48208	0.21298	0.62202	0.62271	0.75217	0.35833	0.60131	0.58103	0.35771	0.70618	0.38169	0.50004	0.10008	0.76394	0.34615	0.27364	0.52673	0.11567	0.088773	0.50163	0.33126	0.55026
GSM546262.CEL	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.0090802	0.57365	0.68442	0.067878	0.1506	0.55191	0.75483	0.10067	0.74517	0.28755	0.2558	0.27591	0.26397	0.35065	0.12838	0.089206	0.13092	0.4528	0.2031	0.081462	0.16233	0.62748	0.15657	0.15938	0.23662	0.11923	0.22072	0.15644	0.71873	0.28799	0.36856	0.26961	0.76089	0.14539	0.43606	0.8154	0.58637	0.62982	0.28725	0.19005	0.40202	0.43525	0.63308	0.77063	0.404	0.046599	0.68934	0.33495	0.49817	0.12724	0.70708	0.13652	0.15235	0.81302	0.61702	0.36893	0.26051	0.51186	0.31519	0.71733	0.062898	0.75911	0.085082	0.11437	0.66818	0.44437	0.59568	0.66728	0.16672	0.58584	0.12356	0.5702	0.13579	0.029163	0.74919	0.67818	0.75479	0.21687	0.2444	0.16846	0.83736	0.63574	0.61434	0.63034	0.5345	0.62369	0.70535	0.15157	0.30016	0.49106	0.14463	0.5302	0.66574	0.24059	0.1262	0.74473	0.16062	0.48402	0.88019	0.11207	0.82882
