	PA3423	PA0084	PA2455	PA3029	PA1588	PA2220	PA4656	PA3585	PA1325	PA3067	PA1018	PA3558	PA2145	PA4624	PA5159	PA1429	PA5032	PA4551	PA1532	PA2918	PA0748	PA4370	PA3387	PA4813	PA4142	PA1365	PA1214	PA1687	PA0638	PA1558	PA2809	PA2648	PA0193	PA3770	PA2792	PA0221	PA4197	PA3414	PA0029	PA0055	PA5460	PA1342	PA4772	PA1466	PA2356	PA0816	PA5367	PA3406	PA0868	PA4755	PA1489	PA3083	PA1909	PA4309	PA4903	PA2713	PA0330	PA1907	PA0982	PA4103	PA1774	PA4567	PA5508	PA1524	PA2118	PA4842	PA3564	PA4264	PA1064	PA0341	PA1345	PA2478	PA0077	PA1232	PA1878	PA2875	PA4436	PA2812	PA1286	PA3173	PA2662	PA0106	PA0405	PA0499	PA3658	PA0644	PA3190	PA1471	PA0096	PA3023	PA1766	PA4217	PA0996	PA3950	PA5115	PA0505	PA0114	PA5150	PA4042	PA2678	PA5112	PA3528	PA4610	PA1692	PA3056	PA5552	PA0999	PA4667	PA1252	PA0672	PA4146	PA1382	PA2816	PA1939	PA1706	PA1370	PA1363	PA2418	PA1255	PA4504	PA0760	PA4358	PA0028	PA1225	PA0027	PA5509	PA4155	PA1552	PA5091	PA0803	PA2217	PA4237	PA3404	PA0556	PA3861	PA3494	PA1527	PA2043	PA1547	PA0233	PA3128	PA2772	PA1475	PA3309	PA1491	PA1493	PA4792	PA4347	PA2090	PA3466	PA4305	PA3501	PA2727	PA1006	PA0569	PA5393	PA3858	PA1637	PA5263	PA5207	PA4789	PA1694	PA1130	PA4453	PA1960	PA2770	PA4760	PA2451	PA1049	PA4513	PA4281	PA0497	PA2182	PA3579	PA0372	PA3053	PA4334	PA4494	PA4814	PA0901	PA5274	PA0571	PA1306	PA3115	PA5319	PA0299	PA2307	PA3722	PA3094	PA3367	PA2577	PA3764	PA5116	PA2218	PA2614	PA4125	PA4024	PA0425	PA2225	PA3735
GSM307126.CEL	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.94873	0.76916	0.71924	1	0.96421	1	0.89124	1	0.80742	0.47116	0.29893	0.50523	1	0.6618	0.59541	1	0.53689	0.26909	0.43968	0.27557	0.35726	0.61316	0.50218	0.61362	0.29714	0.42701	0.57993	0.22361	0.74453	0.53902	0.4393	0.45049	0.89677	0.19711	0.40817	0.81152	0.5732	0.76795	0.33152	0.15098	0.28415	0.45295	0.60418	0.68276	1	0.29417	0.55144	0.86033	0.51588	0.22025	0.85073	0.30522	0.53569	1	0.50222	0.40153	0.20027	0.5025	0.23218	0.87907	0.23769	0.89709	1	0.53668	0.8618	0.30582	0.71804	1	0.3796	0.8414	0.20918	0.68389	0.31827	0.63509	0.9005	0.64338	0.43594	0.29453	0.47456	0.56401	0.6068	0.57046	0.9289	0.48592	1	0.66025	1	0.36405	0.51525	0.45865	0.35926	1	0.63313	0.52552	0.51941	0.71676	0.2205	0.30688	0.76658	0.43264	0.9044
GSM155240.CEL	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.94939	0.75741	1	0.18306	0.32608	0.44157	1	0.2631	0.97672	0.25752	0.82812	0.31658	0.84008	0.59738	0.80272	0.26431	0.56022	0.90943	0.15673	0.068572	0.29163	1	0.63019	0.39798	0.32189	0.34989	0.31295	0.18279	1	0.56041	0.37687	0.28533	1	0.31655	0.86917	1	0.67882	0.98372	0.41835	0.51294	0.2835	0.32598	0.98902	1	0.77061	0.11419	0.70328	0.48462	0.42076	0.14536	0.90159	0.21213	0.46586	0.95078	0.85611	0.56869	0.030605	0.72012	0.20699	1	0.057396	1	0.4125	0.15019	0.9843	0.4944	1	0.66198	0.36905	0.80412	0.64091	0.6135	0.16311	0.21779	0.80926	1	0.45593	0.18515	0.92453	0.14919	0.61684	0.89659	0.9392	0.80042	1	0.57812	0.94672	0.20363	1	0.52691	0.34181	0.43631	0.85076	0.27048	0.35264	1	0.18034	0.39925	0.83578	0.2843	1
GSM261932.CEL	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.94983	0.63704	1	0.71987	0.67827	0.49127	0.88707	0.17539	0.81209	0.35134	0.080871	0.68282	0.6456	0.2436	0.14932	0.55043	0.028901	0.43268	0.49246	0.27476	0.21753	0.91289	0.72997	0.41676	0.43258	0.41388	0.37574	0.4878	1	0.56279	0.38474	0.34381	1	0.55911	0.4599	1	0.66997	0.73511	0.36052	0.21046	0.71701	0.62824	0.50983	0.76411	1	0.32366	0.8622	0.55207	0.64439	0.57301	0.96438	0.20393	0.061516	0.6727	0.37461	0.49154	0.47251	0.66918	0.43431	0.81783	0.18546	1	0.69382	0.2726	0.98431	0.66444	0.74207	0.99674	0.32132	0.84525	0.41865	0.27674	0.11227	0.44532	1	0.92268	0.76547	0.51219	0.3076	0.81575	0.73538	1	0.56762	0.61897	1	0.62307	1	0.40257	0.50748	0.89658	0.13228	0.51374	0.90605	0.42388	0.099217	1	0.55517	0.72724	1	0.10691	1
GSM954576_Nomura_PA01-1_Pae_G1a_.CEL	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	0.95007	1	0.6492	0.178	0.086949	0.72724	0.76158	1	0.87854	0.61585	0.32086	0.31845	0.69742	0.46458	1	0.19688	0.45868	0.38234	0.38295	0.2403	0.47766	0.33381	0.32505	0.78825	0.37513	1	0.9494	0.28093	0.35642	0.67668	0.60534	0.32774	0.55995	0.39195	0.57083	0.44169	0.76485	0.83592	0.26917	0.47993	0.43447	0.57754	0.64214	0.34202	0.71434	0.37465	0.74761	0.63726	0.80979	0.24274	0.85989	1	0.85849	0.85239	0.50948	0.84264	0.3924	0.96082	0.5541	0.62906	0.43433	0.69658	0.28062	0.98057	0.96212	0.5437	0.66499	0.45808	0.56824	0.79298	0.35115	0.65567	0.31636	0.76836	0.52785	0.86606	0.6337	0.45864	0.27152	0.68246	0.92523	0.70287	1	0.65285	0.98221	0.55221	0.87874	0.38442	0.78224	0.8368	0.45461	0.8364	0.62843	0.54039	0.4597	0.74112	0.27097	0.41528	1	0.50988	0.58109
GSM92165.CEL	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.95008	0.81864	0.81058	0.29747	0.10544	0.32489	0.90784	0.73305	0.90481	0.58694	0.40529	0.31373	0.69022	0.77053	1	0.16221	0.55085	0.42027	0.29367	0.21481	0.63193	0.54616	0.7953	0.68655	0.21535	0.4777	0.23046	0.18024	1	0.57804	0.74102	0.37487	0.81168	0.38082	0.47482	0.89438	0.56002	0.77489	0.26878	0.31233	0.31242	0.50776	0.56215	0.78046	0.83057	0.30445	0.74057	0.45814	0.58661	0.20395	0.8097	0.53124	0.53459	0.81721	0.38208	0.5118	0.36009	1	0.31214	0.80028	0.23747	0.77569	0.35499	1	0.80636	0.30069	0.70572	0.75659	0.38328	0.85608	0.26697	0.60816	0.19042	0.32431	0.60747	0.91885	0.60246	0.23822	0.57615	0.41787	0.61874	0.79955	0.85702	0.51878	0.90305	0.52738	0.9746	0.27279	0.77317	0.61696	0.26302	0.74172	0.62341	0.20405	0.49704	0.9115	0.22806	0.48874	0.91375	0.25718	0.65262
GSM537320.CEL	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.95024	0.53121	1	0.1487	0.44638	0.97865	0.71422	0.63435	0.76906	0.67761	0.42137	0.51849	1	0.47769	1	0.49678	1	0.88035	1	0.31995	0.40333	0.89338	0.39992	0.52588	0.40275	0.33054	0.3111	0.25075	0.28956	0.39897	0.27431	0.46894	0.11811	0.21938	0.14204	0.41024	0.66609	0.64464	0.18051	0.33276	0.63424	0.73436	1	0.52497	0.22935	1	0.50903	0.50826	0.23908	0.08995	0.63658	0.36488	0.78161	0.50705	0.55797	0.75558	0.62205	0.77912	0.47913	0.77992	0.30418	0.66952	0.36526	0.4756	0.78877	0.54936	0.76109	0.80932	0.40943	0.47899	0.30376	1	1	0.88614	0.71156	0.82824	0.90344	0.3697	0.15199	0.54534	0.11029	1	1	0.69312	0.43374	0.66315	0.57351	0.23552	0.50959	0.63056	0.31942	0.86885	0.89055	0.21013	0.93588	0.51405	0.5691	0.68431	0.68766	1	0.31583
GSM821087_HZI0142_Pae_G1a.CEL	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.95105	0.85604	0.79331	0.24785	0.27791	0.68782	0.90972	0.82588	0.64796	0.60897	0.23415	0.34334	0.80551	0.84673	1	0.19752	0.54682	0.40705	0.70983	0.15681	1	0.54397	0.26928	0.8796	0.37434	1	0.43019	0.15796	0.73605	0.64313	1	0.27779	0.90069	0.14968	0.58819	0.61809	0.48931	0.86126	0.27461	0.25188	0.36701	0.51477	0.5365	0.47936	1	0.38575	0.54998	0.73457	0.39266	0.20192	0.72776	1	0.49934	0.59053	0.66293	0.34041	0.34694	1	0.56132	0.69823	0.25436	0.83988	0.29201	1	1	0.43847	0.74031	0.62616	0.42328	0.81697	0.19333	0.59142	0.24503	1	0.4894	0.46791	0.65891	0.29452	0.14385	0.4272	0.67885	0.89713	0.7906	0.75668	1	0.78903	0.87399	0.22873	0.42758	0.63211	0.25927	0.86999	0.69764	0.78649	0.35714	0.843	0.23013	0.66669	0.93784	0.35563	0.60859
GSM854793.CEL	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.95136	0.64867	0.89652	0.76706	0.61675	0.9376	1	0.45713	0.51304	0.91218	0.54696	0.62587	0.67055	0.63467	0.46965	0.29899	0.32465	0.37193	0.57916	0.57113	0.33583	0.30371	0.73763	0.66464	0.5902	0.51934	0.59676	0.5558	0.28224	0.3174	0.7208	0.66626	0.54357	0.85394	0.82062	0.39294	0.93806	0.97236	0.85982	1	0.79928	0.69773	0.59447	0.88076	0.35291	0.91561	0.29171	0.55793	0.92914	0.49209	0.89315	0.37571	0.87996	1	0.64139	0.38295	1	0.55544	0.32748	0.56932	1	1	0.56501	0.50237	0.33527	0.7089	0.64439	0.69123	0.581	0.71548	0.73929	0.95244	0.24936	0.21007	0.83236	0.62309	0.45598	0.80311	0.45608	1	0.3042	0.68911	0.68455	0.81214	0.57318	0.54687	0.31607	0.50239	0.85956	0.65887	0.93234	0.38159	0.50724	0.34605	0.55623	0.58311	0.38053	0.42122	0.5976	0.51927	0.72653
GSM823341.CEL	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.95195	0.58136	1	0.72707	0.81828	0.43229	0.76876	0.56069	0.91185	0.62473	0.35817	0.83872	0	0.35892	0.033444	0.35939	0.023888	0.66253	1	0.46706	0.31628	0.63473	0.66792	0.55715	0.65865	0.40889	0.45291	0.56283	0.38063	0.58406	0.644	0.80844	0.36933	0.65003	0.32794	0.44947	0.74569	0.90477	0.56052	0.64433	0.65993	0.72215	1	0.6079	0.79141	0.58661	0.65087	0.60468	0.50001	0.61662	1	0.44571	0.051925	0.86881	0.74715	0.77224	0.6538	0.58277	0.2922	1	0.33089	0.98611	0.80372	0.46145	0.59269	0.85818	0.66734	0.60831	0.48644	0.80866	0.56055	0.89058	0.36588	0.7547	0.79021	0.57033	1	0.22241	0.40736	0.78797	0.53346	0.80472	1	0.82697	0.57679	0.43256	0.71866	0.30825	0.59981	0.66754	0	1	0.86907	0.63574	0.020977	0.70435	0.40486	0.77105	0.69455	0.043892	0.55808
GSM1027584_062508WT.CEL	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	0.95216	1	0.88033	1	0.15911	0.80323	1	0.31043	1	0.53203	0.061265	0.3634	0.6801	0.60664	1	0.17968	0.62421	0.2454	0.26254	0.76502	0.65133	0.53714	0.36459	0.53343	0.39563	0.5732	0.34425	0.19384	0.95537	0.70994	0.67231	0.24671	0.98676	0.25747	0.49661	0.83439	0.56694	0.90105	0.27709	0.26092	0.17281	0.78858	0.51741	0.69449	1	0.085011	0.78105	0.78026	0.76565	0.19943	0.8976	0.79156	1	0.91861	0.72567	0.52612	0.44675	0.80575	0.39668	0.89884	0.56223	0.9476	0.20892	0.12816	0.98373	0.43075	0.80797	0.85142	0.29579	1	0.18378	0.85025	0.31526	0.56996	1	0.77366	0.7801	0.45556	1	0.46783	0.81644	0.86767	0.58724	0.7058	1	0.84169	1	0.19734	0.83769	0.4453	0.32838	1	0.92955	0.41602	0.5496	0.9749	0.30179	0.62402	0.97912	0.42695	1
