	PA3423
0.1_12hr_CSV86(Pae_G1a).CEL	0.029353
0.1_2hr_CSV86(Pae_G1a).CEL	0.34507
0.1_6hr_CSV86(Pae_G1a).CEL	0.92099
0.1_7hr_CSV86(Pae_G1a).CEL	0.67614
0.1_9hr_CSV86(Pae_G1a).CEL	0.6256
05_PA14000-4-2_5-10-07_S2.CEL	0.93388
1_12hr_CSV86(Pae_G1a).CEL	0.030605
1_2hr_CSV86(Pae_G1a).CEL	0.60246
1_6hr_CSV86(Pae_G1a).CEL	0.18795
1_7hr_CSV86(Pae_G1a).CEL	0.39694
1_9hr_CSV86(Pae_G1a).CEL	0.18184
120330-10978D_22_(Pae_G1a).CEL	0.34913
120330-10978D_23_(Pae_G1a).CEL	0.90138
120330-10978D_24_(Pae_G1a).CEL	0.72539
120330-10978D_M1_(Pae_G1a).CEL	0.84629
120330-10978D_M3_(Pae_G1a).CEL	0.075484
120330-10978D_M4_(Pae_G1a).CEL	0.30084
142_2014wt_anaero.CEL	0.78416
143b_2014wt_anaero.CEL	0.040451
144_2014wt_anaero.CEL	0.18972
145_2014dR_anaero.CEL	0.081857
146_2014dR_anaero.CEL	0.81756
147_2014dR_anaero.CEL	0.23225
20mM_CF600.CEL	0.42429
20mM_KT2440.CEL	0.013856
2mM_CF600.CEL	0.11367
2mM_KT2440.CEL	0.514
54375-4-05.CEL	0.79131
aerobic_NO3_1.CEL	0.34103
aerobic_NO3_2.CEL	0.31935
AKGlu_plus_nt_7-8-09_s1.CEL	0.040812
anaerobic_NO3_1.CEL	0.099616
anaerobic_NO3_2.CEL	0.14851
control1_anaerobic_Pae_G1a.CEL	0.20626
control1aerobic_Pae_G1a.CEL	0.56985
control2_anaerobic_Pae_G1a.CEL	0.35889
control2aerobic_Pae_G1a.CEL	0.97773
control3_anaerobic_Pae_G1a.CEL	0.28411
control3aerobic_Pae_G1a.CEL	0.85628
DB1.CEL	0.091774
DB3.CEL	0.5276
DC1.CEL	0.54947
DC2.CEL	0.6573
DC3.CEL	0.41014
dPA54375-18-05.CEL	0.52399
ETJan12B_1376_2012PAO1wt-aero.CEL	0.77781
ETJan12B_1377_2012-PAO2wt-aero.CEL	0.1516
ETJan12B_1378_2012-PAO3wt-aero.CEL	0.53162
ETJan12B_1379_2012PAO4dR-aero.CEL	0.58808
ETJan12B_1380_2012PAO5dR-aero.CEL	0.7817
ETJan12B_1381_2012PAO6_2dR-aero.CEL	0.16371
fos1_anaerobic_Pae_G1a.CEL	0.41459
fos1aerobic_Pae_G1a.CEL	0.024569
fos2_anaerobic_Pae_G1a.CEL	0.66256
fos2aerobic_Pae_G1a.CEL	0.86803
Fos3_aerobic_wdh_Pae_G1a.CEL	0.35353
fos3_anaerobic_Pae_G1a.CEL	0.81627
FT1_anaerobic_Pae_G1a.CEL	0.65803
FT1aerobic_Pae_G1a.CEL	0.017039
FT2_aerobic_wdh_Pae_G1a.CEL	0.47024
FT2_anaerobic_Pae_G1a.CEL	0.045739
FT3_anaerobic_Pae_G1a.CEL	0.31322
