	PA1920
0.1_12hr_CSV86(Pae_G1a).CEL	0.2617
0.1_2hr_CSV86(Pae_G1a).CEL	0.30735
0.1_6hr_CSV86(Pae_G1a).CEL	0.2208
0.1_7hr_CSV86(Pae_G1a).CEL	0.54937
0.1_9hr_CSV86(Pae_G1a).CEL	0.24762
05_PA14000-4-2_5-10-07_S2.CEL	0.20594
1_12hr_CSV86(Pae_G1a).CEL	0.27599
1_2hr_CSV86(Pae_G1a).CEL	0.18598
1_6hr_CSV86(Pae_G1a).CEL	0.40369
1_7hr_CSV86(Pae_G1a).CEL	0.38193
1_9hr_CSV86(Pae_G1a).CEL	0.22044
120330-10978D_22_(Pae_G1a).CEL	0.16693
120330-10978D_23_(Pae_G1a).CEL	0.22304
120330-10978D_24_(Pae_G1a).CEL	0.18455
120330-10978D_M1_(Pae_G1a).CEL	0.18107
120330-10978D_M3_(Pae_G1a).CEL	0.15705
120330-10978D_M4_(Pae_G1a).CEL	0.15714
142_2014wt_anaero.CEL	0.82171
143b_2014wt_anaero.CEL	0.82969
144_2014wt_anaero.CEL	0.83444
145_2014dR_anaero.CEL	0.91134
146_2014dR_anaero.CEL	0.93529
147_2014dR_anaero.CEL	0.93689
20mM_CF600.CEL	0.13446
20mM_KT2440.CEL	0.30248
2mM_CF600.CEL	0.40119
2mM_KT2440.CEL	0.41176
54375-4-05.CEL	0.50815
aerobic_NO3_1.CEL	0.15926
aerobic_NO3_2.CEL	0.34162
AKGlu_plus_nt_7-8-09_s1.CEL	0.17754
anaerobic_NO3_1.CEL	0.66765
anaerobic_NO3_2.CEL	0.52405
control1_anaerobic_Pae_G1a.CEL	0.4203
control1aerobic_Pae_G1a.CEL	0.77974
control2_anaerobic_Pae_G1a.CEL	0.32803
control2aerobic_Pae_G1a.CEL	0.7076
control3_anaerobic_Pae_G1a.CEL	0.37532
control3aerobic_Pae_G1a.CEL	0.82775
DB1.CEL	0.4644
DB3.CEL	0.38061
DC1.CEL	0.14766
DC2.CEL	0.15684
DC3.CEL	0.38909
dPA54375-18-05.CEL	0.44474
ETJan12B_1376_2012PAO1wt-aero.CEL	0.086323
ETJan12B_1377_2012-PAO2wt-aero.CEL	0.098649
ETJan12B_1378_2012-PAO3wt-aero.CEL	0.057429
ETJan12B_1379_2012PAO4dR-aero.CEL	0.34364
ETJan12B_1380_2012PAO5dR-aero.CEL	0.17901
ETJan12B_1381_2012PAO6_2dR-aero.CEL	0.33563
fos1_anaerobic_Pae_G1a.CEL	0.38708
fos1aerobic_Pae_G1a.CEL	0.6862
fos2_anaerobic_Pae_G1a.CEL	0.66203
fos2aerobic_Pae_G1a.CEL	0.6958
Fos3_aerobic_wdh_Pae_G1a.CEL	0.71189
fos3_anaerobic_Pae_G1a.CEL	0.5097
FT1_anaerobic_Pae_G1a.CEL	0.2479
FT1aerobic_Pae_G1a.CEL	0.4762
FT2_aerobic_wdh_Pae_G1a.CEL	0.45798
FT2_anaerobic_Pae_G1a.CEL	0.24647
FT3_anaerobic_Pae_G1a.CEL	0.25604
