	PA3038
0.1_12hr_CSV86(Pae_G1a).CEL	0.23706
0.1_2hr_CSV86(Pae_G1a).CEL	0.32339
0.1_6hr_CSV86(Pae_G1a).CEL	0.2608
0.1_7hr_CSV86(Pae_G1a).CEL	0.077885
0.1_9hr_CSV86(Pae_G1a).CEL	0.16571
05_PA14000-4-2_5-10-07_S2.CEL	0.46678
1_12hr_CSV86(Pae_G1a).CEL	0.087139
1_2hr_CSV86(Pae_G1a).CEL	0.14609
1_6hr_CSV86(Pae_G1a).CEL	0.11999
1_7hr_CSV86(Pae_G1a).CEL	0.042031
1_9hr_CSV86(Pae_G1a).CEL	0.10588
120330-10978D_22_(Pae_G1a).CEL	0.70046
120330-10978D_23_(Pae_G1a).CEL	0.40713
120330-10978D_24_(Pae_G1a).CEL	0.39845
120330-10978D_M1_(Pae_G1a).CEL	0.58292
120330-10978D_M3_(Pae_G1a).CEL	0.49923
120330-10978D_M4_(Pae_G1a).CEL	0.54468
142_2014wt_anaero.CEL	0.46982
143b_2014wt_anaero.CEL	0.47663
144_2014wt_anaero.CEL	0.47742
145_2014dR_anaero.CEL	0.52749
146_2014dR_anaero.CEL	0.52041
147_2014dR_anaero.CEL	0.54554
20mM_CF600.CEL	0.23219
20mM_KT2440.CEL	0.26597
2mM_CF600.CEL	0.12537
2mM_KT2440.CEL	0.34963
54375-4-05.CEL	0.28905
aerobic_NO3_1.CEL	0.79879
aerobic_NO3_2.CEL	0.35304
AKGlu_plus_nt_7-8-09_s1.CEL	0.65847
anaerobic_NO3_1.CEL	0.29266
anaerobic_NO3_2.CEL	0.28977
control1_anaerobic_Pae_G1a.CEL	0.40494
control1aerobic_Pae_G1a.CEL	0.36536
control2_anaerobic_Pae_G1a.CEL	0.41282
control2aerobic_Pae_G1a.CEL	0.32903
control3_anaerobic_Pae_G1a.CEL	0.4268
control3aerobic_Pae_G1a.CEL	0.33281
DB1.CEL	0.42029
DB3.CEL	0.7224
DC1.CEL	0.5965
DC2.CEL	0.60871
DC3.CEL	0.33627
dPA54375-18-05.CEL	0.21322
ETJan12B_1376_2012PAO1wt-aero.CEL	0.46715
ETJan12B_1377_2012-PAO2wt-aero.CEL	0.39117
ETJan12B_1378_2012-PAO3wt-aero.CEL	0.35859
ETJan12B_1379_2012PAO4dR-aero.CEL	0.54113
ETJan12B_1380_2012PAO5dR-aero.CEL	0.5146
ETJan12B_1381_2012PAO6_2dR-aero.CEL	0.53825
fos1_anaerobic_Pae_G1a.CEL	0.4058
fos1aerobic_Pae_G1a.CEL	0.32894
fos2_anaerobic_Pae_G1a.CEL	0.40431
fos2aerobic_Pae_G1a.CEL	0.32974
Fos3_aerobic_wdh_Pae_G1a.CEL	0.45752
fos3_anaerobic_Pae_G1a.CEL	0.40352
FT1_anaerobic_Pae_G1a.CEL	0.39989
FT1aerobic_Pae_G1a.CEL	0.29675
FT2_aerobic_wdh_Pae_G1a.CEL	0.28493
FT2_anaerobic_Pae_G1a.CEL	0.37207
