	0	1
GSM92193.CEL	-4.8812	-1.2038
GSM1517350_MK-4.CEL	-5.0681	-0.15119
GSM617290.CEL	-4.9678	-0.52851
GSM307113.CEL	-4.8682	-0.98432
GSM567689.CEL	-5.1158	1.144
GSM980540_MHH1373.CEL	-4.9587	-0.18937
GSM567670.CEL	-5.0168	1.0997
GSM573327.CEL	-4.8843	-0.71088
GSM743005_PAO1-PC24-b.CEL	-4.9337	0.29815
GSM546262.CEL	-4.8466	-1.0352
GSM546250.CEL	-4.8013	-0.96785
L_13.CEL	-5.0775	1.1433
GSM1420992_PAO1_NO1.CEL	-4.8195	-1.0948
GSM234929.CEL	-4.8409	0.23037
GSM567674.CEL	-5.0695	1.3104
GSM546253.CEL	-4.7955	-0.9605
GSM774158_B38-6M_2.CEL	-4.8194	-0.85215
GSM208611.CEL	-4.8229	-0.89579
GSM2070484_OCio-01-PAO1_Ad94_1-Pae_G1a-a1.CEL	-4.7816	-0.79041
GSM2070507_OCio-12-MutS-B-Cip-D94-3-Pae_G1a-a1.CEL	-4.7377	-0.86562
20mM_KT2440.CEL	-5.078	1.5231
GSM1310896_PA14_lasR_rhlR.CEL	-4.7531	-0.92096
GSM2055822_7629_C+_20130705.CEL	-4.7479	-1.2924
GSM1143376_A2_Pae_G1a_.CEL	-4.7864	-0.82765
PA14_3-23-07_s2.CEL	-4.7144	-0.93433
GSM838216_PAO1-PM-3_Pae_G1a.CEL	-4.7813	-0.36695
GSM1246481_PA14bvlR_pME6032_rep1.CEL	-4.7447	-1.0316
GSM821495.CEL	-4.7586	-0.46824
FT1aerobic_Pae_G1a.CEL	-5.0054	0.43196
GSM738266.CEL	-4.8869	-0.054541
GSM567691.CEL	-5.0111	0.87628
GSM637590.CEL	-4.913	0.77336
GSM617297.CEL	-4.8515	-0.14029
GSM155244.CEL	-4.742	-1.0916
GSM1662224_PAO1_2.CEL	-4.8287	-0.36267
GSM774131_CF333-2007b.CEL	-4.6813	-0.84087
GSM1206652_WT-PRC-2.CEL	-4.9492	0.42685
GSM261934.CEL	-4.7758	-0.2155
fos1aerobic_Pae_G1a.CEL	-4.9381	0.35972
GSM208605.CEL	-4.6706	-1.1268
GSM177218.CEL	-4.7121	-0.43211
GSM1608068_Biofilm+12hrcipro_rep2.CEL	-4.8117	0.025713
GSM2070488_OCio-11-PAO1_Ad94_cipro_2-Pae_G1a-a1.CEL	-4.7097	-0.8096
GSM267255.CEL	-4.6759	-0.49
GSM424834.CEL	-4.7798	0.57159
GSM663170_Pa_label_cDNA_5-13-08_s2.CEL	-4.7077	-0.94893
GSM244071.CEL	-4.7057	-0.59842
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	-4.6269	-0.66885
0.1_12hr_CSV86(Pae_G1a).CEL	-4.9028	1.4284
GSM1181847_gc_WT1_1.CEL	-4.6564	-0.18767
1_12hr_CSV86(Pae_G1a).CEL	-4.9018	1.5504
GSM429481.CEL	-4.7055	0.22979
GSM1608061_Planktonic_3.CEL	-4.578	-1.249
GSM807325.CEL	-4.7543	1.4048
Van_Delden_Kohler_0311_PT5_3.CEL	-4.5812	-0.46995
GSM1419143_BC3.CEL	-4.6201	0.31291
143b_2014wt_anaero.CEL	-4.7444	-0.48286
AKGlu_plus_nt_7-8-09_s1.CEL	-4.5231	-1.0125
GSM244066.CEL	-4.552	-0.55898
GSM774143_B12-4_2.CEL	-4.4868	-0.97491
