cel_file	medium
GSM567670.CEL	10% LB
GSM567671.CEL	10% LB
GSM567680.CEL	10% LB
GSM567681.CEL	10% LB
GSM567690.CEL	10% LB
GSM567691.CEL	10% LB
GSM821087_HZI0142_Pae_G1a.CEL	10% LB
GSM821088_HZI0143_Pae_G1a.CEL	10% LB
GSM821089_HZI0144_Pae_G1a.CEL	10% LB
GSM821092_HZI0148_Pae_G1a.CEL	10% LB
GSM821093_HZI0149_Pae_G1a.CEL	10% LB
GSM821095_HZI0150_Pae_G1a.CEL	10% LB
GSM741203.CEL	10% TY
GSM741204.CEL	10% TY
GSM741205.CEL	10% TY
GSM741206.CEL	10% TY
GSM741207.CEL	10% TY
GSM741208.CEL	10% TY
GSM741209.CEL	10% TY
GSM741210.CEL	10% TY
GSM741211.CEL	10% TY
GSM741212.CEL	10% TY
GSM741213.CEL	10% TY
GSM741214.CEL	10% TY
GSM685447.CEL	ABT + 0.5% casamino acids
GSM685448.CEL	ABT + 0.5% casamino acids
GSM685449.CEL	ABT + 0.5% casamino acids
GSM685450.CEL	ABT + 0.5% casamino acids
GSM156153.CEL	ABT + 0.5% glucose + trace elements
GSM156154.CEL	ABT + 0.5% glucose + trace elements
GSM156155.CEL	ABT + 0.5% glucose + trace elements
GSM156156.CEL	ABT + 0.5% glucose + trace elements
GSM156157.CEL	ABT + 0.5% glucose + trace elements
GSM156158.CEL	ABT + 0.5% glucose + trace elements
GSM156172.CEL	ABT + 0.5% glucose + trace elements
GSM156173.CEL	ABT + 0.5% glucose + trace elements
GSM156174.CEL	ABT + 0.5% glucose + trace elements
GSM156175.CEL	ABT + 0.5% glucose + trace elements
GSM307112.CEL	AGSY
GSM307113.CEL	AGSY
GSM307114.CEL	AGSY
GSM307115.CEL	AGSY
GSM307116.CEL	AGSY
GSM307117.CEL	AGSY
GSM307118.CEL	AGSY
GSM307119.CEL	AGSY
GSM307120.CEL	AGSY
GSM307121.CEL	AGSY
GSM307122.CEL	AGSY
GSM307123.CEL	AGSY
GSM307124.CEL	AGSY
GSM307125.CEL	AGSY
GSM307126.CEL	AGSY
GSM821084_HZI0139_Pae_G1a.CEL	artificial urine medium 
GSM821085_HZI0140_Pae_G1a.CEL	artificial urine medium 
GSM821086_HZI0141_Pae_G1a.CEL	artificial urine medium 
GSM821090_HZI0145_Pae_G1a.CEL	artificial urine medium 
GSM821091_HZI0146_Pae_G1a.CEL	artificial urine medium 
GSM821094_HZI0147_Pae_G1a.CEL	artificial urine medium 
GSM462061.CEL	ASMDM
GSM462062.CEL	ASMDM
GSM462354.CEL	ASMDM
GSM462355.CEL	ASMDM
GSM45588.CEL	BHI
GSM45589.CEL	BHI
GSM45591.CEL	BHI
GSM45590.CEL	BHI 
Overhage13001_(Pae_G1a).CEL	BM2
Overhage13002_(Pae_G1a).CEL	BM2
