	0	1
GSM307126.CEL	4.6259	0.16183
GSM155240.CEL	4.6701	-0.72169
GSM261932.CEL	4.6397	-0.14315
GSM954576_Nomura_PA01-1_Pae_G1a_.CEL	4.6438	0.77503
GSM92165.CEL	4.5824	-0.050557
GSM537320.CEL	4.5219	1.4203
GSM821087_HZI0142_Pae_G1a.CEL	4.6301	0.52135
GSM854793.CEL	4.6272	1.9247
GSM823341.CEL	4.6373	1.0097
GSM1027584_062508WT.CEL	4.805	-0.36582
GSM1608069_Biofilm+12hrcipro_rep3.CEL	4.6328	0.93245
GSM1958027_L-lysine_2.CEL	4.8402	-0.50163
GSM838207_OXYR-LB-2_Pae_G1a.CEL	4.7645	0.16336
GSM774140_B12-0_2.CEL	4.8036	-0.53282
GSM261923.CEL	4.7423	0.0607
GSM2070509_OCio-14-PAO1-2-d94-Pae_G1a-b1.CEL	4.822	-0.29103
Pae_Fe02_14.CEL	4.4404	2.4593
GSM546247.CEL	4.8226	-0.62945
GSM864520.CEL	4.7407	0.58882
GSM307122.CEL	4.7651	0.45351
GSM854798.CEL	4.6365	1.1938
GSM254432.CEL	4.917	-0.3931
GSM156175.CEL	4.5609	0.38733
GSM267248.CEL	4.9065	-0.17088
GSM774095_CF66-1992b.CEL	4.9132	-0.50697
GSM1206644_WT-PYR-2.CEL	4.6447	0.9238
GSM821506.CEL	4.9418	-0.73668
GSM1267101_HZI1967_Pae_G1a.CEL	4.8401	0.09002
GSM774106_CF173-1984a.CEL	5.0011	-0.30364
GSM537321.CEL	4.7335	1.5321
GSM871973.CEL	4.7608	1.4209
GSM356957.CEL	4.9368	1.0677
GSM155241.CEL	4.8781	-0.78113
GSM334315.CEL	5.0427	-0.48733
GSM711452.CEL	4.9428	0.11938
GSM1420995_anr_control2.CEL	4.9765	-0.89624
GSM774103_CF114-1973a.CEL	5.0136	-0.50603
control2aerobic_Pae_G1a.CEL	4.7341	0.98569
GSM864518.CEL	4.8444	0.03764
GSM717424.CEL	4.828	1.9897
GSM774121_CF333-1997a.CEL	4.9894	-0.58816
GSM871970.CEL	4.9866	0.56827
GSM823343.CEL	4.9475	1.0382
H_3.CEL	4.6879	1.6068
GSM1146022_pJN105_1.CEL	4.9904	-0.2166
GSM637574.CEL	4.7866	2.176
GSM541646.CEL	4.9826	0.93781
Pae_Fe03_16.CEL	4.7312	2.4108
GSM774130_CF333-2007a.CEL	5.0787	-0.66838
GSM356958.CEL	5.0503	0.89567
GSM1267097_HZI1961_Pae_G1a.CEL	5.1073	-0.045967
GSM1133186_Weiqing_He_L-Glu-1_021810.CEL	5.1925	-0.72127
GSM546261.CEL	5.0628	-0.64291
GSM267257.CEL	5.0877	0.82776
GSM1112051_PGAS_37_3A.CEL	5.1192	1.267
GSM429478.CEL	4.9992	1.5267
GSM591603.CEL	5.1686	-0.10466
GSM897999_MHH0110_Pae_G1a.CEL	5.1955	-0.3741
GSM2026894_L-Glu.CEL	5.2823	-0.82326
GSM546273.CEL	5.1638	-0.68113
