	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299
GSM774161_PAO1b.CEL	0.15201	0	0	0	0.63399	0	0	0	2.7662	0	0.79075	0.16516	0	0.43041	0	0	0	0	0	0.26529	0	0.24911	1.3973	0	2.7713	2.2877	1.9018	1.7894	1.941	3.0846	0	3.2691	0	0.57139	0	0	0	0	0	0	0	0	5.001	0	0	0	0	0.72449	0	0.28705	0	0.020134	5.3278	3.3493	0	0.75834	3.2942	0	0	0	3.2814	0.40503	1.9348	0	0	1.2104	0.78034	0	0	0	0	0	0.49639	0	2.0534	0	0	2.9535	3.2024	0	0	0	0	0	0.67895	0	0	3.0057	1.0899	3.1655	0	4.9597	0	0	0	0	0	0	0	0.40636	0	0	1.4419	3.8914	2.2205	0.907	1.8846	0	0	2.8638	0.64434	3.8879	3.2871	0.55763	0	0.29125	0.84338	0	0	0	0	0	0	0	5.5722	3.4549	0.15469	0.66093	2.0269	1.6075	0	0.44376	0	0	0	4.5993	1.3401	0	5.0348	0	0	4.556	0.070205	0	0	0	0.17918	0	0.26301	0.45256	0.69257	0	0	2.3995	0	0	0	4.4031	2.4682	0	0	0.017832	0	0.70118	1.5264	0.96315	0	2.7198	0.24128	0.11716	2.5253	0	5.4231	0	3.445	0.29976	0.86074	0	3.1542	3.9158	0.58668	0	0.48088	0	0	0	1.8603	0	0	0	0	1.2591	0	0	0	0.08501	0	4.3117	0	0.2603	0	0	0	2.5561	0	0	0	0	0	2.2646	0	4.0761	0	0	0	0	0	1.2668	0.36136	0.66228	0	0.078551	0	0	1.0503	0.5972	0.19437	0.62357	0	1.5027	0.31317	0	0	0	0	1.0185	0.62568	2.9403	2.466	5.2651	4.4292	0.037662	3.2848	3.1679	0.14814	0.84298	0.96032	1.1952	0.54158	0	0.48323	0	0	0	0	0.12307	0	0.29603	2.6542	0	3.2445	0	0.05904	1.429	1.4607	0	1.6668	4.096	0.054793	5.2986	0.28611	3.354	0	0	3.9129	2.004	0.18901	0.17717	0	0	0	2.8888	1.5375	0.13672	0.05318	0	0	0.60296	0	0.94787	0	0	0	0.53796	0	0	0.14542	3.8498	0.2005	0
Overhage3002_(Pae_G1a).CEL	2.9568	0.072229	0	0.36236	0	0	0	0	0.90169	5.2112	1.9723	8.568	0	0	0	0.16784	0	6.1813	0	0	0	1.1608	0	0	0	3.0298	0.19526	0	0	2.3497	0	4.6644	0	5.0662	0	0	0	0.42249	1.9113	2.7435	0	3.8879	0	0	6.1606	0	0	0	0	0	0	2.3159	0.0016239	0.089085	0	0.23214	3.1792	0	2.6389	6.1092	0	0.24717	0	2.9577	0	0	0	2.1002	0	3.0927	0	0	0	0	0	7.0523	0	3.5761	0.36812	0	0	0	2.0329	0	0.50636	3.1513	0	0	0	0	0	0	5.6157	2.6311	0	0	0	0.12656	0	0.047272	0	1.4682	0.58036	0	0	0.55929	4.7245	0.1071	0	2.5718	0	0	0	0	0	0.48686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0116	3.4587	4.2359	1.2391	0	2.8744	1.8537	0	3.4337	3.3341	0.24244	3.3804	5.8057	0	4.6874	3.1774	0.27752	0	0	0	0	0	0	1.3886	0	0.047515	0	3.981	0.42094	0.26064	0	0	0	0	0	5.4365	0	1.7365	0.11188	0	0	0	4.2958	0	1.342	0.056582	3.0593	0	0	0	0	0.45382	0	0	0	0	0	0.1348	0	0	3.0882	0.10867	1.9336	0	0	0.83982	0	4.2549	0	0	0	0	0	6.7922	0	0.87698	0	0	0	0	4.898	0	1.5302	0	0	1.2677	0	0.064626	6.3815	0.57507	0.17317	3.2021	0	4.3897	0	0	0	0.95232	4.3131	0	0.66747	0	0	0	3.4977	0	0	0	3.5227	0	0	0	0	0	0	0	0	0	0	3.7528	0.24918	5.8413	0	0	0	0.29472	1.2335	0	0	0	0	0	2.3963	0	0	0	0.89882	0	0	4.5239	0	0	0	3.4526	1.6124	2.7767	0	0	0	0	0	5.195	3.872	0	0	0	4.1714	0	0	0	0	0	0	0.11332	0	0	0	0	0	0
GSM432861.CEL	0	0.43139	0	0	1.4261	1.1616	0.0073946	0	0	0	0.53348	0	0	1.5482	0	0.98188	0	0	0	0.61293	0	0	0.21491	0.69916	1.2571	0.98504	1.5916	0	1.3331	5.3212	0	2.213	0	0	0	0	0	0	0	0.29644	0	0.059226	6.3934	1.4848	4.4683	0	0	0.72379	0	3.9919	0	0.97372	4.9852	2.1929	0.016707	1.1714	3.3552	0	0	0.45733	3.1443	0	0	0	0	0.34541	0.22438	0	1.327	0	0	0	0	0	0.95043	0	3.383	2.1633	2.4009	1.502	3.6987	0	0	0	1.0403	1.0438	0	0	0	2.7846	0	4.4315	0	0	0	0	0.15524	0.21126	0	0	0	1.9395	1.0874	0.29268	7.0082	0	2.5711	0	0.19143	4.1929	0.039199	2.1242	3.1803	0.52518	0	0	0.47347	0	0	0	0	0	0	0	5.1316	2.0566	0.70407	0	2.7349	0	0	0	0	0.5687	0	4.263	0.17385	0	0.082708	0	0	2.6179	0	0	0	0	1.1853	1.4339	0	0	0	0.83695	0.38443	2.7477	0	0	0.9065	4.6471	5.4198	0	0	0	0	0.68985	0	0	0.29586	0	0.34774	0	0.018044	0	5.3547	0	2.8674	0	0.2056	0	1.3063	3.346	2.1808	0.0050149	0	0	0	0	0	0	0	5.4664	1.4813	0.5887	0	0	0	0	0	2.6965	0.84566	0	1.9898	0.85544	0.67576	3.8736	0	0	0.44643	0	2.3563	1.3005	0	2.3416	2.0247	1.6513	0	5.6341	0	1.6902	0.71545	0.88356	0	0	0	0	0	0.46952	0	1.6672	0	2.8981	0	0	4.1735	0	0	3.8491	1.1697	2.2071	4.1031	3.4043	3.8354	1.6052	3.8316	2.9234	0	3.1412	2.2328	0	1.0526	0	0	0.40787	0.14472	0	0	0.61284	1.2595	0	0.55769	0	2.1084	0	0	1.5755	0.77744	0	1.0152	4.5019	1.2008	1.6368	0.53765	3.9251	0	0.35016	1.4819	0.067581	0	1.0082	0.47452	0	1.1539	1.7528	0.16132	1.2797	0.053087	0	0	0.13142	0	0.42836	0.064415	0	0	1.6643	0.12876	0.015028	0.80183	2.0663	0	0
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	0.30042	0.33695	0	0	0	0	0	0.13561	2.2042	0	0	1.2284	0	0	0.15822	2.4938	1.2318	0.42057	0	1.0581	0	3.5961	2.4477	0	2.618	3.0951	1.0511	2.7464	0	1.1735	0	0.41413	0	0	0	0	0	4.1607	0	1.091	0	0	3.0883	0	0	1.5187	0.34311	1.4077	0	0.49604	0	0.54579	0.86968	1.5383	0.25929	1.1685	2.8696	0	2.9506	2.6768	0.42014	0.87377	2.1454	0	1.7288	0	0	0	0	0.17471	0	0.03662	0	0	0	0.39475	5.3179	2.3112	1.9744	2.497	1.6913	0	0.7679	0	0	0.57862	0	0	0	0	1.7559	0	0	0	0.83845	1.0826	0	0.39992	0.14962	0	0	0	0.77171	0	4.2413	0	3.8538	0.51123	0.68937	0.35229	0	0	4.5093	0	1.0109	1.383	0	1.7359	0	1.7705	0.344	1.2414	0	0	0	0	0	0.32183	0	3.5646	0.55629	0	0	2.1999	0	0	0	0	0	0	0	2.9097	0	0	3.5755	0	0.44184	0.91596	0	0.42158	3.3142	0.33481	2.4754	1.3085	0	0	0	5.8114	5.4069	2.2257	0	0.043335	0	0.71635	0	5.7508	0.29116	0	0.17113	0	0	1.3794	0.45979	0.54512	4.0168	0	0.22844	1.9493	1.9118	0	0.13436	3.293	1.1841	0	0.48274	2.1794	4.769	1.5328	0	3.8397	0.89945	0	0.15929	0	0	0.3853	2.0469	1.5732	0	0	1.5257	0	0.3575	3.0842	0	0	3.0164	0	2.8483	2.9999	0	0.036569	4.4607	2.1998	0	3.8869	0	1.228	0	0.52065	0	0.76417	0	0	0	0	0	4.1805	0	2.4376	0	0	1.4606	0	0	0	0.099119	5.4041	2.086	0	2.1952	0	0.15805	3.1048	0	0	5.795	0.19604	0	0	0	1.4847	0	0	0	0	0	0.4452	0	1.7532	0.75729	0	0	2.0044	5.3856	0.5303	0.41979	1.7847	3.0951	1.012	1.6213	0.61104	0	0.12084	1.693	0	0	0	0	0	1.4357	2.5059	0.94116	1.7847	0.28873	0	0	0	4.511	0	0	0	0	6.9817	3.8578	0.42772	2.8506	0.24413	1.19	0.71183
GSM1517347_MK-1.CEL	1.7496	0.66266	0	0	0.88257	0.10635	0	0.70947	0	3.8831	0.2137	4.046	1.6912	2.1415	1.4154	0.24226	0	0.0071144	0	0	0	1.7982	0.41113	0.2849	0	0.74883	0.99803	0	0	1.2056	1.3895	4.8725	0	0	0	0	0.057204	0	0.9927	3.1831	0.92653	5.053	1.9938	0.76259	0	0.87281	0	1.2793	0	0	0	0	0.23829	0.30167	0.60179	5.5689	0.93084	0	0	0	2.0831	0.15415	0	0	0	0	4.7619	0.33506	1.0101	5.1403	0	0	1.9341	0	0	0.81716	0	3.7804	0	3.124	0.071296	0	0.33281	0	0	0.6333	0	0	1.0288	0	0	0	0	0.00077736	0	0.80122	0	0.48307	1.2107	0	0	0	1.8178	3.0367	1.5769	3.6648	3.66	0	0	0.67164	1.3433	0	0	0	0.54034	3.0284	1.1735	2.0866	0	0.93976	0	0.56276	0	0	0	4.3572	4.2564	0	2.6084	0.96094	0.93101	0.46679	3.7577	0.09202	0.1508	0	0	0	0.90038	0	0	3.1424	1.158	0	0.48047	0	1.8397	0	0	0.21843	3.8965	0	0	1.4566	0.10412	0	5.182	3.9385	0.11794	2.5231	0	0.44582	0	0.60493	0.32045	0	0	0.0073586	0.13129	0.3914	0	2.2884	2.5415	0	0	0	5.5151	0.21517	0	0	3.9248	0.57643	0	0	0	0	0	0.5628	0	0	5.6995	3.9284	0	0	0	1.7489	1.6532	2.6318	0	0.8386	2.633	6.9765	4.7877	3.7906	0	0	0	0	0	0	0	0	0	0.44206	0	4.3823	0	0.33157	4.259	2.4896	5.7065	0	0.94002	0.25613	4.873	0	0	2.6919	0	0.41595	0.64312	0	0	0	0.79996	0	0	2.3655	1.6531	0	0.24658	3.4753	0	0	0.4208	0	0	0.52378	3.197	3.3843	0.54862	0.75602	0.51475	0.0013464	0	0.86262	0	0.065385	0	1.2193	0	0.63264	1.9181	0	0.96528	2.7719	0	0	2.6824	2.2249	0	0	0	5.1557	0.44501	0.19931	0.28536	0	0	0	0	2.7689	3.6804	2.479	0	0	0.67131	0	2.4821	0	0.90982	0	0	0.29315	0	1.5426	3.2365	0	0.26876	0
GSM462063.CEL	0.49692	6.7013	0	0.64812	0	0	0	0	3.9299	3.8375	0.44779	1.1634	0	1.4721	0	0	0	0	0	0	1.0552	0	0.68912	0.71295	0.58775	0	0	0.42436	0	4.6075	0.6095	1.6753	0	0	0	1.2234	2.3479	1.5931	0.7473	0	2.2049	1.8049	0	3.2438	0	0	0	0	0	0	0	0	0	0	0	1.9326	0	0	0	0	0.2402	3.6172	0	0.27591	0	0.037542	3.3669	0	4.9495	0	0	0	0	0	0	5.5862	0	2.3583	0	0.14171	0	0	4.9607	1.3483	0	6.4195	0	0	5.1496	0	2.3593	0.072718	0.87598	0	0	2.9564	0	0.083506	0	0	0	0	4.4742	0	0	0.81829	8.0624	4.4906	0	0	0	0	0	1.1069	0	1.3637	0	0	0	0	0	0.83161	2.7957	0	0	2.115	2.9459	0	1.1453	7.799	1.1277	0	4.2493	4.1293	0	0.2376	0.36407	0	0	0	4.8345	4.6139	6.4708	0	0	0	0.51737	0	0	0	6.3267	0	0	2.3673	0	0	0	2.2897	0	0	0	0	3.4217	0.63499	0	5.0025	4.3722	0	1.6675	0	0.99529	2.2774	0	0.65235	0	0	5.8352	0	0	0	0	6.9743	1.3017	0	0	1.4423	1.9002	0.010322	0	0	0.30848	0.38141	0	0	0	3.2466	0	0.066623	0.62096	0	0	1.1615	0	6.899	0	0	0	0	0.94064	0.14	5.1145	0	0.65511	0.12058	0	0	0	1.3191	2.3133	0	0	0.085209	0	0	6.4363	0	1.0251	0	0	0	4.747	0	0	0	3.392	0	0	2.9151	0	0.69439	0.39522	0.75628	0	0	0	0	0.40724	2.7085	3.781	0	0	0	0.81625	0	0	0.29747	5.8634	1.3577	0	0	0	0	1.1056	0.10284	0	4.2298	1.9113	0	2.1237	0.0044312	0.16507	1.9898	0	0	0	0	0.19026	0	0	0	0	5.9541	3.1251	0.028653	0	0	0	0	0	0	0	3.0548	0	0.15169	4.4336	0	0	0	3.323	0.22687
GSM591623.CEL	1.1069	3.5309	0	0.30272	0	0	1.199	0	0	0	0	1.6111	0	0	2.1254	0	0	0.15041	4.3334	0.039618	0	1.1442	0	0.13587	1.3496	0	0	0	0	2.8312	0.69019	0.91942	0	0	0	0	0.54789	0	0	0.6361	0	0	0	0	0	0	0	0.10508	0.31814	0	2.6151	0	0	0.97273	0	0.84272	0.20014	0	0	0.4296	0	0	0	3.0733	0	0	0	0	1.6067	0.12624	0.69106	0	0	0	0	4.1583	1.1343	4.3501	0	1.7757	0	0	3.1787	1.228	0	3.3539	0	0	7.13	0	1.7065	0	0.12175	2.031	0	1.9365	0	0	3.4194	1.2715	0	0	2.9172	0	0.4485	1.2015	5.938	2.9061	0.088146	0.035269	0	0	0	2.1506	0	1.231	0	1.4284	0	0	0	0	3.2839	0	0	2.1515	1.9364	0	0	0.60371	0	0.45218	0	3.4696	0	0.63836	0	0.56002	0	2.4909	3.3425	3.0732	3.685	0	0	0	0.085339	0	0	0	2.2358	0	0	3.541	0	0	0	2.2657	0	0	0	0	0	0.70704	2.0003	6.4191	2.0739	0	0.045085	0	2.3602	0	0.070828	0.1846	1.661	0	4.2272	0	1.5084	2.3354	0	3.4711	0.50563	1.0338	0	3.6345	0	0.15943	0	0	1.3075	0	0	0	0	2.5644	2.7896	2.7913	0	0	0	0	0	3.4121	0	0	1.3279	1.3585	4.8182	0.16144	4.2942	0	0.84181	0.81788	0	0	0	0.046289	0	2.2179	0	0.086803	0	0	2.0379	0	0.35722	0	0.56439	0	3.3118	0	0	1.0483	0	0	0	3.4932	0	0	0.30692	2.8565	0	0	0	0	1.1275	0	2.6642	2.2316	1.4632	0	0	0	0	0.31297	3.4983	0.58037	0	0	0.95793	0	3.768	2.1225	1.5052	4.6891	0.071859	0	3.7582	0.16035	0	3.8857	0.46263	1.0694	0.34978	2.0311	0	0	3.2239	0	0	3.8701	2.8825	4.6187	0.1534	0.22475	0	0	0	0	0	3.2928	0	5.1782	7.1812	0	0	0	0.98469	0
GSM199986.CEL	0.75109	0.16316	0	0.65712	0	0	0	0	0	0.43044	0	0.6216	0	0.13095	0.37403	0.40921	3.2767	0	3.674	0.044431	0	3.0487	0	0	0.099044	0.63793	2.538	0	0	0	0	0.20105	0	0	0	0	0	0	0	1.4878	0	0	0	0	0	6.4592	0	1.1218	3.4134	0	0	0	0.30235	0.24928	0	6.2802	0.60338	0	0	0	1.8251	0.49952	0	1.8116	0	0	0	0	0	1.3619	0.083482	0	0	0	0	0	0	3.4011	0	0.48743	0.27356	0	1.6548	2.6133	0	0	1.0677	0	4.9881	0	1.0455	0	0	1.2448	0	2.5105	0	0.76669	7.4266	0	0.23527	0	0.35167	0	0	7.2441	6.6984	1.7365	0.59573	0	0	0	0	6.875	0	0.68256	0	0.35228	0	0	0	0	0	0	0	0	0	0	0	0	0.97915	0	1.688	0	2.829	0	0	1.2029	0	2.4966	0.55321	2.6998	1.5662	0.044447	0	0	4.5214	0	0	5.4755	0.89553	0	0	0.76987	0	0	1.1876	4.2814	1.458	0	0	0.2	0	3.9105	0	2.0721	0	0	0.2278	0	0	0	0.49696	0	0	0	7.301	4.1686	1.4621	0	0.080889	1.6635	0.22061	0	0.27879	0	0	5.0023	0.04632	0	1.1912	0.97647	1.2083	0	0	3.6916	2.816	5.9246	0	0	0.0023957	0	5.4345	1.3992	0	0.98725	0	0	3.5348	0	0.13925	0	0	1.8841	0	0	0	0	0	5.7497	0	0.20162	0.30167	0.39472	2.8657	0	2.2643	0	0	0	0.129	0.4914	0	1.9282	0	0	1.5137	3.7505	0	0	0	1.6844	0	0.10502	0.064554	0	0	0	2.6951	0	0.97597	0	0	6.5552	4.9566	0	0	2.2535	0	0	0	0.064911	5.6394	0.076465	2.1998	4.9326	1.421	0.45616	1.2303	0	0	0	0	1.1288	0.39984	4.4964	0.076388	1.8231	4.9827	0	0	2.717	7.7585	1.394	0	1.0605	0	1.1778	0	0	0	0	0	0	1.1337	0	0	0	0.21198	0
GSM1958030_Cadaverine_1.CEL	1.0535	0	0	2.6697	0	3.6161	0	3.3084	1.8167	0	0	0.9515	0	0	3.1831	0.55805	0	1.9831	0	0	0	5.5448	0.28325	0	1.9946	4.2513	2.1039	4.5808	0	5.8581	0	0	0	0	0	0	0	1.129	0	6.6952	0	0	2.2359	0	0	0.98057	1.9456	0	0	0	1.6872	0	3.6383	0	0	1.2543	2.6119	0	0	0.72769	0	0.77284	0	0	0	0	0	1.2477	0	0	1.0756	0.76182	0	0	0	1.5656	0	3.0965	2.3577	0	0.17708	0	0	0	0	0.96635	0	2.0859	2.2956	0	0	0.13979	0.073006	0.76798	0	0	0	2.8603	0.19721	0	0	0	2.6391	0	1.834	1.9573	1.8319	0	2.5145	1.4209	0	0	0	1.0739	0.94174	0.091142	0	0.22919	0	0	0	0.41409	1.3944	0	0	0	0.0094967	0.1353	0	0	0.6693	0.099875	0	2.1753	0	0	0	0	1.9384	0	1.8112	5.9977	0.85163	0	1.0805	0	0	0	0	1.6553	0	0	2.02	2.3055	0	0	0	1.9948	0.66855	0	0	0	0	0	2.2291	1.1027	0	2.2346	0	0	0.1528	0	2.8578	0.12372	1.1158	0	3.2823	0	6.6787	4.363	0	2.1487	2.6521	0	1.5117	0	0	0	0.22485	0.49292	5.0107	0.17509	0	0	0	0.74831	0	4.9496	0	0	2.057	2.703	0.59638	2.2356	0	0.39934	0	3.3695	0.071379	0	0.74283	0	0	0	0	3.4948	0	2.3081	0	1.349	0.91548	1.5205	2.8119	0.35482	0.37295	0.62666	2.1016	0	0.908	0	4.9372	0	0	0.49159	0	0	1.6418	0.38729	2.6713	0.9637	0	2.2231	0	1.2594	0	0	5.4316	2.187	2.8034	0	1.2251	1.1914	0	0	0.74029	0	0.72134	1.273	0	0	0	0	0	0	1.3606	0.13502	0	1.2982	0	2.9259	0.50635	1.0517	0	6.2674	2.7629	0	0.91061	0	0.68541	0	0	0.60176	0.44181	2.344	0	0	0	0	1.18	0	0	0	0	3.0015	0	0	0	0.17627	2.5273	2.8494
GSM1419138_PAO.CEL	0.33218	0	0	0.31698	0	3.0431	0	0	2.1626	3.9472	0	0	0	0.476	0.77122	3.1473	3.7698	0	3.7504	0	0	2.2761	0	0	0.3781	0.3716	1.6028	1.4392	0	3.4739	0	0	0	0	0	0	0	0	0.50523	0	0	0	0.0010691	0	0	0	0	0	2.2439	3.6112	3.2521	1.1061	0	0	0.16336	1.7985	0	0.23232	0	0	0	0.73632	0	0	0	0.95839	0	0	0	3.3733	0.64902	0	0	0	0	2.8643	3.3689	5.8281	2.559	5.4443	0	0	0.32887	4.7839	0	0	1.813	0	4.9852	0	0.40978	0.40865	0	0.11813	0	0	0	0.95261	1.2934	0.098178	0	0	4.8856	0	0	2.9362	6.8355	5.3844	0	0	0	0	3.8096	1.0931	0	3.4037	0	0	0	4.0262	0	0	3.1342	0	0	1.0635	0	0	0	4.4207	2.2028	0	3.2066	2.2603	0	0.0097566	0	0	0	0.34609	1.9257	2.804	0.54955	0	0	0	0.79672	0	0	6.0807	4.6519	0	0	4.8237	0.22806	0	0	3.8637	0	0	0	0	0	1.2803	0	0	0.75304	2.2969	0	0.5745	0	4.6145	0	0	0.70697	0	4.5673	0	3.5387	0	0	1.3872	3.6006	0	0	0	0	0.62341	0.16394	0	0.60427	2.0725	3.4788	0	0	0	0.52363	2.2398	0	0	0.62801	1.3397	0.42416	3.9503	0	0.60787	2.6792	0	0	0	0	0	0	2.4719	0	0.26274	0	0	0	1.1002	0	0	0	0	0.26595	0	2.3047	2.9706	0	1.3381	0.073487	0.81499	0	2.7216	0	0	0.17768	2.5909	0	0.21139	0.34841	3.9346	0	0.5072	0	0	2.9455	0	5.1804	0	0	1.1656	0	3.8059	1.2632	0	0	1.0703	0	0	2.0099	2.1421	1.0814	0	4.0757	1.1495	0	0	5.7056	0	0	0	0	0.26763	2.9914	0.17016	1.2557	0.5527	4.2713	0	0	2.6046	2.6761	0	0.12471	4.6425	1.0989	0	0	0.14872	0.42404	2.2869	0	0.7916	1.6875	0	2.0742	0.3135	5.4893	0
