	PA3423
GSM208617.CEL	0.00094003
GSM629176.CEL	0.0009515
GSM774130_CF333-2007a.CEL	0.0016297
GSM821091_HZI0146_Pae_G1a.CEL	0.0031792
GSM637597.CEL	0.0033215
GSM567543.CEL	0.0040093
GSM1143379_B2_Pae_G1a_.CEL	0.0047147
GSM1206652_WT-PRC-2.CEL	0.0050906
GSM774101_CF105-1973b.CEL	0.0059527
GSM541644.CEL	0.0061113
GSM175248.CEL	0.0090688
GSM717424.CEL	0.0096076
GSM366976.CEL	0.010195
GSM1958028_D-Lysine_1.CEL	0.012098
GSM92184.CEL	0.013224
GSM546252.CEL	0.013285
GSM738264.CEL	0.013306
TUBS0096.CEL	0.013547
control1aerobic_Pae_G1a.CEL	0.014939
GSM794228_A29.CEL	0.016946
GSM743002_PAO1-PC4-b.CEL	0.017074
JS-G84.18.07.CEL	0.020357
glu_plus_nt_2_8-25-09_s2.CEL	0.022635
H_3.CEL	0.02397
GSM261932.CEL	0.024029
GSM774088_CF43-1973a.CEL	0.024509
GSM1237736_M9_H103_4_51059600653061050411410396750502.CEL	0.025403
GSM1143376_A2_Pae_G1a_.CEL	0.027115
GSM865130_schurr_5511_1_Pae_G1a_.CEL	0.027905
GSM1419150_PAO_CAZ.CEL	0.028254
GSM349047.CEL	0.028805
control3aerobic_Pae_G1a.CEL	0.030651
GSM208609.CEL	0.03068
GSM871964.CEL	0.033743
GSM1420996_anr_NO1.CEL	0.033821
GSM462063.CEL	0.035044
GSM462061.CEL	0.035339
GSM774159_B38-6M_3.CEL	0.037724
GSM92185.CEL	0.038284
GSM617296.CEL	0.039412
GSM774140_B12-0_2.CEL	0.039875
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	0.040118
H_1.CEL	0.040455
MSC_06.CEL	0.040465
MSC_10.CEL	0.040909
GSM1244971_PAO1-37-replicate-02.CEL	0.041866
control1_anaerobic_Pae_G1a.CEL	0.041889
GSM1420993_PAO1_NO2.CEL	0.042762
GSM1662234_WFPA510_3.CEL	0.043014
GSM1958027_L-lysine_2.CEL	0.043556
GSM546269.CEL	0.043704
GSM551151.CEL	0.044193
GSM560759.CEL	0.046242
GSM897999_MHH0110_Pae_G1a.CEL	0.049508
120330-10978D_23_(Pae_G1a).CEL	0.051565
GSM743001_PAO1-PC4-a.CEL	0.051577
GSM794229_A30.CEL	0.052733
