	1	2	medium
0.1_12hr_CSV86(Pae_G1a).CEL	11.110062795872768	-5.150210919558709	Mineral salt medium (MSM) 
0.1_2hr_CSV86(Pae_G1a).CEL	11.268806555397298	-5.56199354344931	Mineral salt medium (MSM) 
0.1_6hr_CSV86(Pae_G1a).CEL	11.29870791245028	-5.218659372168767	Mineral salt medium (MSM) 
0.1_7hr_CSV86(Pae_G1a).CEL	11.681634344473736	-5.657010153528373	Mineral salt medium (MSM) 
0.1_9hr_CSV86(Pae_G1a).CEL	11.33139895064845	-5.350423418638467	Mineral salt medium (MSM) 
05_PA14000-4-2_5-10-07_S2.CEL	-7.7355079806581735	-5.421701520176546	SCFM + lactate + glucose
120330-10978D_22_(Pae_G1a).CEL	1.0688924719612907	4.49338672731266	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_23_(Pae_G1a).CEL	0.91677615364432	4.299317168557004	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_24_(Pae_G1a).CEL	1.1412636715122964	3.386041153483217	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M1_(Pae_G1a).CEL	0.14112755902771087	3.5671377240852276	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M3_(Pae_G1a).CEL	-0.33153114349336793	3.6215225215200646	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M4_(Pae_G1a).CEL	0.43921429392418243	2.3114549627427414	M8-glutamate minimal medium + 0.2% glucose
1_12hr_CSV86(Pae_G1a).CEL	11.495483482751487	-4.88134870174737	Mineral salt medium (MSM) 
1_2hr_CSV86(Pae_G1a).CEL	11.223799799206855	-5.4693430086379	Mineral salt medium (MSM) 
1_6hr_CSV86(Pae_G1a).CEL	11.169513908041035	-5.453550056354005	Mineral salt medium (MSM) 
1_7hr_CSV86(Pae_G1a).CEL	11.508503031251047	-5.524290391463519	Mineral salt medium (MSM) 
1_9hr_CSV86(Pae_G1a).CEL	11.09437714213923	-4.968203231079328	Mineral salt medium (MSM) 
20mM_CF600.CEL	11.727907066156323	-5.75810365230084	M9 + 2 mM glucose + 20 mM ammonium chloride
20mM_KT2440.CEL	12.064318912689727	-5.483497296218444	M9 + 2 mM glucose
2mM_CF600.CEL	11.651235628994002	-5.312677614632654	M9 + 2 mM glucose + 2 mM ammonium chloride
2mM_KT2440.CEL	12.014015730756835	-5.425315740357542	M9 + 2 mM glucose
54375-4-05.CEL	-6.098233656577691	-1.426642034151234	TS
AKGlu_plus_nt_7-8-09_s1.CEL	-6.697039942700601	-2.38692610707576	MOPS + glucose
DB1.CEL	4.1741532281012494	-1.2482308586234867	Minimal medium J + 1.8 mM glutamate
DB3.CEL	4.695734584057713	-0.038406676588828716	Minimal medium J + 1.8 mM glutamate
DC1.CEL	-1.071905825592585	-0.3229105698454609	Minimal medium J + 1.8 mM glutamate
DC2.CEL	-0.10017128546715097	-0.6836776566041726	Minimal medium J + 1.8 mM glutamate
DC3.CEL	2.1852154164567503	-1.7992592904302427	Minimal medium J + 1.8 mM glutamate
FT1_anaerobic_Pae_G1a.CEL	0.07356047801714019	-1.7456365354132994	MH + 100 mM nitrate
FT1aerobic_Pae_G1a.CEL	2.7068179501903367	0.7189541253700281	MH + 100 mM nitrate
FT2_aerobic_wdh_Pae_G1a.CEL	4.626573592464612	1.0997282782937996	MH + 100 mM nitrate
FT2_anaerobic_Pae_G1a.CEL	-0.03181982767684647	-1.9478476712926425	MH + 100 mM nitrate
FT3_anaerobic_Pae_G1a.CEL	-0.5762844677347371	-1.8356372167424455	MH + 100 mM nitrate
FT3aerobic_Pae_G1a.CEL	4.284599298437289	0.8979569433872515	MH + 100 mM nitrate
Fos3_aerobic_wdh_Pae_G1a.CEL	6.427332763449209	-0.8282581617929813	MH + 100 mM nitrate
GPphhRminus_11-30-09_12-3-09_s1.CEL	-8.173936513359939	-5.473908783746086	SCFM + lactate + glucose
GPphhRminus_11-4-09_s2.CEL	-7.757971456215405	-5.049483013679204	SCFM + lactate + glucose
GSM1027584_062508WT.CEL	-1.392834289722729	3.7726242961835785	MOPS + pyruvate + lung surfactant
GSM1027585_071008WT.CEL	-3.112102735422	3.416738317228956	MOPS + pyruvate + lung surfactant
GSM1027586_062508plcHR.CEL	-0.25219310119273514	5.660030978213409	MOPS + pyruvate + lung surfactant
GSM1027587_071008plcHR.CEL	-0.14887575480187085	7.782493654053479	MOPS + pyruvate + lung surfactant
GSM1027588_062508gbdR.CEL	-0.9938852658395183	5.264530986114914	MOPS + pyruvate + lung surfactant
GSM1027589_071008gbdR.CEL	-1.6184057694147922	6.1436775935978565	MOPS + pyruvate + lung surfactant
GSM1067456_PAO1_CK_1.CEL	-3.1084985614594385	5.013846564712815	LB + 7.5 mM nitriloacetic acid
GSM1067457_PAO1_PAA_1.CEL	-3.3391799881540893	4.269737434040309	LB + 7.5 mM nitriloacetic acid
GSM1067458_PAO1_CK_2.CEL	-1.7137405455745511	5.527991275348332	LB + 7.5 mM nitriloacetic acid
GSM1067459_PAO1_PAA_2.CEL	-2.0734869826482507	5.0520681948468	LB + 7.5 mM nitriloacetic acid
GSM1112046_PGAS_25_1A.CEL	9.655010204201643	1.2753635856049086	PPGAS 
GSM1112047_PGAS_25_2A.CEL	10.560552369385737	-3.082667642268182	PPGAS 
GSM1112048_PGAS_25_4A.CEL	9.635320987174849	0.29942666230286397	PPGAS 
GSM1112049_PGAS_37_1B.CEL	8.797448127037935	1.1616461569720535	PPGAS 
GSM1112050_PGAS_37_2B.CEL	8.214616579530173	2.4502255566923825	PPGAS 
GSM1112051_PGAS_37_3A.CEL	7.284175829189834	3.7448024400622892	PPGAS 
GSM1133186_Weiqing_He_L-Glu-1_021810.CEL	-6.894496310584793	-0.006534354923238429	Pyruvate minimal media + 10 mM L-glutamate
GSM1133187_Weiqing_He_L-Arg-1_021810.CEL	-5.991026780236371	0.07071886272261135	Pyruvate minimal media + 10 mM L-arginine
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	-6.235647248145987	1.123972588658775	Pyruvate minimal media + 10 mM D-glucose
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	-7.657361318243311	-2.234136691818109	Pyruvate minimal media + 10 mM L-glutamate
GSM1133190_Weiqing_He_L-Arg-2_022410.CEL	-8.016956872281016	-2.6703034749929273	Pyruvate minimal media + 10 mM L-arginine
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	-5.229640373443985	2.243422019059834	Pyruvate minimal media + 10 mM D-glucose
GSM1141729_PA01_none_PC_.CEL	2.4708170351400454	4.740078527364984	LB
GSM1141730_PA01_ZnO_PZO_.CEL	3.005495504108639	3.7067382814997307	LB
GSM1143375_A1_Pae_G1a_.CEL	-4.4098961976524	3.116377165475661	LB
GSM1143376_A2_Pae_G1a_.CEL	-3.8093800141118357	3.547409514474506	LB
GSM1143377_A3_Pae_G1a_.CEL	-4.043079531738023	4.07697023581888	LB
GSM1143378_B1_Pae_G1a_.CEL	-2.6948822321977164	4.118208499032577	LB
GSM1143379_B2_Pae_G1a_.CEL	-3.0492199511309117	5.086683642791606	LB
GSM1143380_B3_Pae_G1a_.CEL	-2.8267627923955945	4.045770255296801	LB
GSM1143381_WT1_Pae_G1a_.CEL	-7.573521548446476	0.06516263639824371	LB
GSM1143382_WT2_Pae_G1a_.CEL	-6.216143836763115	0.6338107055590024	LB
GSM1143383_WT3_Pae_G1a_.CEL	-6.04937347180435	0.39010447861479713	LB
GSM1146022_pJN105_1.CEL	-5.749434929022253	-5.44924782985704	MOPS + 0.5% CAA + 0.5% glucose
GSM1146023_pJN105_2.CEL	-1.3946050126107137	-5.9421629084061145	MOPS + 0.5% CAA + 0.5% glucose
GSM1146024_phaF_1.CEL	-2.55073095147023	-5.772118935377308	MOPS + 0.5% CAA + 0.5% glucose
GSM1146025_phaF_2.CEL	-5.522848701140426	-5.377046874218759	MOPS + 0.5% CAA + 0.5% glucose
GSM1177842_PAO1-1.CEL	-0.7568472106156671	8.664274414124119	PIA
GSM1177843_PAO1-2.CEL	-0.7734858679291163	8.261224396418235	PIA
GSM1177844_PAO1-3.CEL	-0.7699899710616878	7.810714582989048	PIA
GSM1177845_PAO1-AMV-1.CEL	-1.003005610038632	6.791459939810706	PIA
GSM1177846_PAO1-AMV-2.CEL	-1.908215260370041	7.024286922924803	PIA
GSM1177847_PAO1-AMV-3.CEL	-1.494826473632887	6.515237359169021	PIA
GSM1181847_gc_WT1_1.CEL	-1.7051013014044647	4.156234860649685	MMC + glycine
GSM1181848_gc_WT2_3.CEL	-2.4405652804389026	5.1062526150270795	MMC + glycine
GSM1181849_gc_Delta1_2.CEL	-1.5067474404052184	4.844637976494058	MMC + glycine
GSM1181850_gc_Delta2_4.CEL	-2.579570389410589	3.9567376073196785	MMC + glycine
GSM1191066_sphR-pyr-1.CEL	1.4378913146319796	1.5710947534698716	MOPS + 20 mM pyruvate 
GSM1191067_sphR-pyr-2.CEL	1.503015585813572	1.4623064146335893	MOPS + 20 mM pyruvate 
GSM1191068_sphR-surf-1.CEL	1.0059744272815567	1.6855553378700698	MOPS + 20 mM pyruvate 
GSM1191069_sphR-surf-2.CEL	-0.03857714521814465	0.5003052794995101	MOPS + 20 mM pyruvate 
GSM1191070_WT-pyr-1.CEL	0.4623077724554512	0.5484292662539448	MOPS + 20 mM pyruvate 
GSM1191071_WT-pyr-2.CEL	1.5208231161247256	1.4060244889420208	MOPS + 20 mM pyruvate 
GSM1191072_WT-surf-1.CEL	1.322272347473433	2.226507617251881	MOPS + 20 mM pyruvate 
GSM1191073_WT-surf-2.CEL	-0.15118303230976865	-0.32660598732706614	MOPS + 20 mM pyruvate 
GSM1206643_WT-PYR-1.CEL	2.5682983780788913	-0.35910619508760705	MOPS + 20 mM pyruvate
GSM1206644_WT-PYR-2.CEL	2.839494430901897	-0.3346337185749365	MOPS + 20 mM pyruvate
GSM1206645_WT-CHO-1.CEL	3.2282544305175276	-0.08026385090949682	MOPS + 20 mM pyruvate 
GSM1206646_WT-CHO-2.CEL	4.179625899437149	-0.6897579752717484	MOPS + 20 mM pyruvate 
GSM1206647_WT-DTC-1.CEL	3.5146256581149125	-0.9898700309270534	MOPS + 20 mM pyruvate 
GSM1206648_WT-DTC-2.CEL	4.086075999331261	-1.3198111404451895	MOPS + 20 mM pyruvate 
GSM1206649_WT-ETC-1.CEL	3.716685906749177	-0.32739271161338174	MOPS + 20 mM pyruvate 
GSM1206650_WT-ETC-2.CEL	4.246511484234177	-0.45952240391051524	MOPS + 20 mM pyruvate 
GSM1206651_WT-PRC-1.CEL	4.151828784982582	-0.3646248187762954	MOPS + 20 mM pyruvate 
GSM1206652_WT-PRC-2.CEL	3.7199873593067325	-0.07268279670141196	MOPS + 20 mM pyruvate 
GSM1206653_dgcA-CHO-1.CEL	5.225271554159432	-0.2600480981625876	MOPS + 20 mM pyruvate 
GSM1206654_dgcA-CHO-2.CEL	4.752557064841962	0.03713060433713905	MOPS + 20 mM pyruvate 
