	1	2	medium
0.1_12hr_CSV86(Pae_G1a).CEL	-0.05363295050650313	-0.044623053675436494	Mineral salt medium (MSM) 
0.1_2hr_CSV86(Pae_G1a).CEL	-0.05406198143693995	-0.047644935981863014	Mineral salt medium (MSM) 
0.1_6hr_CSV86(Pae_G1a).CEL	-0.05456256950092855	-0.04524678463583782	Mineral salt medium (MSM) 
0.1_7hr_CSV86(Pae_G1a).CEL	-0.056150972668031165	-0.048623731423198396	Mineral salt medium (MSM) 
0.1_9hr_CSV86(Pae_G1a).CEL	-0.05460408459036936	-0.046200191877102524	Mineral salt medium (MSM) 
05_PA14000-4-2_5-10-07_S2.CEL	0.04632609754643677	-0.03243477406736472	SCFM + lactate + glucose
120330-10978D_22_(Pae_G1a).CEL	-0.010135559382008663	0.030878789627328145	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_23_(Pae_G1a).CEL	-0.009137351042985473	0.029624415552147502	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_24_(Pae_G1a).CEL	-0.009413995447417056	0.023017778507387076	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M1_(Pae_G1a).CEL	-0.004304142677488919	0.02504293213329853	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M3_(Pae_G1a).CEL	-0.0018581377749796748	0.02578004273536573	M8-glutamate minimal medium + 0.2% glucose
120330-10978D_M4_(Pae_G1a).CEL	-0.004628615720722488	0.015967231799457398	M8-glutamate minimal medium + 0.2% glucose
1_12hr_CSV86(Pae_G1a).CEL	-0.05593987234746764	-0.043015972740584545	Mineral salt medium (MSM) 
1_2hr_CSV86(Pae_G1a).CEL	-0.05391631028509777	-0.046958065166956976	Mineral salt medium (MSM) 
1_6hr_CSV86(Pae_G1a).CEL	-0.0536449025445831	-0.04680610093480366	Mineral salt medium (MSM) 
1_7hr_CSV86(Pae_G1a).CEL	-0.055367517371040925	-0.047558493595258385	Mineral salt medium (MSM) 
1_9hr_CSV86(Pae_G1a).CEL	-0.0537314990434699	-0.04332815121885535	Mineral salt medium (MSM) 
20mM_CF600.CEL	-0.05629491998647498	-0.04937107335345744	M9 + 2 mM glucose + 20 mM ammonium chloride
20mM_KT2440.CEL	-0.058348326390558425	-0.04768682155071892	M9 + 2 mM glucose
2mM_CF600.CEL	-0.0563335843491503	-0.04617341858965845	M9 + 2 mM glucose + 2 mM ammonium chloride
2mM_KT2440.CEL	-0.05814026157344489	-0.04723899554741048	M9 + 2 mM glucose
54375-4-05.CEL	0.03368093972425389	-0.00549455022473613	TS
AKGlu_plus_nt_7-8-09_s1.CEL	0.037806192859725106	-0.011816518219870226	MOPS + glucose
DB1.CEL	-0.020835311970253255	-0.011923660122139341	Minimal medium J + 1.8 mM glutamate
DB3.CEL	-0.02480093875830906	-0.003784630525944877	Minimal medium J + 1.8 mM glutamate
DC1.CEL	0.0059921580387958555	-0.0014744234216904912	Minimal medium J + 1.8 mM glutamate
DC2.CEL	0.0012117329518143852	-0.004745010361231089	Minimal medium J + 1.8 mM glutamate
