	0	1
GSM774161_PAO1b.CEL	-6.0389	-2.5282
Overhage3002_(Pae_G1a).CEL	-5.3561	0.14453
GSM432861.CEL	-5.9015	-2.9402
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	-6.1634	-2.5672
GSM1517347_MK-1.CEL	-5.0866	-0.92526
GSM462063.CEL	-5.5281	0.97849
GSM591623.CEL	-5.7081	0.6959
GSM199986.CEL	-5.444	0.24758
GSM1958030_Cadaverine_1.CEL	-4.8159	3.0301
GSM1419138_PAO.CEL	-5.3853	0.99526
GSM717419.CEL	-5.4671	-1.4496
GSM1608062_Planktonic_4.CEL	-6.1905	-2.3419
GSM1421009_fhpR_NO2.CEL	-5.9718	-2.9288
GSM774095_CF66-1992b.CEL	-6.3943	-1.353
GSM92178.CEL	-5.4616	-1.0517
GSM155240.CEL	-5.8963	-3.0486
GSM1267086_HZI1981_G1a.CEL	-5.7427	-0.1277
GSM596819.CEL	-6.0508	0.080246
GSM663168_BM-Mix-Pa_1_6-6-08_s1.CEL	-5.2826	-0.54692
GSM546271.CEL	-5.9075	-2.0014
GSM208619.CEL	-5.7064	-0.40672
GSM429475.CEL	-5.0626	2.456
GSM637590.CEL	-4.8209	3.7872
GSM424832.CEL	-5.0987	2.8825
GSM1662229_WFPA513_1.CEL	-5.4789	-0.0010187
GSM1608071_Biofilm+12hrtobra_rep2.CEL	-5.1527	2.3534
GSM424833.CEL	-5.0412	2.9313
GSM567674.CEL	-4.349	5.7702
GSM1177845_PAO1-AMV-1.CEL	-5.328	-0.41996
GSM1420992_PAO1_NO1.CEL	-6.1065	-2.785
GSM774100_CF105-1973a.CEL	-6.1948	-1.9804
GSM1191070_WT-pyr-1.CEL	-5.127	1.1802
GSM821093_HZI0149_Pae_G1a.CEL	-4.9207	2.4184
GSM187282.CEL	-5.7444	2.5361
GSM432870.CEL	-5.5613	-0.80433
ETJan12B_1381_2012PAO6_2dR-aero.CEL	-4.783	0.13921
GSM1191067_sphR-pyr-2.CEL	-4.8901	1.6568
GSM1662227_WFPA205_2.CEL	-5.8804	-0.23389
FT2_aerobic_wdh_Pae_G1a.CEL	-4.3299	3.2303
GSM1206654_dgcA-CHO-2.CEL	-4.2295	3.3051
GSM187267.CEL	-5.4985	-0.53398
GSM1517348_MK-2.CEL	-5.2456	-1.0247
GSM261921.CEL	-5.3626	1.8628
GSM2070483_OCio-03-MutS-3-start-Pae_G1a-c1.CEL	-6.2541	-1.2947
GSM573323.CEL	-5.7393	-0.68173
0.1_2hr_CSV86(Pae_G1a).CEL	-2.9933	7.322
GSM821091_HZI0146_Pae_G1a.CEL	-5.4517	0.10648
GSM208621.CEL	-6.2726	-2.6046
GSM1244969_PAO1-22-replicate-03.CEL	-5.1907	3.6421
GSM738265.CEL	-4.7781	1.0241
GSM711451.CEL	-5.6737	-0.42062
GSM774150_B38-1_3.CEL	-6.6591	-2.2423
GSM854800.CEL	-4.8131	3.8103
GSM637584.CEL	-4.8103	5.457
GSM546277.CEL	-6.152	-1.1213
GSM92176.CEL	-5.2648	0.22169
GSM774092_CF66-1973b.CEL	-6.5892	-1.5011
GSM261927.CEL	-5.6974	0.47165
GSM1937530_50-38_B.021511_Pae_G1a_.CEL	-6.4042	-1.7889
GSM267258.CEL	-5.5435	1.4336
