	PA4787
GSM156172.CEL	0
Fos3_aerobic_wdh_Pae_G1a.CEL	0.049414
144_2014wt_anaero.CEL	0.069887
GSM1206645_WT-CHO-1.CEL	0.074781
GSM1206647_WT-DTC-1.CEL	0.095145
GSM1206651_WT-PRC-1.CEL	0.10321
GSM252501.CEL	0.10421
GSM1206649_WT-ETC-1.CEL	0.10924
GSM1206646_WT-CHO-2.CEL	0.11018
GSM432865.CEL	0.11974
control3_anaerobic_Pae_G1a.CEL	0.12138
GSM1206652_WT-PRC-2.CEL	0.12168
GSM1191067_sphR-pyr-2.CEL	0.12563
FT2_anaerobic_Pae_G1a.CEL	0.1301
Tob1_anaerobic_Pae_G1a.CEL	0.13644
GSM1206650_WT-ETC-2.CEL	0.13676
control2aerobic_Pae_G1a.CEL	0.1514
GSM252505.CEL	0.1542
GSM1191066_sphR-pyr-1.CEL	0.15718
GSM1206653_dgcA-CHO-1.CEL	0.15727
GSM1618386_Wound2.CEL	0.1597
GSM1206654_dgcA-CHO-2.CEL	0.16031
ETJan12B_1381_2012PAO6_2dR-aero.CEL	0.16463
fos1aerobic_Pae_G1a.CEL	0.16603
fos2aerobic_Pae_G1a.CEL	0.16625
GSM1191071_WT-pyr-2.CEL	0.17246
0.1_12hr_CSV86(Pae_G1a).CEL	0.17276
GSM208611.CEL	0.17391
MSC_02.CEL	0.17519
GSM567680.CEL	0.17566
GSM208610.CEL	0.17688
ETJan12B_1378_2012-PAO3wt-aero.CEL	0.17762
FT1_anaerobic_Pae_G1a.CEL	0.17955
20mM_CF600.CEL	0.18026
control1aerobic_Pae_G1a.CEL	0.18241
Tob2_anaerobic_Pae_G1a.CEL	0.18295
147_2014dR_anaero.CEL	0.1854
ETJan12B_1377_2012-PAO2wt-aero.CEL	0.18576
ETJan12B_1380_2012PAO5dR-aero.CEL	0.18582
145_2014dR_anaero.CEL	0.18872
GSM1421008_fhpR_NO1.CEL	0.18935
GSM1206644_WT-PYR-2.CEL	0.19127
GSM537321.CEL	0.19152
GSM1662232_WFPA510_1.CEL	0.19233
GSM1421009_fhpR_NO2.CEL	0.19324
MSC_08.CEL	0.19735
GSM243224.CEL	0.19896
GSM1206648_WT-DTC-2.CEL	0.20206
GSM717424.CEL	0.20277
FT3_anaerobic_Pae_G1a.CEL	0.20297
GSM567681.CEL	0.20476
GSM596626.CEL	0.20539
GSM1420993_PAO1_NO2.CEL	0.20547
Glu_6Hour_(Pae_G1a).CEL	0.20568
GSM252496.CEL	0.20733
GSM432864.CEL	0.20753
GSM208614.CEL	0.20832
fos3_anaerobic_Pae_G1a.CEL	0.20833
GSM1191069_sphR-surf-2.CEL	0.20843
GSM842842_Wright_4_WT-stat-1_Pae_G1a.CEL	0.21
control3aerobic_Pae_G1a.CEL	0.21026
control2_anaerobic_Pae_G1a.CEL	0.211
