	PA3423
GSM199985.CEL	0.000817
GSM2055818_7629_B-_20130705.CEL	0.0038134
GSM900179_F2_Pae_G1a_.CEL	0.0047147
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	0.0050906
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	0.0078401
GSM821495.CEL	0.0079293
GSM822689_wtBSM_A.CEL	0.0083032
GSM560759.CEL	0.0089952
GSM2070494_OCio-14-MutS_A_d94_cipro_2-Pae_G1a-a1.CEL	0.010458
GSM1267104_HZI1970_Pae_G1a.CEL	0.012575
GSM838219_PAO1-5344-3_Pae_G1a.CEL	0.014939
GSM208615.CEL	0.015122
GSM1553190_Persisters_T2.CEL	0.016052
GSM1419147_BC_FOX.CEL	0.016916
GSM1027584_062508WT.CEL	0.017392
GSM774159_B38-6M_3.CEL	0.017472
GSM625978.CEL	0.017655
GSM267252.CEL	0.018247
142_2014wt_anaero.CEL	0.019641
GSM567543.CEL	0.020003
GSM307126.CEL	0.022111
GSM1244970_PAO1-37-replicate-01.CEL	0.022622
GSM864520.CEL	0.022635
GSM980539_MHH1372.CEL	0.025403
GSM898002_MHH0123_Pae_G1a.CEL	0.027115
control3_anaerobic_Pae_G1a.CEL	0.027186
Pae_Fe02_15.CEL	0.028254
GSM307122.CEL	0.029343
GSM567669.CEL	0.02981
GSM717420.CEL	0.030494
GSM842841_Wright_3_WT-log-3_Pae_G1a.CEL	0.030651
Tob2_aerobic_wdh_Pae_G1a.CEL	0.033821
GSM625973.CEL	0.033871
GSM637597.CEL	0.034894
GSM1306129_Nomura_PAO1_KG-2_Pae_G1a_.CEL	0.036651
GSM290749.CEL	0.036653
GSM717424.CEL	0.036699
GSM551151.CEL	0.038613
GSM252561.CEL	0.038625
GSM307125.CEL	0.0395
GSM774118_CF333-1991a.CEL	0.039716
GSM897998_MHH0107_Pae_G1a.CEL	0.040118
GSM774104_CF114-1973b.CEL	0.04094
GSM994500_HM4-replicate-02.CEL	0.041866
GSM838218_PAO1-5344-1_Pae_G1a.CEL	0.041889
SJ16_Treated_1.CEL	0.042762
GSM1267089_HZI1952_Pae_G1a.CEL	0.042891
GSM1143376_A2_Pae_G1a_.CEL	0.042972
GSM1958032_AMV_1.CEL	0.043286
GSM1141730_PA01_ZnO_PZO_.CEL	0.043319
GSM267256.CEL	0.043815
GSM537321.CEL	0.045324
GSM541648.CEL	0.045761
GSM1958033_AMV_2.CEL	0.045839
GSM541642.CEL	0.046697
GSM1419155_BC3_CAZ.CEL	0.046912
GSM2070481_OCio-01-MutS-1-start-Pae_G1a-a1.CEL	0.047377
GSM821092_HZI0148_Pae_G1a.CEL	0.047643
GSM1420993_PAO1_NO2.CEL	0.047695
GSM1244968_PAO1-22-replicate-02.CEL	0.049648
GSM822715_delta_crcZLB_B.CEL	0.051565
GSM838215_PAO1-PM-1_Pae_G1a.CEL	0.05328
GSM1206649_WT-ETC-1.CEL	0.053849
GSM1112051_PGAS_37_3A.CEL	0.054761
TUBS0092.CEL	0.055263
GSM1419144_PAO_FOX.CEL	0.056466
GSM821500.CEL	0.057135
GSM741211.CEL	0.057957
GSM954577_Nomura_PA01-2_Pae_G1a_.CEL	0.059583
GSM617300.CEL	0.059833
GSM821087_HZI0142_Pae_G1a.CEL	0.060028
JS-T24.9.07.CEL	0.060326
L_13.CEL	0.060389
GSM741212.CEL	0.060639
GSM307120.CEL	0.062246
GSM261931.CEL	0.062329
GSM92170.CEL	0.062562
GSM551149.CEL	0.062749
GSM1191068_sphR-surf-1.CEL	0.062756
GSM838210_OXYR-PM-3_Pae_G1a.CEL	0.063153
GSM610407.CEL	0.064759
GSM307112.CEL	0.065139
GSM774158_B38-6M_2.CEL	0.065705
Overhage10003_Pae_G1a.CEL	0.067387
GSM1177844_PAO1-3.CEL	0.067749
GSM625980.CEL	0.067803
GSM821505.CEL	0.068004
GSM187270.CEL	0.068066
GSM864519.CEL	0.068287
GSM2070491_OCio-05-MutS_A_d94_2-Pae_G1a-a1.CEL	0.068561
GSM637575.CEL	0.068889
GSM92174.CEL	0.068959
GSM208604.CEL	0.070846
GSM617291.CEL	0.072799
GSM92179.CEL	0.072904
GSM560758.CEL	0.073176
GSM244066.CEL	0.074056
fos2_anaerobic_Pae_G1a.CEL	0.074388
GSM244068.CEL	0.074776
GSM562112_Koh_PAK_H2O_1.CEL	0.076118
GSM349045.CEL	0.077698
GSM267250.CEL	0.078278
GSM774085_CF30-1979a.CEL	0.079593
GSM597220.CEL	0.079707
GSM1267107_HZI1973_Pae_G1a.CEL	0.081909
GSM1517350_MK-4.CEL	0.082004
GPphhRminus_11-4-09_s2.CEL	0.082246
Overhage3004_(Pae_G1a).CEL	0.083262
GSM208617.CEL	0.084046
GSM842846_Wright_8_4203-log-2_Pae_G1a.CEL	0.084182
GSM198188.CEL	0.084707
GSM334311.CEL	0.085053
GSM208606.CEL	0.087094
120330-10978D_M1_(Pae_G1a).CEL	0.087145
GSM251201.CEL	0.08792
GSM741205.CEL	0.088619
GSM738262.CEL	0.088626
