	PA3423
GSM199985.CEL	0.40049
GSM2055818_7629_B-_20130705.CEL	0.40229
GSM900179_F2_Pae_G1a_.CEL	0.40283
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	0.40305
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	0.4047
GSM821495.CEL	0.40476
GSM822689_wtBSM_A.CEL	0.40498
GSM560759.CEL	0.4054
GSM2070494_OCio-14-MutS_A_d94_cipro_2-Pae_G1a-a1.CEL	0.40627
GSM1267104_HZI1970_Pae_G1a.CEL	0.40754
GSM838219_PAO1-5344-3_Pae_G1a.CEL	0.40896
GSM208615.CEL	0.40907
GSM1553190_Persisters_T2.CEL	0.40963
GSM1419147_BC_FOX.CEL	0.41015
GSM1027584_062508WT.CEL	0.41044
GSM774159_B38-6M_3.CEL	0.41048
GSM625978.CEL	0.41059
GSM267252.CEL	0.41095
142_2014wt_anaero.CEL	0.41178
GSM567543.CEL	0.412
GSM307126.CEL	0.41327
GSM1244970_PAO1-37-replicate-01.CEL	0.41357
GSM864520.CEL	0.41358
GSM980539_MHH1372.CEL	0.41524
GSM898002_MHH0123_Pae_G1a.CEL	0.41627
control3_anaerobic_Pae_G1a.CEL	0.41631
Pae_Fe02_15.CEL	0.41695
GSM307122.CEL	0.41761
GSM567669.CEL	0.41789
GSM717420.CEL	0.4183
GSM842841_Wright_3_WT-log-3_Pae_G1a.CEL	0.41839
Tob2_aerobic_wdh_Pae_G1a.CEL	0.42029
GSM625973.CEL	0.42032
GSM637597.CEL	0.42094
GSM1306129_Nomura_PAO1_KG-2_Pae_G1a_.CEL	0.42199
GSM290749.CEL	0.42199
GSM717424.CEL	0.42202
GSM551151.CEL	0.42317
GSM252561.CEL	0.42318
GSM307125.CEL	0.4237
GSM774118_CF333-1991a.CEL	0.42383
GSM897998_MHH0107_Pae_G1a.CEL	0.42407
GSM774104_CF114-1973b.CEL	0.42456
GSM994500_HM4-replicate-02.CEL	0.42512
GSM838218_PAO1-5344-1_Pae_G1a.CEL	0.42513
SJ16_Treated_1.CEL	0.42566
GSM1267089_HZI1952_Pae_G1a.CEL	0.42573
GSM1143376_A2_Pae_G1a_.CEL	0.42578
GSM1958032_AMV_1.CEL	0.42597
GSM1141730_PA01_ZnO_PZO_.CEL	0.42599
GSM267256.CEL	0.42629
GSM537321.CEL	0.42719
GSM541648.CEL	0.42746
GSM1958033_AMV_2.CEL	0.4275
GSM541642.CEL	0.42802
GSM1419155_BC3_CAZ.CEL	0.42815
GSM2070481_OCio-01-MutS-1-start-Pae_G1a-a1.CEL	0.42843
GSM821092_HZI0148_Pae_G1a.CEL	0.42859
GSM1420993_PAO1_NO2.CEL	0.42862
GSM1244968_PAO1-22-replicate-02.CEL	0.42979
GSM822715_delta_crcZLB_B.CEL	0.43094
GSM838215_PAO1-PM-1_Pae_G1a.CEL	0.43197
GSM1206649_WT-ETC-1.CEL	0.43231
GSM1112051_PGAS_37_3A.CEL	0.43286
TUBS0092.CEL	0.43316
GSM1419144_PAO_FOX.CEL	0.43388
GSM821500.CEL	0.43428
GSM741211.CEL	0.43477
GSM954577_Nomura_PA01-2_Pae_G1a_.CEL	0.43575
GSM617300.CEL	0.4359
GSM821087_HZI0142_Pae_G1a.CEL	0.43602
JS-T24.9.07.CEL	0.4362
L_13.CEL	0.43623
GSM741212.CEL	0.43638
GSM307120.CEL	0.43735
GSM261931.CEL	0.4374
GSM92170.CEL	0.43754
GSM1191068_sphR-surf-1.CEL	0.43765
GSM551149.CEL	0.43765
GSM838210_OXYR-PM-3_Pae_G1a.CEL	0.43789
GSM610407.CEL	0.43886
GSM307112.CEL	0.43908
GSM774158_B38-6M_2.CEL	0.43942
Overhage10003_Pae_G1a.CEL	0.44043
GSM1177844_PAO1-3.CEL	0.44065
GSM625980.CEL	0.44068
GSM821505.CEL	0.4408
GSM187270.CEL	0.44084
GSM864519.CEL	0.44097
GSM2070491_OCio-05-MutS_A_d94_2-Pae_G1a-a1.CEL	0.44114
GSM637575.CEL	0.44133
GSM92174.CEL	0.44138
GSM208604.CEL	0.44251
GSM617291.CEL	0.44368
GSM92179.CEL	0.44374
GSM560758.CEL	0.44391
GSM244066.CEL	0.44443
fos2_anaerobic_Pae_G1a.CEL	0.44463
GSM244068.CEL	0.44487
GSM562112_Koh_PAK_H2O_1.CEL	0.44567
GSM349045.CEL	0.44662
GSM267250.CEL	0.44697
GSM774085_CF30-1979a.CEL	0.44776
GSM597220.CEL	0.44782
GSM1267107_HZI1973_Pae_G1a.CEL	0.44915
GSM1517350_MK-4.CEL	0.4492
GPphhRminus_11-4-09_s2.CEL	0.44935
Overhage3004_(Pae_G1a).CEL	0.44996
GSM208617.CEL	0.45043
GSM842846_Wright_8_4203-log-2_Pae_G1a.CEL	0.45051
GSM198188.CEL	0.45082
GSM334311.CEL	0.45103
GSM208606.CEL	0.45226
120330-10978D_M1_(Pae_G1a).CEL	0.45229
GSM251201.CEL	0.45275
GSM741205.CEL	0.45317
GSM738262.CEL	0.45318
GSM546249.CEL	0.45392
0.1_6hr_CSV86(Pae_G1a).CEL	0.45448
GSM92177.CEL	0.4552
GSM822713_delta_cbrBLB_B.CEL	0.45572
GSM92189.CEL	0.45711
GSM1146025_phaF_2.CEL	0.45728
GSM45591.CEL	0.4582
GSM994498_PAO1-replicate-03.CEL	0.45844
GSM822691_delta_crcBSM_A.CEL	0.45856
GSM980541_MHH1376.CEL	0.45882
GSM625974.CEL	0.4595
GSM1961571_F0-1.CEL	0.46006
GSM1420995_anr_control2.CEL	0.46081
GSM546267.CEL	0.46085
GSM591625.CEL	0.46235
GSM1958026_L-lysine_1.CEL	0.46285
GSM567666.CEL	0.46402
GSM2070497_OCio-02-Pao1-B-D94-2-Pae_G1a-a1.CEL	0.46413
GSM1553191_Normal_C1.CEL	0.46469
GSM567670.CEL	0.46471
GSM267248.CEL	0.4654
GSM617294.CEL	0.46547
GSM307118.CEL	0.46701
GSM261917.CEL	0.46731
GSM871969.CEL	0.46794
GSM261923.CEL	0.46966
TUBS0096.CEL	0.46984
GSM711453.CEL	0.471
GSM741208.CEL	0.47109
GSM261925.CEL	0.47184
GSM774136_B6-4_1.CEL	0.47249
GSM954580_Nomura_PA2449-1_Pae_G1a_.CEL	0.47318
GSM546263.CEL	0.47425
GSM244072.CEL	0.47448
GSM1306125_Nomura_PAO1_NS-1_Pae_G1a_.CEL	0.47475
GSM897995_MHH0094_Pae_G1a.CEL	0.47528
JS-A164.9.07.CEL	0.47549
ETJan12B_1379_2012PAO4dR-aero.CEL	0.47579
GSM307117.CEL	0.47585
GSM244070.CEL	0.47642
FT1_anaerobic_Pae_G1a.CEL	0.47688
GSM1067458_PAO1_CK_2.CEL	0.47726
GSM637589.CEL	0.47854
GSM462061.CEL	0.47917
GSM1027587_071008plcHR.CEL	0.47933
GSM156157.CEL	0.47947
GSM573325.CEL	0.47997
GSM307113.CEL	0.47999
MBU_PAER_PT52.CEL	0.48025
GSM741203.CEL	0.48056
GSM560754.CEL	0.48167
TUBS0094.CEL	0.48192
1_6hr_CSV86(Pae_G1a).CEL	0.48196
GSM1421004_EXdnr_NO1.CEL	0.48277
GSM155244.CEL	0.48287
GSM2055817_7629_A-_20130705.CEL	0.48355
GSM199984.CEL	0.48362
GSM1191071_WT-pyr-2.CEL	0.48507
GSM838211_OXYR-PM-4_Pae_G1a.CEL	0.48603
GSM1237735_M9_H103_3_51059600653061050411410396750551.CEL	0.48687
Overhage13002_(Pae_G1a).CEL	0.48724
GSM155239.CEL	0.48823
GSM2070488_OCio-11-PAO1_Ad94_cipro_2-Pae_G1a-a1.CEL	0.48893
GSM1421002_EXdnr_control1.CEL	0.489
GSM252562.CEL	0.48903
GSM1662231_WFPA513_3.CEL	0.48969
GSM1267093_HZI1956_Pae_G1a.CEL	0.48973
GSM546278.CEL	0.48976
GSM546253.CEL	0.48998
GSM741204.CEL	0.49007
GSM551150.CEL	0.49017
GSM774143_B12-4_2.CEL	0.49076
GSM290748.CEL	0.49077
GSM854794.CEL	0.49264
GSM1181850_gc_Delta2_4.CEL	0.49301
GSM92167.CEL	0.49408
20mM_KT2440.CEL	0.49543
DC1.CEL	0.49603
H_5.CEL	0.49673
GSM92186.CEL	0.49759
GSM1517351_MK-5.CEL	0.49766
GSM743003_PAO1-PC4-c.CEL	0.49806
GSM1267105_HZI1971_Pae_G1a.CEL	0.49824
GSM842850_Wright_12_4203-stat-3_Pae_G1a.CEL	0.50014
GSM774151_B38-2M_1.CEL	0.5002
GSM637592.CEL	0.50075
20mM_CF600.CEL	0.50136
GSM1958036_Glutaric_acid_1.CEL	0.50221
GSM462354.CEL	0.50226
GSM562109_PAK_GI_colonization_2_6-9-04.CEL	0.50318
GSM1267088_HZI1951_Pae_G1a.CEL	0.50359
GSM743007_PAO1-SC24-a.CEL	0.50456
GSM92190.CEL	0.50464
GSM1244972_PAO1-37-replicate-03.CEL	0.50474
Tob1_anaerobic_Pae_G1a.CEL	0.50476
GSM698081.CEL	0.50512
GSM871974.CEL	0.50537
GSM2026897_D-Arg_02.CEL	0.50709
GSM318716.CEL	0.50809
GSM2026894_L-Glu.CEL	0.5107
GSM2045180_WT1.CEL	0.51092
GSM1419153_BC_CAZ.CEL	0.51142
SJ01_Treated_1.CEL	0.51162
GSM767703.CEL	0.51165
GSM741213.CEL	0.51332
GSM334314.CEL	0.51345
GSM1267109_HZI1975_G1a.CEL	0.51401
GSM1237739_M9_PAOSX_4_51059600653061050411410396750526.CEL	0.51464
GSM1889278_L-Hyp_01.CEL	0.51508
GSM356957.CEL	0.51541
DC3.CEL	0.51543
GSM637586.CEL	0.51551
GSM1608069_Biofilm+12hrcipro_rep3.CEL	0.51556
GSM1953894_BiofilmInoculum2.CEL	0.51569
GSM1267098_HZI1962_Pae_G1a.CEL	0.51653
GSM45588.CEL	0.51718
GSM774116_CF243-2002b.CEL	0.51729
GSM821497.CEL	0.51851
GSM617287.CEL	0.51871
GSM1961575_F1-1.CEL	0.51997
GSM637593.CEL	0.52086
GSM774125_CF333-2003b.CEL	0.52103
GSM261936.CEL	0.52111
GSM1662232_WFPA510_1.CEL	0.52128
Van_Delden_Kohler_0311_BAL6+_3.CEL	0.52178
GSM2070496_OCio-01-Pao1-B-D94-1-Pae_G1a-a1.CEL	0.52234
GSM1143381_WT1_Pae_G1a_.CEL	0.52251
Pae_noFe_11.CEL	0.52288
Overhage3005_(Pae_G1a).CEL	0.52289
GSM546256.CEL	0.52301
GSM261916.CEL	0.52434
GSM208603.CEL	0.52515
GSM1267087_HZI1950_Pae_G1a.CEL	0.52552
GSM1206644_WT-PYR-2.CEL	0.52601
GSM1306128_Nomura_PAO1_KG-1_Pae_G1a_.CEL	0.52659
GSM1608068_Biofilm+12hrcipro_rep2.CEL	0.52688
GSM375703.CEL	0.52735
GSM774135_B6-0_3.CEL	0.52758
GSM774157_B38-6M_1.CEL	0.52816
GSM2070480_OCio-12-PAO1-3-start-Pae_G1a-c1.CEL	0.52854
GSM774127_CF333-2005a.CEL	0.53001
GSM1889279_L-Hyp_02.CEL	0.53011
GSM1421000_dnr_NO1.CEL	0.53196
GSM2055821_7629_B+_20130705.CEL	0.53206
GSM774128_CF333-2005b.CEL	0.53252
GSM155241.CEL	0.53385
GSM175247.CEL	0.53388
GSM92191.CEL	0.53442
GSM261932.CEL	0.53544
GSM567679.CEL	0.53638
GSM871964.CEL	0.53638
GSM774132_CF333-2007c.CEL	0.53667
GSM424829.CEL	0.53738
GSM242671.CEL	0.53764
GSM1662233_WFPA510_2.CEL	0.53887
GSM261918.CEL	0.54034
GSM738266.CEL	0.54047
GSM821084_HZI0139_Pae_G1a.CEL	0.54077
GSM711450.CEL	0.54195
GSM187265.CEL	0.54226
GSM462064.CEL	0.54251
GSM838220_PAO1-5344-4_Pae_G1a.CEL	0.54317
GSM1608072_Biofilm+12hrtobra_rep3.CEL	0.54338
Overhage3006_(Pae_G1a).CEL	0.54338
GSM774162_PAO1c.CEL	0.54371
GSM307116.CEL	0.54406
GSM774112_CF173-2005a.CEL	0.54448
GSM625981.CEL	0.54639
GSM92165.CEL	0.54729
GSM822694_delta_cbrBBSM_B.CEL	0.54775
GSM2070519_OCio-09-MutS-3-d94-cipro-Pae_G1a-c1.CEL	0.54832
GSM842847_Wright_9_4203-log-3_Pae_G1a.CEL	0.54846
GSM242676.CEL	0.54848
GSM743001_PAO1-PC4-a.CEL	0.54901
aerobic_NO3_1.CEL	0.54927
GSM823344.CEL	0.55088
