	gene id
0	PA0308
1	PA2691
2	PA3664
3	PA0069
4	PA4467
5	PA4255
6	PA5157
7	PA4881
8	PA0128
9	PA5140
10	PA1159
11	PA0703
12	PA5276
13	PA0944
14	PA3999
15	PA2848
16	PA1031
17	PA3788
18	PA4390
19	PA0929
20	PA3489
21	PA4199
22	PA0685
23	PA3319
24	PA5401
25	PA0041
26	PA5237
27	PA3397
28	PA0200
29	PA1992
30	PA4127
31	PA5354
32	PA0916
33	PA3185
34	PA5494
35	PA2683
36	PA3353
37	PA3020
38	PA0085
39	PA4893
40	PA1850
41	PA0492
42	PA3894
43	PA2910
44	PA1840
45	PA0866
46	PA0873
47	PA2405
48	PA5236
49	PA2723
50	PA3970
51	PA0117
52	PA3895
53	PA5048
54	PA3908
55	PA2859
56	PA0729
57	PA0523
58	PA0941
59	PA1156
60	PA0842
61	PA2353
62	PA1533
63	PA0022
64	PA2486
65	PA2009
66	PA1873
67	PA3565
68	PA3226
69	PA0732
70	PA2390
71	PA0217
72	PA3865
73	PA3614
74	PA0776
75	PA4684
76	PA1990
77	PA2642
78	PA5490
79	PA4744
80	PA2094
81	PA4265
82	PA1247
83	PA2038
84	PA4282
85	PA4469
86	PA3138
87	PA4680
88	PA2456
89	PA4084
90	PA3704
91	PA5184
92	PA2551
93	PA3967
94	PA4210
95	PA0909
96	PA0112
97	PA3346
98	PA1157
99	PA2531
